image,prompt
3368713582471467921_3368713574636327415.jpg,"a woman in a red dress, lizzo, vogue magazine editorial, vogue editorial photo, alluring plus sized model, vogue magazine photo, stunning african princess, adut akech, african queen, plus-sized, pose(arms up + happy), plus size, plus size woman, beautiful thick female, vogue magazine cover, ebony rococo, black and red silk clothing"
3367904251098288343.fdash-1094451148298208_mpd_qe=R1_v.mp4,"a christmas tree in the middle of a pond, christmas tree, christmas, emitting light ornaments, holiday season, christmas night, festive, local illumination, holiday vibe, mexico, christmas lights, the lights are on, an enormous silver tree, a beautiful tree, symmetrical ornament, large led lights, by Ancell Stronach, festive atmosphere, decorations"
3353473467629699475.mp4.fdash-412505791416507ad,"the golf course at the ocean club, golf course, jamaica, golf course in background, bunkers, colors of jamaica, perfect green fairway, green ocean, caribbean, beautiful magical palm beach, very beautiful!! aerial shot, green sea, royal green and nature light, puerto rico, golf digest, soft-sanded coastlines, lush greens"
3257012359578282865_3257012331233245217.jpg,"a woman laying in a ham on a ham ham, by Eric Zener, inspired by Eric Zener, eric zener cam de leon, luxury advertisement, architectural rendering, by Storm Thorgerson, by Leandro Erlich, advertising visualization, realistic rendering, eric zener aykut aydogdu, inspired by Victor Enrich, smooth eric zener cam de leon"
3310960294141147463_3310960255670980098.jpg,"a woman in a bikini on the beach, plus-sized, plus size, plus size woman, monokini, beautiful shape of face and body, alluring plus sized model, orange body, fully body photo, giant stunning goddess shot, bbw, wearing two - piece swimsuit, orange halter top, full entire body fun pose, she is holding a long staff"
3342561992240246018.jpg,"a crowd of people at a nightclub, club lighting, night clubs and neons, nightclub, scene from a rave, night club, stage at a club, dance club rave, club photography, in a nightclub, nightclub background, clubs, neon lighting and spotlights, black light rave, strobe and laser lights, symmetric lights and smoke, cyberpunk nightclub"
3374415382789354714_3374415369568875781.jpg,"a woman in a bikini laying on the beach, wet flowing hair, sports illustrated, maxim cover : :, in water up to her shoulders, wet dripping hair, feathers ) wet, by Jerry Weiss, wet dripping long hair, emerging from the water, maxim magazine cover, wet swimsuit, maxim magazine, wet, dripping wet, ocean spray, waves and splashes"
3313559437539631535_3313559385664420072.jpg,"a fence with a wooden post and a bench on the beach, beach background, beach and tropical vegetation, wide angle shot 4 k hdr, varadero beach, unfinished roots of white sand, paradise in the background, hdr photorealism, subject made of white mesh rope, view of the ocean, sky and ocean background, beach setting, ropes and chains"
3368713582471467921_3368713574728841912.jpg,"a beach with a blue sky and white clouds, miami beach, south beach colors, azure blue water, puddles of turquoise water, light blue water, clear blue water, turquoise horizon, beautiful magical palm beach, blue waters, carribean turquoise water, beach background, azure ocean, beautiful beach, blue water, beautiful ocean, azure waves of water, turquoise water"
3270038662250091506.mp4.fdash-728856985549635ad,"a table with plates of food and drinks, over a dish and over a table, plates, food focus, the plate is on a wooden table, gastronomy magazine, trendy food, offering a plate of food, served on a plate, chefs table, gastronomica magazine, restaurant menu photo, plating, an island made of food, pan and plates"
