ciudad,cluster,tamano,palabras_clave,temas
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,0,145,"the, with, and, background, city","the, with, and, background, city, mexico, art, architecture, large, church"
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,1,264,"comida, mesa, plato, alimento, fotografia","comida, mesa, plato, alimento, fotografia, foto, tazon, estilo, restaurante, madera"
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,2,323,"ciudad, mexico, centro, guanajuato, antiguo","ciudad, mexico, centro, guanajuato, antiguo, rico, historia, fondo, catedral, edificio"
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,3,382,"fondo, luz, ciudad, color, hermoso","fondo, luz, ciudad, color, hermoso, iluminacion, fotografia, mexico, foto, cielo"
GUADALAJARA_DESC_TRADUCIDO_LIMPIO,4,382,"inspirado, arte, foto, fondo, mujer","inspirado, arte, foto, fondo, mujer, ciudad, mexico, mexicano, imagen, hombre"
MONTERREY_DESC_TRADUCIDO_LIMPIO,0,128,"ciudad, fondo, mexico, centro, edificio","ciudad, fondo, mexico, centro, edificio, foto, guanajuato, montana, arquitectura, escalera"
MONTERREY_DESC_TRADUCIDO_LIMPIO,1,24,"the, and, background, with, city","the, and, background, with, city, sky, over, landscape, mexico, large"
MONTERREY_DESC_TRADUCIDO_LIMPIO,2,62,"fondo, luz, ciudad, montana, noche","fondo, luz, ciudad, montana, noche, hermoso, cielo, mexico, vista, sol"
MONTERREY_DESC_TRADUCIDO_LIMPIO,3,19,"comida, sostener, helado, imagen, cafe","comida, sostener, helado, imagen, cafe, realista, hielo, plato, persona, alimento"
MONTERREY_DESC_TRADUCIDO_LIMPIO,4,57,"montana, fondo, pie, ciudad, agua","montana, fondo, pie, ciudad, agua, rio, sol, caminar, mexico, valle"
CDMX_DESC_TRADUCIDO_LIMPIO,0,126,"ciudad, edificio, mexico, museo, centro","ciudad, edificio, mexico, museo, centro, fondo, arte, arquitectura, guanajuato, rico"
CDMX_DESC_TRADUCIDO_LIMPIO,1,132,"muerto, mexico, ciudad, persona, hombre","muerto, mexico, ciudad, persona, hombre, mexicano, edificio, catrina, mujer, arte"
CDMX_DESC_TRADUCIDO_LIMPIO,2,79,"flor, color, planta, flores, mesa","flor, color, planta, flores, mesa, mercado, hombre, floral, arte, verde"
CDMX_DESC_TRADUCIDO_LIMPIO,3,50,"the, with, and, day, city","the, with, and, day, city, muerto, dead, mexico, celebrar, art"
CDMX_DESC_TRADUCIDO_LIMPIO,4,115,"ciudad, fondo, parques, parque, espacio","ciudad, fondo, parques, parque, espacio, arbol, verde, publico, lago, mexico"
