descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico,prompt_procesado_es
bienvenidos nueva era bienvenido nueva era via jar turismo,post,0,NEU,NEUTRAL,-1,
bienvenido nueva era disfrute 12 destinos increibles llenos experiencias desconecte playas inspirese maravillas naturales pero sobre todo celebra vacation wanderlust explore adventure beach life getaway bucket list,post,0,NEU,NEUTRAL,-1,
natural ocupa puesto 17 principales destinos mundo naturaleza premios travelers choice awards gracias viajeros amor apoyo haga destino visita obligada 2024 trip advisor top destination best of t rav le t rave award mx,post,9,NEU,NEUTRAL,-1,
escondite paradisiaco esla play chen rio alberca natural agua cristalina temperatura perfecta tesoro poco concurrido invita pasar entre arena oculto chen rio beach piscina natural agua cristalina temperatura perfecta tesoro aislado invita pasar entre arena ocean beach chen rio reel reel,post,5,NEU,NEUTRAL,-1,
pov aterrizar alturas parece oasis azul sabias uno cuatro aeropuertos pov punto aterrizar arriba parece oasis azul sabias uno cuatro aeropuertos encuentra vacation,post,5,NEU,NEUTRAL,-1,
verano voy terapia terapia sumergirte remedio infalible calmar mente verano voy terapia terapia refiero reservar viaje colo chera py py,post,5,NEU,NEUTRAL,-1,
horizonte revitaliza necesitas desconectar navega deja azul guia hacia tranquilidad horizonte revitaliza necesitas desconectar navegue traves deje azul guia tranquilidad reels reel life vacation sailing,post,5,NEU,NEUTRAL,-1,
lugar perfecto cear recuerdos inolvidables familia esla diversion tiene edad todos preparense vivir momentos atesoraran siempre lugar perfecto crear recuerdos familiares inolvidables diversion tiene limite edad todos preparese experimentar momentos apreciara siempre vacation family,post,7,NEU,NEUTRAL,-1,
quien le gusta vibra caribena caribeno irresistible listo cautivarte suestra multicolor quien ama ambiente caribeno irresistible listo cautivarlo ondas multicolores vk reels reel life vacation,post,6,POS,NEUTRAL,-1,
puerto escala inolvidable nuestra recibe brazos abitos cientos cruceristas gran varidad experiencias descubrimientos fenomenales listo empezar recorrido puerto escala inolvidable nuestra da bienvenida cientos cruceros brazos abiertos ofreciendo amplia gama experiencias descubrimientos fenomenales listo comenzar viaje onboard cri is e life,post,9,NEU,NEUTRAL,-1,
punta sur otra perspectiva must viaje visitar punta sur eco beach park subirte far oc elara in sorprenderas algunas vistas intereses punta sur otra perspectiva necesidad viaje visite punta sure co beach park suba faro celarain sorprendera algunas vistas impresionantes reels reel punta sur,post,9,NEU,NEUTRAL,-1,
verano redescubre exuberante multicolor primer festival cultura grande espera 18 21 julio actividades bienestar musica cultura mucho reconecta contigo mismo dejate enamumar destino magico compra boletos bio vivo fest sil ga ture,post,6,POS,NEUTRAL,-1,
ceviche felicidad hay nada disfrutar ceviche fresco vista infinito playa ordenamos uno ceviche felicidad hay nada disfrutar nuevo ceviche vista sin fin playa ordenamos uno ti,post,5,NEU,NEUTRAL,-1,
sorprendera playas isueno atardeceres calidez exuberante sabores irresistibles listo vivir experiencia completa sorprendera playas sonadoras puestas sol calidas exuberantes sabores irresistibles listo vivir experiencia completa,post,5,POS,NEUTRAL,-1,
vistas spot son otro nivel paisajes contemplaras cima far oc elara in ubicado reserva ecologica punta sur simplemente dejaran sin palabras conocias lugar vistas lugar son excepcionales paisajes vera cima faro celarain ubicados reserva ecologica punta sur simplemente dejaran sin palabras sabias sobre lugar drone,post,9,NEU,NEUTRAL,-1,
salud viajar pronto esperamos bebe favoritos mejores paisajes pases unas vaca ci ones sumamme relajantes salud viajar pronto esperamos bebidas favoritas mejores paisajes puedas tener vaca ci on extremadamente relajante cocktails beach club,post,3,NEU,NEUTRAL,-1,
animate volar apasionan experimentias permitan contemplar hermosos paisajes tienes hacer sailing admira angulo diferente atrevete volar apasiona experiencias permiten contemplar hermosos paisajes debes ir parasailing admire angulo diferente sailing,post,5,NEU,NEUTRAL,-1,
sirena visita barcos hundidos aldededores haciendo buceo libre eres amante tienes vivir gran experiencia explorando profundidades sirena visite barcos hundidos alrededor yendo bucear gratis eres amante debes tener gran experiencia explorando profundidades,post,8,POS,NEUTRAL,-1,
colores maravillosos cielo podemos observar grande fabulosa visitanos haz paisaje escenario proximas vacaciones maravillosos colores cielo podemos ver grande fabulosa visitenos haga paisaje escenario proximas vacaciones drone,post,5,NEU,NEUTRAL,-1,
recomendacion relajate cielo playas regalan paisajes inolvidables colores escenario natural sera spot perfecto olvidar rutina recargarte energia consejo relajate cielo playas le dan paisajes inolvidables colores impresionantes entorno natural sera lugar perfecto olvidar rutina recarga cielo,post,5,NEU,NEUTRAL,-1,
llama llenas color asegurate venir memoria telefono vacia porque podras parar tumarte fotos murales encontraras toda listo foto sonrie calles llenas color asegurese venir memoria telefonica vacia porque podra dejar tomar fotos murales encontrara toda listo foto sonrisa krisgrey08 reel reels murals street art,post,2,NEU,NEUTRAL,-1,
bienvenido grande destacado puerto cruceros maravillas marinas selva tropical aguarda desembarcar bienvenido grande prominente puerto crucero descubra maravillas marinas jungla tropical espera desembarcar lc reel reels beach sailing drone,post,9,POS,NEUTRAL,-1,
manejar mucho mejor renta jeep recorre carretera castera explora lugares poco concurridos sumergete belleza etiqueta companero viaje conducir golpea diferentes alquile jeep conduzca carretera costera explore lugares menos conocidos sumerjase belleza etiqueta companero viaje reel reels beach drone,post,9,NEU,NEUTRAL,-1,
siempre verano clima calido oleaje tranquilo azul esperan regalarte momentos paz mientras navegas sobre infinito siempre verano clima calido olas tranquilas azul esperan momentos paz mientras navegas infinito reel reels beach sailing drone,post,5,NEU,NEUTRAL,-1,
todo mundo necesita playa video aparecio feed senal ya hace falta pasar tiempo bajo sol ponte traje bano favorito disfruta relajate playas todos necesitan playa video aparecio feed senal necesita pasar tiempo bajo sol ponte traje bano favorito disfruta relajacion playas x reel reels beach,post,5,NEU,NEUTRAL,-1,
encuentros subacues sumergete profundidades descubrir paisajes submarinos asombrosos tener encuentros unicos fauna multifacetica ha visto belleza raya aguila persona encuentros submarinos sumergete profundidades descubrir increibles paisajes submarinos tener encuentros unicos silvestre multifacetica visto belleza rayo aguila persona photography reel reels scuba diving bu ceo,post,8,NEU,NEUTRAL,-1,
vacaciones pasion recibe brazos abitos pasar relajacion disfrutando natural eza expansiva joya escondida agregala itinerario vacaciones pasion da bienvenida brazos abiertos r disfrutando expansiva natura joya escondida agregalo itinerario sofiaaaboyko pasion passion reel reels,post,7,NEU,NEUTRAL,-1,
sabores encantaran disfruta platillos elaborados ingredientes frescos sazon especial nuestros mejores chefs tejo encantara sabores disfrute platos preparados nuestros mejores chefs ingredientes frescos anhelando food seafood restaurant,post,3,NEU,NEUTRAL,-1,
experimenten juntos magia durante luna miel podran vivir experiencias inolvidables realizar tour sobre olas multicolor bordo lancha transparente experimente magia juntos aproveche momento experiencias inolvidables luna miel navegar ondas multicolores bordo bote fondo claro clear boat tour,post,0,NEU,NEUTRAL,-1,
