prompt_procesado_es,fuente,cluster,sentimiento,frame,subtopico
parada frente edificio colorido tlaquepaco techos madera pico ciudad armenia quindio casa colorida entorno cubano frente casa dos pisos puerto rico antigua catada detras ella mujeres cubanas haavana luz solar casas caprichosas arquitectura neo ano anoh,descripcion,4,NEU,NEUTRAL,-1
gran grupo peces nadan corales peces giratorios peces plateados arrecifes coral ambiente submarino submarino submarina entorno submarino escuelas peces submarino escena oscura submarina arrecifes coral escena profunda submarina pescados pescado aceleran coral lado pausa submarina,descripcion,7,NEU,NEUTRAL,-1
traje bano negro halle berry imagen promocional cuerpo cuerpo fino proporcional lizzo traje bano dos piezas cuerpo grueso quieto promocional cuerpo realista proporcionado 30 anos cuba hembra curvilinea cuerpo resistente muslos suite natacion cuero,descripcion,5,NEU,NEUTRAL,-1
bebida mesa beber coctel hibisco liquido rojo barra bebidas frias jugo bayas roja bermellon lago rojo cafeteria flamencos gente bebe cocteles florida eclipse exuberante colorido poco roja bebiendo barra barra cocteles,descripcion,6,NEU,NEUTRAL,-1
camisa amarilla maldivas mirando olas nadando panoramica centrada centro mares claros subaquatica inspirada robert macaulay stevenson manos detras su cuerpo 4 anos edad,descripcion,1,NEU,NEUTRAL,-1
gran grupo peces nadan arrecife coral estatuas submarinas humanos esconden paisaje parcialmente submarino paisaje submarino arrecifes coral coral pescado santuario submarino grandes estatuas heroes heroes ambiente ciudad perdida ciudad ciudad medio ambiente retrato barco submarina estadisticas pescado enormes estadisticas ciudad submarina,descripcion,7,POS,NEUTRAL,-1
pequena medio barco desierta caribena horizonte pintura mate epica buddles teal paisaje mareado entorno entornos 4k photo gigapixel 4k,descripcion,1,NEU,NEUTRAL,-1
senal dice sonreir mexico telon nublado milagroso vibrante muchas islas brillantes lentes ultraes flotante soleado magica turismo ciudad negra ciudad solamente signos coloridos signos signos coloridos,descripcion,4,NEU,NEUTRAL,-1
cerca vibrante nubes blancas soleado claro verano nublado claro nubes nubes limpio nubes claro claro claro,descripcion,1,NEU,NEUTRAL,-1
iglesia colorida medio ciudad jamaica epica 3 oxaguiana olivia peguero arquitectura azulejos coloridos seuss dr escultura religiosa iglesia vidrieras futuristas estructuras gigantes tumbas inspiradas john quinton pringle inspirado felipe saeade iglesia blanca jamaicanos renderizado divino,descripcion,4,NEU,NEUTRAL,-1
woman suspended rope water woman floats midair sling bikini suspended air hanging hot air balloon swings rainbow tubing golden rainbow tubing hanging rope swing tree hanging bridge suspended underwater connected hanging bridge suspended bridge empress hanging,descripcion,2,NEU,NEUTRAL,-1
primer plano rollo sui tablero madera rollo california sushi alimentos increibles cocina fusion japonesa pez perdido 4k alimentos 4 k alimentos 4k fotografico gemas brillantes parte superior alimentos arte culinario japones sumo gente neandthal comen sushi profesional alimentos profesionales,descripcion,9,POS,NEUTRAL,-1
nado catcama catcatama catca catcama catcae gato hundiendose flotando centro perfil lateral suspendido submarina sumergido suave cam leon debajo perspectiva debajo pisada calmada,descripcion,7,NEU,NEUTRAL,-1
monta carrito golf cuatro ruedas jamaica mars vacation photo jamaica viajes aventuras vegetacion fotos tomadas ektachrome gilligan s island paradise hermosas vistas cacti angulo camaras drones lente amplio angulo angulo gran angulo angulo angular,descripcion,3,NEG,NEUTRAL,-1
aerea st kilda islas azores drone photo airial camino conduce faro drones perspectiva drones voladora angulo camara drones carretera hacia imagen dividida mitad drones puddles turquois,descripcion,3,NEU,NEUTRAL,-1
sentada roca vistas caribena diosa viajes mirando olas viajes aventuras charcos tunica claro horizonte detras ese inspirados robert macaulay stevenson mirando hacia afuera rindeo rindeo rindeo rin,descripcion,1,NEU,NEUTRAL,-1
plato taco ta taza tacos blog comida blog alimentos menu restaurantes comida profesional comida artesania aventura alimentos alta calidad plato mesa madera enfoque alimentos,descripcion,9,NEU,NEUTRAL,-1
mesa platos comida bebidas tacos plato mesa comida moderna menu restaurantes alimentos 4k 4 k alimentos comida profesional desayuno plas taco comida deliciosa enfoque comida ofreciendo plato comida blog alimentos comida premiada avocate cheddar,descripcion,9,NEU,NEUTRAL,-1
restaurante palmeras sillas hora dorada boracay boracay vegetacion barra palmeras cocos atmosfera entorno entorno iluminacion barra tiki paradio ambiente madera,descripcion,8,NEU,NEUTRAL,-1
conduce carrito golf carro equipo lujo vehiculo nuevo iluminacion godray tendencia diseno vehiculo vacaciones marte fallout 5 miami mate aire libre south ruedas detalladas detalles ruedas carro chiron fuera carretera campo golf,descripcion,5,NEU,NEUTRAL,-1
desde colina horizonte cerca templo cristal atlantis charcos oxido turquesas,descripcion,1,NEU,NEUTRAL,-1
vestido rosa pasarela piedra vistas panoramica centrada epica 3 yemaya panoramica irreala 3 6 0 imagen vision 360 grados templos mayas cuerpo completo cerca templo cristal atlantis magnifico angulo supercallado tortuga,descripcion,4,NEU,NEUTRAL,-1
buceo toma pez gigante estatuas submarinas ruinas gigantes cabeza oro estatua musgo nicolas cage estatua arcilla gigante cubierto banderas cubierto coral estatua madera estatua resina estatua humanos estatuas 3d ruinas gigantes cabeza estatua bronce estatua coral eagule estatua ceja estatua alguacil,descripcion,2,NEU,NEUTRAL,-1
camisa blanca sombrero naranja suspendida cuerda flota aire suspendida tubos arco iris dorado colgando globo aire caliente flotando flotando cuerda colgante suspendido aire tubos arcoiris volar flotante aire flotando,descripcion,3,NEU,NEUTRAL,-1
mono blanco negro encuentra pared telon colorido patrones coloridos ambiente colorido ropa arco iris psicodelicos audaces goteo arco iris colorido psicodelico tela rayas llano vela skittight vibrantemente colorido psicodelico 1968 campamento colorido poca introduccion pintada arcoirbow bg skinthip skinthipight lava plana skinthipight vibrantemente colorido psicodelico 1968 psicodelico colorido rojo,descripcion,3,NEU,NEUTRAL,-1
desde aire ciudad miami aerea aerea hd ciudad costera parcialmente nublado nubes blancas drones fotos aereas vision helicoptero disparo aereo desde dron atlantis dia parcialmente nube varaderos drones vision vision drones tormenta,descripcion,3,NEU,NEUTRAL,-1
carro cocos cocoteros coconutas soporte frutas caribeno canasta frutas cabanas inspirados robert macaulay stevenson arena blanca carbean fruta hazana antigua bocas maldiciones malditas rocco entorno tropico tropicalism premio winning colorning,descripcion,8,NEU,NEUTRAL,-1
tierras adicionales venta islas caribe palmeras coco cocoteros vegetacion mucha vegetacion exotica palmeras magica palma exuberante vegetacion exotica vegetacion paradisio inspirado ralph burke tyree paradio vegetacion lush tentacion palmeras,descripcion,8,NEU,NEUTRAL,-1
grupo personas sirenas ninas ariana grande grupo sirena distancia hugo heyrman bailando jovenes mujeres david boyd dos veces hermosas chicas medio sus espaldas buenas amigas amigos,descripcion,3,POS,NEUTRAL,-1
camino conduce turcos caribena arena blanca caribena varadero charcos seuss dr azure blue palm beach magica caminando arena horizonte caribe azure vegetacion tropica caminando horizonte caribeno vegetacion tropica,descripcion,8,NEU,NEUTRAL,-1
dos mujeres saltan hacia medio angeles voladores flotando nadando saltando alegria yate bailando viajes aventuras oceanico abierto,descripcion,0,NEU,NEUTRAL,-1
woman walking path ocean cliff view carribean turquoise water turquoise horizon turquoise ocean turquoise water view ocean caribbean cliffside ocean scene ocean cliff side overlooking ocean puddles turquoise water deep blue oceans girl looking ocean waves beach vegetation,descripcion,1,NEU,NEUTRAL,-1
beach wedding ceremony beach luxurious wedding professional wedding photography miami beach wedding photo glamorous setting beautiful setting paradise background palm trees columns white cloth wind shining palm trees background palm trees beach setting setting coconut palms ceremony beach background wedding,descripcion,2,NEU,NEUTRAL,-1
faro medio caribena faro casa luz claro llave mochiduki arrecifes coral punto transparente caribena claro marina dirige gilligan,descripcion,1,POS,NEUTRAL,-1
bikini puesta grandes nubes detras ella puesta puesta ambiente puesta puesta mas puesta atardecer alanis guillen atardecer mirando atardecer atardecer atardecer,descripcion,3,POS,NEUTRAL,-1
beach palm trees boat water beach vegetation caribbean sky ocean background carribean turquoise water ocean coastal city coconut trees azure blue water turquoise ocean turquoise horizon palm trees beach beautiful magical palm beach carribean white sand maldives background background,descripcion,8,NEU,NEUTRAL,-1
bikini escaleras saliendo caribena cristalina charcos bajando escaleras clara escalera malduras reef pisando calma tranquila escalera aire libre nadando,descripcion,1,POS,NEUTRAL,-1
woman bikini posing picture 30 year old woman cuba spain rodriguez brazilan supermodel beautiful tan mexican woman portrait sofia vergara fair olive skin latina skin tanned beauty portrait beautiful mexican woman brazilian maud naftel olive skin rack dirty olive skin maxim cover,descripcion,5,NEU,NEUTRAL,-1
persona sostiene bebida hora dorada boracay bar bebidas frias ambiente vidrio ron bar tiki vaso leche coctel bebiendo parado boracay gente bebe cocteles clima tropicalismo bar entorno entorno,descripcion,6,NEU,NEUTRAL,-1
islas palabras planifica su viaje temporada para visitar viajar anuncio poster turismo vibrante antecedentes islas poster promocional muchas islas dos islas tamano mediano imagen promocional poster viajes templos mayas imagen promocional revista ad total prision prision prision revista publicidad cartel anuncios guia viajes guia promocion promocion,descripcion,4,NEU,NEUTRAL,-1
poster para evento palabras mures travel ad sunset magazine muestra atardecer sunraise rayos lunares antecedentes fotodirector 365 fotodirector 3 6 5 120k resolucion 3 2 k resolucion eje,descripcion,3,NEU,NEUTRAL,-1
aerea islas maldivas volando limpio medio puro claro claro ventana avion desde arriba desde avion voladora,descripcion,8,NEU,NEUTRAL,-1
centro beach resort miami beach puerto rico vegetacion escenario puro palmeras macetas fallout 5 miami ambiente frente palmeras miami oceanos profundos palmeras 3 5,descripcion,8,NEU,NEUTRAL,-1
