prompt,prompt_traducido,prompt_limpio,texto_procesado,cluster,tema_principal,ciudad,fuente,sentimiento,frame,subtopico
"a fountain in the middle of a garden, tlaquepaque, las pozas, fountain in the middle, gardens and fountains, the empress’ swirling gardens, in a garden of a house, photograph of enchanted garden, fountain, parks and gardens, beautiful ancient garden behind, garden environment, lush garden, lush chic garden, 3 nymphs circling a fountain","Una fuente en medio de un jardín, tlaquepaque, Las Poxas, fuente en el medio, jardines y fuentes, jardines remolinos de la emperatriz, en un jardín de una casa, fotografía de jardín encantado, fuentes, parques y jardines, hermoso jardín, ambiente de jardín, jardín Lush elegante, 3 nymphs circling circling a fountain a fountain atard.",una fuente en medio de un jardin tlaquepaque las poxas fuente en el medio jardines y fuentes jardines remolinos de la emperatriz en un jardin de una casa fotografia de jardin encantado fuentes parques y jardines hermoso jardin ambiente de jardin jardin lush elegante 3 nymphs circling circling a fountain a fountain atard,tlaquepaque poxas jardín remolino emperatriz casa fotografia encantado fuente parques jardines hermoso ambiente jardin lush elegante nymphs circling fountain atard,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,-1
"a building with a balcony and a balcony with a balcony, buenos aires, an opulent favela environment, palermo city street, cuban setting, calcutta, elaborate latticed balconies, un restaurant avec une terrasse, restaurant exterior photography, argentina, wrought iron architecture, terrace, rio de janeiro, art nouveau architecture, são paulo","Un edificio con un balcón y un balcón con un balcón, Buenos Aires, un ambiente de favela opulento, Palermo City Street, Cuban Settene, Calcutta, elaborado balcón enrejados, un restaurante Avec Une Terrasse, Restaurant Fotography, Argentina, Arquitectura Argentina, Terrace, Terrace, Río de Janeiro, Art Noveau Architecture, shitrithing, st Architecture, arquitectura de hierro.",un edificio con un balcon y un balcon con un balcon buenos aires un ambiente de favela opulento palermo city street cuban settene calcutta elaborado balcon enrejados un restaurante avec une terrasse restaurant fotography argentina arquitectura argentina terrace terrace rio de janeiro art noveau architecture shitrithing st architecture arquitectura de hierro,edificio aires ambiente favela opulento palermo city street cuban settene calcutta elaborado balcon enrejado restaurante avec unir terrasse restaurant fotography argentino terrace rio janeiro art noveau shitrithing architecture arquitectura hierro,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"people are walking through a glass wall in a building, inside a frame on a tiled wall, colorful glass wall, glass wall, inspired by Jan van Kessel the Younger, museum background, clear glass wall, inspired by Jan van Kessel the Elder, inside a glass box, glass walls, interactive art, inside in a glass box, inspired by Howardena Pindell","La gente camina a través de una pared de vidrio en un edificio, dentro de un marco en una pared de azulejos, colorida pared de vidrio, pared de vidrio, inspirada en Jan Van Kessel el más joven, fondo del museo, pared de vidrio transparente, inspirado en Jan Van Kessel the Elder, dentro de una caja de vidrio, paredes de vidrio, arte interactivo, dentro de una caja de vidrio, inspirada por Howardena Pindell Pindell",la gente camina a traves de una pared de vidrio en un edificio dentro de un marco en una pared de azulejos colorida pared de vidrio pared de vidrio inspirada en jan van kessel el mas joven fondo del museo pared de vidrio transparente inspirado en jan van kessel the elder dentro de una caja de vidrio paredes de vidrio arte interactivo dentro de una caja de vidrio inspirada por howardena pindell pindell,gente caminar traves edificio marco azulejo colorido joven fondo museo transparente jan kessel the elder pared arte interactivo caja vidrio inspirado howardena pindell,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,1
"a baseball field with a fence and trees, parks and public space, baseball stadium, park background, tar pits, sunny park background, bathing inside the tar pit, stadium landscape, with a park in the background, mission arts environment, parks and monuments, time travelers appear in a park, jc park, baseball, with a park in the back ground, outdoors mesa setting","Un campo de béisbol con una cerca y árboles, parques y espacio público, estadio de béisbol, fondo del parque, pozos de alquitrán, fondo de parque soleado, bañándose dentro del alquitrán, paisaje del estadio, con un parque en el fondo, ambiente de arte de misión, parques y monumentos, viajeros del tiempo aparecen en un parque, parque JC, béisbol, con un parque en el fondo, al aire libre en la mezquita de la mezsaors.",un campo de beisbol con una cerca y arboles parques y espacio publico estadio de beisbol fondo del parque pozos de alquitran fondo de parque soleado banandose dentro del alquitran paisaje del estadio con un parque en el fondo ambiente de arte de mision parques y monumentos viajeros del tiempo aparecen en un parque parque jc beisbol con un parque en el fondo al aire libre en la mezquita de la mezsaors,campo cerca arbol espacio publico pozo soleado banar él alquitran paisaje estadio ambiente arte mision parques monumento viajero tiempo aparecer beisbol parque fondo aire libre mezquita mezsaors,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,0
"a large blue building, studio disney, disney studios, circus background, outdoor fairgrounds, amusement park buildings, disney land, miles df, downtown mexico, pixar movie panorama, mexico, amusement park attractions, disney zootopia, walt disney animation studios, foto realista, street view, digger land amusement park, theme park, matte art, mexican folklore, a weird circus","Un gran edificio azul, Studio Disney, Disney Studios, Fondo de circo, recinto ferial al aire libre, edificios de parques de atracciones, Disney Land, Miles DF, Downtown México, Pixar Movie Panorama, México, atracciones de parques de diversiones, Disney Zootopia, Walt Disney Animation Studios, Foto Realista, visión callejera, Digger Land Amusement Park, Matte Art, Matte Folke, Atirds, un Weird Circ Circ, Atird Apret Circ Circ Circ Circ Circ Circ Circ Circ Circ Cirxore, A Ayird Circ Circ Circ Circ Circ Circ Circ Circ Circ Cirtore Folkore?",un gran edificio azul studio disney disney studios fondo de circo recinto ferial al aire libre edificios de parques de atracciones disney land miles df downtown mexico pixar movie panorama mexico atracciones de parques de diversiones disney zootopia walt disney animation studios foto realista vision callejera digger land amusement park matte art matte folke atirds un weird circ circ atird apret circ circ circ circ circ circ circ circ circ cirxore a ayird circ circ circ circ circ circ circ circ circ cirtore folkore,azul studio fondo circo recinto ferial aire libre edificio miles downtown pixar movie panorama mexico atracción parque diversión zootopia walt disney animation studios foto realista vision callejero digger land amusement park art matte folke atirds weird atird apret cirxore ayird circ cirtore folkore,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,POS,NEUTRAL,-1
"a woman standing in front of a table with a tablecloth, alebrijes aesthetic, figurines, artsation contest winner, art toys on a pedestal, art stand, crafts and souvenirs, toy art, toys figures, 3 d toy aztec gods as funco toy, art exhibition, exhibition display, art station cfg _ scale 9, mexican folk art","Una mujer parada frente a una mesa con un mantel, una estética de alebrijes, figuras, ganadores del concurso de artesas, juguetes de arte en un pedestal, soporte de arte, manualidades y recuerdos, arte de juguete, figuras de juguetes, 3 d de juguete dioses aztecas como fúnco, exposición de arte, exhibición de exposiciones, estación de arte cfg _ escala 9, folk mexican art",una mujer parada frente a una mesa con un mantel una estetica de alebrijes figuras ganadores del concurso de artesas juguetes de arte en un pedestal soporte de arte manualidades y recuerdos arte de juguete figuras de juguetes 3 d de juguete dioses aztecas como funco exposicion de arte exhibicion de exposiciones estacion de arte cfg _ escala 9 folk mexican art,mujer parado frente mesa mantel estetica alebrij ganador concurso artesa pedestal soporte manualidad recuerdo figura juguete dioses azteca funco exposicion exhibicion exposición estacion arte cfg escala folk mexican art,1,muerto,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,-1
"a park with a tree and grass, green spaces, park, park background, a park, in a city park, park landscape, green trees, tlaquepaque, green ambient light, lawn, in a park, parks and gardens, parks and public space, in the park, city park, royal green and nature light, green colors, central park","Un parque con un árbol y hierba, espacios verdes, parque, fondo del parque, un parque, en un parque de la ciudad, paisaje del parque, árboles verdes, tlaquepaco, luz ambiental verde, césped, en un parque, parques y jardines, parques y espacio público, en el parque, parque de la ciudad, la luz verde real y la naturaleza, los colores verdes, el parque central central.",un parque con un arbol y hierba espacios verdes parque fondo del parque un parque en un parque de la ciudad paisaje del parque arboles verdes tlaquepaco luz ambiental verde cesped en un parque parques y jardines parques y espacio publico en el parque parque de la ciudad la luz verde real y la naturaleza los colores verdes el parque central central,arbol hierba fondo paisaje arboles tlaquepaco ambiental cesped jardines parques espacio publico ciudad luz real naturaleza color verde parque central,4,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a wall with many different types of paper, papier - mache, sticker - art, multi-layered artworks, by Taro Okamoto, el anatsui, art wall, wall of eyes, wall full of small art painting, contemporary 3d art, irregularly shaped mosaic tiles, papier colle, !! takeshi amano!!, neoplasticism art","Una pared con muchos tipos diferentes de papel, papel de papel - maché, pegatina - arte, obras de arte de múltiples capas, de Taro Okamoto, El Anatsui, Muro de arte, pared de ojos, pared llena de pequeñas pinturas de arte, arte 3D contemporáneo, baldosas mosaicas de forma irregular, colegio de papel, papel colegio !!Takeshi amano !!, neoplasticismo arte",una pared con muchos tipos diferentes de papel papel de papel  mache pegatina  arte obras de arte de multiples capas de taro okamoto el anatsui muro de arte pared de ojos pared llena de pequenas pinturas de arte arte 3d contemporaneo baldosas mosaicas de forma irregular colegio de papel papel colegio takeshi amano  neoplasticismo arte,tipo mache pegatín obra multipl capa taro okamoto anatsui muro ojo pared lleno pequena pintura contemporaneo baldosa mosaica forma irregular papel colegio takeshi amano neoplasticismo arte,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
"a city square at night with people walking around, bangkok townsquare, bustling with people, japanese downtown, urban plaza, entertainment district, parks and public space, in a japanese town at night, traditional korean city, tlaquepaque, market setting, downtown mexico, mission arts environment, hollywood scene, los angeles at night, los angeles 2 0 1 5","Una plaza de la ciudad por la noche con gente caminando, Bangkok Townsquare, llena de gente, centro japonés, plaza urbana, distrito de entretenimiento, parques y espacio público, en una ciudad japonesa por la noche, ciudad tradicional coreana, tlaquepacque, mercado, el centro de México, el entorno de artes de misión, la escena de Hollywood, Los Ángeles de la noche, Los Ángeles 2 0 1 5 5 5",una plaza de la ciudad por la noche con gente caminando bangkok townsquare llena de gente centro japones plaza urbana distrito de entretenimiento parques y espacio publico en una ciudad japonesa por la noche ciudad tradicional coreana tlaquepacque mercado el centro de mexico el entorno de artes de mision la escena de hollywood los angeles de la noche los angeles 2 0 1 5 5 5,caminar bangkok townsquare lleno gente japones plaza urbano distrito entretenimiento parques espacio publico japonés ciudad tradicional coreano tlaquepacque mercado centro mexico entorno art mision escena hollywood noche angeles,0,ciudad,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,0
"a tree with pink flowers in the sky, purple flower trees, purple trees, tall purple and pink trees, trees and flowers, long violet and green trees, violet flowers, flowers and trees, purple flowers, purple foliage, detailed trees in bloom, lush trees and flowers, sweet acacia trees, lilac sunrays, purple aura, light purple, violet colors, lilacs","Un árbol con flores rosadas en el cielo, árboles de flores púrpuras, árboles morados, árboles altos de color púrpura y rosa, árboles y flores, largos árboles violetas y verdes, flores violetas, flores y árboles, flores púrpuras, follaje púrpura, árboles detallados en floración, exuberantes flores, árboles dulces, lilacas solares, aura púrpura, luz de color púrpura, colores violetas, liacroles, liacos, lilaces, lilaces, lilaces, lilaces, lilaces, lilaces, lilaces, lilas de lilacas.",un arbol con flores rosadas en el cielo arboles de flores purpuras arboles morados arboles altos de color purpura y rosa arboles y flores largos arboles violetas y verdes flores violetas flores y arboles flores purpuras follaje purpura arboles detallados en floracion exuberantes flores arboles dulces lilacas solares aura purpura luz de color purpura colores violetas liacroles liacos lilaces lilaces lilaces lilaces lilaces lilaces lilaces lilas de lilacas,rosado cielo morado alto rosa largo violetas verde flores purpuras follaje arbol detallado floracion exuberant flor arboles dulce lilacas solar aura luz purpura color violeta liacrol liaco lilaz lila lilaca,2,flor,CDMX_DESC_TRADUCIDO_LIMPIO,descripcion,NEU,NEUTRAL,1
