image,prompt
3259858051187050684.mp4.fdash-673860018236616ad,"a woman standing in front of a colorful building, tlaquepaque, peaked wooden roofs, city of armenia quindio, colorful house, cuban setting, in front of a two story house, puerto rico, ancient catedral behind her, cuban women in havana, sunlight and whimsical houses, neo-andean architecture, neo - andean architecture"
3115088945531980320_3115088939332735082.jpg,"a large group of fish swimming in the ocean, underwater with coral and fish, swirling schools of silver fish, coral reefs, undersea environment, underwater background, underwater photograph, underwater environment, schools of fish, underwater ocean, a dark underwater scene, coral reef, deep underwater scene, fish are glowing in the ocean, fishes swimming, coral sea bottom, underwater landscape"
2983730301234757291_2983730291285910615.jpg,"a woman in a black swimsuit, halle berry, promotional image, beautiful woman body, fine body proportionate, lizzo, wearing two - piece swimsuit, thick body, promotional still, realistically proportioned body, 30-year-old woman from cuba, beautiful curvy female, sturdy body, thighs!!!!! gorgeous, wearing leather swim suite"
3311531096166148000.mp4.fdash-1179155483047836ad,"a drink on a table, drinking cocktail, hibiscus, red liquid, beach bar, cold drinks, berry juice, red water, vermilion and red lake, the flamingo cafe, people drink cocktails, florida, lush and colorful eclipse, some red water, drinking at the bar, bar in background, cocktail bar, water in background"
3368713582471467921_3368713574628039861.jpg,"a woman in a yellow shirt standing in the ocean, maldives in background, girl looking at the ocean waves, swimming in ocean, panoramic centered view of girl, photo of the middle of the ocean, clear seas, water background, subaquatic photography, inspired by Robert Macaulay Stevenson, hands behind her body pose!, 4yr old"
3275447776300035456_3275447753239760400.jpg,"a large group of fish swimming over a coral reef, underwater statues, humans hide in the underwater, partly underwater, underwater landscape, coral reefs, underwater with coral and fish, underwater shrine, large stone statues of heroes, underwater environment, the lost city of atlantis, undersea environment, portrait of a sunken ship, undersea temple with fish, huge statues, underwater city"
3165725780587750491.jpg,"a small island in the middle of the ocean, bahamas, a ship on a deserted island, carribean turquoise water, turquoise horizon, epic matte painting of an island, turquoise ocean, island in a blue sea, puddles of turquoise water, aruba, teal color graded, teal landscape, island background, ocean background setting, 4k photo gigapixel"
3087398661659489417.jpg,"a sign that says smile on the beach, island background, island in the background, mexico, miraculous cloudy backdrop, vibrant blue sky background, many islands, bright colors ultrawide lens, island floating in the sky, island in a blue sea, sunny sky background, magical island, blue sky background, tourism, beautiful city black woman only, colorful signs"
2718485167315619082_2718485162475448317.jpg,"a boat is in the water near a beach, vibrant blue sky background, blue sky background, blue sky and white clouds, sky and ocean background, sunny sky background, clear summer sky background, blue cloudy sky, light blue sky with clouds, blue sky with clouds, clean blue sky, blue sky with beautiful clouds, light blue sky, blue and clear sky"
3115088945531980320_3115088939332851526.jpg,"a colorful church in the middle of town, colors of jamaica, epic 3 d oxaguian, by Olivia Peguero, colorful tiled architecture, by Seuss Dr, religious sculpture, stained glass futuristic church, giant tomb structures, inspired by John Quinton Pringle, inspired by Felipe Seade, white church background, jamaican colors, divine render"
2958529386042674139.mp4.fdash-513416337309801ad,"a woman is suspended by a rope in the water, a woman floats in midair, sling bikini, suspended in air, hanging from a hot air balloon, swings, rainbow tubing, golden rainbow tubing, hanging rope, swing on a tree, hanging bridge!!, suspended underwater, connected with hanging bridge!!, suspended bridge!, the empress’ hanging"
2820761710908346544_2820761706537824455.jpg,"a close up of a sui roll on a wooden board, california roll, sushi, amazing food photography, japanese fusion cuisine, lostfish, 4k food photography, 4 k food photography, 4k photo gigapixel, with sparkling gems on top, food photography”, culinary art photography, sumo japanese, neanderthal people eating sushi, professional food photography"
2690192888531707465.jpg,"a man swimming in the ocean with a catama catama catama catama catama catama cat, sinking underwater, floating under water, photo of the middle of the ocean, side profile in underwater, suspended underwater, underwater view, submerged underwater, smooth eric zener cam de leon, under the ocean, underwater perspective, treading above calm water"
3178724000154569370.mp4.fdash-844500200255942ad,"a man riding a four wheeler golf cart, jamaica, mars vacation photo, colors of jamaica, travel and adventure, beach and tropical vegetation, photo taken with ektachrome, gilligan's island, paradise in the background, on island, on an island, beautiful vistas with cacti, island in the background, drone camera angle, anamorphic wide angle lens"
3349084222235654290.mp4.fdash-1095212371708691ad,"an aerial view of the island of st kilda, in the azores islands, color aerial photo drone, a road leading to the lighthouse, drone photograph, drone perspective, flying island, bahamas, drone camera angle, road to the sea, image split in half, drone photography, puddles of turquoise water, island in a blue sea, 4k drone photography"
3273232186340644659.mp4.fdash-752571499542553ad,"a woman sitting on a rock overlooking the ocean, carribean turquoise water, goddess of travel, girl looking at the ocean waves, travel and adventure, puddles of turquoise water, light blue robes, turquoise horizon, behind that turquoise mountains, inspired by Robert Macaulay Stevenson, island in a blue sea, turquoise water, turquoise ocean, looking out at a pink ocean"
2731625885486755190.jpg,"a plate of taco ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta, tacos, taco, food blog, food blog photo, restaurant menu photo, professional food photo, food photo, food. craft and adventure, high quality food photography, the plate is on a wooden table, food focus"
3265723685397415000.jpg,"a table with plates of food and drinks, tacos, over a dish and over a table, trendy food, restaurant menu photo, 4k food photography, 4 k food photography, professional food photography, breakfast at las pozas, taco, delicious food, food focus, offering a plate of food, food blog, award winning food photo, avocado and cheddar"
2709063105949165532_2709063099766671622.jpg,"a beach restaurant with palm trees and chairs, golden hour in boracay, standing on a beach in boracay, beach and tropical vegetation, beach bar, tropical beach, palm trees on the beach, coconut trees, tropical atmosphere, tropical setting, beach setting, tropical lighting, in a tiki bar, tropical beach paradise, in a beachfront environment, tropical wood"
2961271744422257298.jpg,"a man driving a golf cart on the beach, cart, luxury equipment, new vehicle, godray lighting, trending on vehicle design, vehicle, mars vacation photo, fallout 5 : miami, matt colors outdoor, south beach colors, detailed-wheels, detailed - wheels, cart wheels, chiron, off-roading, golf course, bahamas"
2955455259158404202.jpg,"a view of the ocean from a hill, turquoise horizon, turquoise ocean, near crystal temple in atlantis, puddles of turquoise water, bahamas, blue waters, turquoise rust, turquoise water, azure blue water, turquoise and venetian red, view of the ocean, clear blue water, ocher and turquoise colors, deep blue oceans, sky and ocean background, teal sky"
3061302210025598181.jpg,"a woman in a pink dress is standing on a stone walkway overlooking the ocean, panoramic centered view of girl, epic 3 d yemaya, panoramic view of girl, unreal maya, 3 6 0 picture, 360 degree view, turquoise ocean, maya temples, wide angle full body, near crystal temple in atlantis, magnificent super wide angle, carribean turquoise water"
3041735782864145249.jpg,"a scuba taking a photo of a giant fish, underwater statues, giant gold head statue ruins, nicolas cage mossy statue, giant clay statue, he is covered with barnacles, covered in coral, wooden statue, resin statue, humans hide in the underwater, 3d statue!!!, giant head statue ruins, bronze statue, eagle coral, cranberry statue, covered with tar"
