descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico
oculto medio jungla hay joya saturday ay li k,post,4,NEU,NEUTRAL,-1
guardian impresionante arqueologico,post,6,NEU,NEUTRAL,-1
puede haber sol lluvia viento pero puedes dejar venir experiencia toda vida,post,2,NEU,NEUTRAL,-1
corazen serpiente emplumada conocida kukulkai cobra vida atardecer dios combina majestuosidad serpiente quetzal simboliza unian tierra cielo durante equinoccios sombra proyectada sobre piraater da apariencia serpiente descendiendo mostrando avanzado conocimiento astrone mico corazon serpiente emplumada conocida kukulken cobra vida atardecer dios combina majestad serpiente ave quetzal simboliza union tierra cielo durante equinoccios sombra proyectada da apariencia serpiente descendente muestra conocimiento astronomico avanzado lk f ough ed serpent magical sunset heritage ancient mysteries,post,8,NEU,NEUTRAL,-1
medimos seven wonders river i ruins pyramids destinations bucket list historical site visit inspiration passion port explore thor site,post,6,NEU,NEUTRAL,-1
aabaas antes podaa escalar majestuosa piremide kukulkai disfrutar memomo subida evitar caadas lo ideal subir diagonal prisionante recorrido derecaa vista injunto conexian anica histia experiencia quienes lo lograron sabias vez podrias escalar majestuosa disfrutar plenamente ascenso evitar caidas era mejor escalar diagonalmente impresionante viaje ofrecio vision incomparable conexion unica experiencia inolvidable aquellos lo lograron lk climbing pyramid living history h heritage cultural tourism unforgettable journeys discover wonders rl d historical adventures esc land ola pir ra mide cultura patri moni omund i turismo cultural via jes in ol vid able s des cub re me,post,6,POS,NEUTRAL,-1
chacmool figura enigmaater fascinante cultura especial representando figura masculina reclinada cuenco sobre abdomen utilizaba rituales sacrificios actuando intermediario entre dioses hombres presencia templos guerreros subraya imporancia ceremonias sagradas reflejando sofististacie espiritualidad aabaas chacmool sostenaa ofrendas laquidos sagrados cuenco testimonio profunda conexie espiritual adescubre mes sobre increjble figura tu prera visita chacmool figura enigmatica fascinante cultura especialmente representando figura masculina reclinable tazon abdomen uso rituales sacrificios actuando intermediario entre dioses hombres presencia templos templo guerreros resalta importancia ceremonias sagradas lo refleja sofisticacion espiritualidad sabias chacmool contenia ofrendas liquidos sagrados tazon testimonio profunda conexion espiritual descubre sobre increible figura proxima visita mystery cha c moo l ancient history and discover h heritage historic ancient,post,8,NEU,NEUTRAL,-1
aqua emeze todo holiday it zai merida as history ruin as pir amides magic summer vacation,post,9,NEU,NEUTRAL,-1
uma das maravilhas nossa primeira vez numa das maravilhas sim verdade roma muito mais perto nunca fomos lai chicha fica na penansula yucatai um dos pontos queraamos mesmo visitar durante nossa viagem atrraaa turastica claro os preaos semper inflacionados pagamos cerca 35a pessoa recinto muito grande e dentro dele tamba postes ver varias ruanas edificaaaes faziam parte desta grande cidade maia sendo principal atrraaa templo kukulcai pira mide central maravilhas jai visitaste fue primera vez visitamos si cierto roma mucho cerca pero nunca hemos estado alli chiche encuentra yucata fue uno lugares realmente queriamos visitar durante nuestro viaje atraccion turistica supuesto precios siempre estan inflados pagamos alrededor 35 persona muy grande dentro tambien puede ver varias ruinas edificios formaron parte gran ciudad principal atraccion templo kukulcaater central visitado valladolid chich nitzaater valladolid,post,6,NEU,NEUTRAL,-1
sueno infancia memories road estilo aj xico c dmx colombia argentina chile venezuela espa usa peru ecuador gad jara music,post,8,NEU,NEUTRAL,-1
templo kukulka solo maravilla arquitectacnica sino tambie reflejo precisian matematica sabaas cada cara piraater tiene 91 escalones sumando 364 maumbs plataforma superior representa daa 365 ai templo kukulken solo maravilla arquitectonica sino tambien reflejo precision matematica sabia cada cara tiene 91 pasos totalizando 364 plataforma superior representa dia 365 ano lk science archeological site ar logico temp lode lk seven pyramid pira lk,post,6,NEU,NEUTRAL,-1
inversion viajes inversion usted mismo,post,5,NEU,NEUTRAL,-1
sonido quetzal aplaudir frente escudo sonido imita canto quetzal paumbero sagrado ven compru balo mismo sonido quetzal aplaude frente escuchara sonido imita llamado quetzal pajaro sagrado ven ti mismo lk quetzal pyramid lk lk pyramid pyramid seven yucat e pyramids,post,8,NEU,NEUTRAL,-1
ha comprobado juego pelota equipo ganador sacrificado honor parte fundamental ritual imaginas ser parte antigua tradicie ha demostrado equipo ganador fue sacrificado juego pelota honor parte esencial ritual imaginas ser parte antigua tradicion ballgame myths adventures history lk pyramid,post,8,NEU,NEUTRAL,-1
bajo estrellas encantadora belleza bajo noche estrellada bajo estrellas encantadora belleza piraater kukulka bajo noche estrellada my ry adventures history lk pyramid lk temple discover moments wonders archeological sites yucat insula starry sula,post,6,NEU,NEUTRAL,-1
descubre atemporales sumergete extraordinaria mezcla misterio uno monumentos iconicos afortunadamente ante donde cada uno sus 365 pasos encarna excepcional ingenio permitanos crear experiencia viaje medida adaptada solo usted asegurando viaje sea tan unico e inolvidable antiguas explorara viaja estilo tranquilidad porque mereces nada menos first class butlers,post,9,NEU,NEUTRAL,-1
lugar perfecto familias exploracion magica olvides tomar mejores fotos templo telon fondo lugar perfecto familias lugar magico descubrir olvides tomarte mejores fotografaas templo kukulkaater tele fondo won dons adventures history lk pyramid lk temple discover moments won wonders archeological sites,post,6,NEU,NEUTRAL,-1
imagine rituales ceremonias vez tuvieron lugar aqui itze viaje traves tiempo imagina rituales ceremonias vez tuvo lugar aqua viaje tiempo won dons adventures history lk pyramid lk temple discover moments won wonders archeological sites,post,8,NEU,NEUTRAL,-1
bienvenidos esto poco lo nuestra maravilla visatanos bienvenido aqui hay vistazo nuestra maravilla visitanos th il des s columns group pyramid temple warriors marketplace sacred cenote archeological site archeology s it s ewe wender f wo rote ruins in sins s,post,6,NEU,NEUTRAL,-1
descubre verdad detraumbs grupo mil columnas aunque nombre sugiere mil columnas realidad cuenta 200 simbolizan nuestra lucha interta mal descubra verdad detras grupo mil columnas pesar nombre sugiriendo mil columnas tiene 200 columnas simbolizan nuestra lucha interna contra mal mil columns group internal struggle symbolism grupo mil column as lucha intern ta sim bol is mo civil i zac ion heritage amo datos curios chen it zaza,post,6,NEG,RESPONSABILIDAD,-1
jate maravillar majestuosidad piraater kukulkaater joya encarna esppiritualidad templo fue elcenario rituales religiosos ceremonias adoracion suss dioses cabe duda sabiduraa civilizacian maravilate ante majestad joya encarna espiritualidad templo fue escenario rituales religiosos ceremonias adoracion sus dioses hay duda sobre sabiduria civilizacion pir amide deku kul kan civil iz cie civil i zac ien civilization heritage unesco,post,8,NEU,NEUTRAL,-1
chicha itze tiempo detiene revelar secretas pasado donde piedras pueden contete historias milenarias yucataater xico ruin as ruin os as turismo reel reel cap cut,post,8,NEU,NEUTRAL,-1
dentro templo da cada 1930 descubrie dentro misma piraater habaa otro templo piramidal menor tamaa donde encuentra jaguar color rojo jade forma mosaicos 2015 descubrie unam debajo templo habaa cenote cubierta segunda hay dentro templo decada 1930 descubrio dentro misma habia otro templo piramidal pequeno donde encuentra jaguar rojo mosaico jade 2015 unam descubrio debajo templo hay cenote cubierto segunda estructura aproximadamente 10 metros altura lk pyramid datos curios os lk mister ios curios ida des s bias zona ar logic archeological site cultura temp lode lk,post,8,NEU,NEUTRAL,-1
sabias estructura principal lo resalta arqueologaa mexicana presenta templo parte superior aberturas cuatro puntos cardinales durante equinoccios luz solar crea siete triangulos lado simbolizando dios sabaas estructura director segen arqueologaa mexicana cuenta templo cima vanos cuatro puntos cardinales durante equinoccios luz solar crea siete triaater costo simbolizando dios curios ida des cultura mara villas r ol gicas archeological site mara villa heritage history discover,post,8,NEU,RESPONSABILIDAD,-1
hasta daas soleados destellos templo sigue luciendo maravilloso cuj ntanos acuaater fue tu prpresa impresie cuando viste primera vez maravilla incluso dias soleados destellos templo sigue luciendo maravilloso cuentanos cual fue tu primera impresion cuando viste maravilla primera vez seven pyramid lk history and must visit destination visit lk pyramid archaeology explore unforgettable journey ruins archeological site visit mara villa f archeology civilization temp lode l can magic,post,8,NEU,RESPONSABILIDAD,-1
templo ha sido patrimonio mundial unesco desde 1988 reconocido importancia cultural e historica explore hito iconico profundice rica herencia antigua civilizacion templo kukulkai patrimonio humanidad unesco desde 1988 reconcido importancia cultural e historica explora emblemaater monumento adio rica herencia antigua civilizacian temple lk unesco h heritage civilization patri moni ode humani dad civil i zac ion cultura,post,8,NEU,NEUTRAL,-1
templo disenado simbolizar calendario incorporando referencias tiempo astronomia arquitectura descubra fascinante conexion entre civilizacion antigua cosmos durante visita historico templo kukulkai estaine dese ado simbolizar calendario incorporando referencias tiempo astronomaa arquitectura descubre fascinante conexien entre civilizacian antigua cosmos tu visita historico lk temple lk archeological site seven legacy timeless beauty net age,post,8,POS,NEUTRAL,-1
chiche debajo cielos azules claros hay vision belleza eterna deje transportes era esplendor sabiduria antigua chiche bajo cielo azul claro visien belleza eterna deja transporte poca esplendor sabiduraa ancestral lk temple lk archeological site seven legacy timeless beauty heritage ancient wisdom dom,post,8,NEU,NEUTRAL,-1
viaja corazen cosmos templo kukulkai donde cada paso revela ingenio espiritualidad antigua civilizacie viaje corazon cosmos templo donde cada paso revela ingenio espiritualidad antigua civilizacion lk pyramid pir amide lk patri mon io cultural ar logico cosmos lk mysteries,post,6,NEU,NEUTRAL,-1
pase mistica maravilla susurra sus secretos entre piedras grandeza intrincadas tallas templo guerreros cada esquina revela civilizacion perdida tiempo chiche yucat i visit pyramid mara v ill oho,post,8,NEU,NEUTRAL,-1
chich esperan estructuras fascinantes prensionante templo kukulkai emben viaje travia tiempo cultura estructuras intrigantes esperan incluido asombroso templo embarcate viaje traves tiempo cultura ancient wonders cultural heritage explore lk pyramid pir amide lk patri mon io cultural cio ceo logico mara villa cultura historic exp cultural h heritage archaeological site,post,6,NEU,NEUTRAL,-1
amor vuela entre ancestales descubre magia tu medios naranja amor toma vuelo medio antiguas descubre magia tu alguien especial in history romantic getaway won do nder seven wonders lk temple lk pyramid lk archeological site,post,6,NEU,NEUTRAL,-1
admira cada detalle prensionantes grabados tallados piedra piraides minos historias interesantes oculas maravilla puedes descubrir cuando decidas conocer mes sobre cultura admire cada detalle impresionantes grabados tallados piedra piramides historias interesantes estan ocultas maravilla puedes descubrir cuando decides aprender sobre cultura civilization seven pyramids stone carvings cie nt archaeology historical site cultural heritage inspiration hid ded stores mexican history discover cent wunder s artifacts historical architecture cult ul exploration and learn,post,8,NEU,NEUTRAL,-1
sabaas jaguar cultura sambolo podera incluso lo relacionaban inframundo sambolo vida fertilidad era animal sagrado toda civilizacie cuando visita verista muchas partes caras famoso balama talladas sus pira conecalo sabia jaguar era considerado simbolo poder civilizacion animal majestuoso asocio inframundo simbolizo vida fertilidad tenia significado sagrado toda civilizacion cuando visite encontrara representaciones famoso balam tallado sus piramides representando presencia e importancia jaguar enfrentate cara jaguar bala jaguar civilization ce le test i knowledge ancient mysteries historical site explore history discover awaits cultural hale le archaeological won er,post,8,NEG,NEUTRAL,-1
cadada estructura tallada piedra reflejo antiguos eran unos excelentes arquitectos matemaater desde precisie escalones templo kukulkaater haasta detalles cada sus creaciones construciones civilizacian siga conservando cultura dominio geometria astronomaa aprecia cada uno detalles han marcado legado ruinas cada estructura tallada piedra refleja dominio antiguos arquitectura matematicas desde precision pasos templo hasta intrincados detalles cada sus creaciones otras estructuras civilizacion continua siendo celebrada experiencia geometria astronomia aprecio cada detalle ha dejado marca legado ruinas lk pyramid archeological site legacy civilization,post,8,NEU,NEUTRAL,-1
sabaas templo kukulkai construyido arriba cenote dato sorprendere fue descubierto 2015 cienta lo conocimiento e inteligencia antiguos todavaa nos siguen sorprendiendo descubre mes datos tu pramais visita arqueolegico sabias templo construido sobre cenote hecho sorprendente fue descubierto 2015 cientificos mostrando conocimiento e inteligencia antiguos aun nos sorprende hoy descubra ideas fascinantes proxima visita arqueologico ark eo logical site civilization temple lk cenote history discover unique experience tour discover temp lode lk ar logico civil i zac ion,post,8,POS,NEUTRAL,-1
hermosa vista templo jaguar aya conoca ubicacian estructura hermosa vista templo jaguar ya conoces ubicacion estructura temple jaguar civilization temp lo jaguar civilization history discover tour seven wonders mara villa archeological site,post,8,NEU,NEUTRAL,-1
inevitable reconocer uno majestuosos templos maater emblemaater civilizacian tan solo peque vistazo escalones templo kukulkaater sambolo conocimiento avanzado civilizacian ya lo tiene visitado imposible reconocer uno templos majestuosos e iconicos civilizacion solo mirada rapida pasos templo simbolizan conocimiento avanzado civilizacion visitado todavia temple lk lk temple civil i zac ion civilization seven wonders ol rd steps yucat e archeological site,post,8,NEU,NEUTRAL,-1
maravilla moderno info ya tiene visitado maravilla chiche itzai antigua ciado ubicada penansula xico encuentra estado yucataater apoximadamete 2 horas media cancjn solo 40 kilaceos pueblo maumbico valladolid zona arqueoleygica chich itzaian uno destinos imperdibles memico turastico ha sido reconocido sieto moderno debido susionante mejor opcian lllegar chiche tanto desde cancib coma desde otros puntos playa tulum alquilar vehiculo llegar tuma est dareto libertad moverte tu propio ritmo llegar temprano evitar multitudes tambia puedes contratar tour desde cualquiera ciudesades cosanas ofrecen transporte todolido porun precio chiche generalmente abre pablico todos daas semana desde lunes hasasta domingos horario 8 00 4 30 taquilla abre desde 8 00 cierra 4 00 2024 precio entrada mexicanos 285 pesos mexicanos mxn vijeros internacionales tarifa ingreso 643 mxn domingas entrada gratuita mexicanos acontilar contratar guaa oficial puedes encontrario entrada tiene costo aprax 1000 pesos mexicanos pude ser tomado grupo valladolid visit visit valladolid patri moni cultural mara villas 2024 unesco lug are sinn ol vid able s via jes 2024 places to visit,post,8,NEU,NEUTRAL,-1
