descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico
bienvenido world nueva era viajes aqui estamos listos ti,post,9,NEU,NEUTRAL,-1
bienvenidos nueva era bienvenido nueva era via jar turismo,post,9,NEU,NEUTRAL,-1
bienvenido nueva era disfrute 12 destinos increibles llenos experiencias desconecte inspirese maravillas naturales pero sobre celebra vacation wanderlust explore adventure beach life getaway bucket list,post,0,NEU,NEUTRAL,-1
celebre mes orgullo estilo descansar tomar cocteles mientras descansa hamaca junto piscina rodeada belleza ilimitada hora crear recuerdos inolvidables persona especial pride month love is cove costa mujeres with pride,post,8,NEU,NEUTRAL,-1
han contado sobre icono cancunense faro punta destaca entre aguas energizantes nuestras costas consideralo debe ser fotografiar durante proxima visita oido hablar lugar iconico faro punta c destaca medio aguas energizantes nuestra costa considerelo oportunidad fotografia imperdible durante proxima visita drone beach lighthouse,post,6,NEU,OPORTUNIDAD,-1
llave felicidad hoteles altura muy cerca tienen relajarte entre lujo naturaleza brindandote escenario perfecto consentte clave felicidad autocuidado hoteles elevados muy cerca tienen ayudarlo relajarse medio lujo naturaleza proporcionando configuracion perfecta mimarse x spa luxury resort costa mujeres hotel,post,8,NEU,NEUTRAL,-1
contamos unseco zona hotelera ademas hoteles altura gastronomia fusion aqui encontraras autennico sitio arqueologico maya rey agregalo lista lugares visitar contaremos secreto sobre zona hotelera ademas hoteles elevados cocina fusion aqui encontrara autentico sitio arqueologico maya rey agregalo lista lugares visitar drone rla eo logical site,post,7,NEU,NEUTRAL,-1
todos somos amantes arte cuando trata galeria submarina bajo nuestras aguas energizantes encontraras musa hogar creativas esculturas han convertido parte ecosistema marino todos somos amantes arte cuando trata galeria submarina debajo nuestras aguas energizantes encontrara musa hogar esculturas creativas han convertido parte ecosistema marino diving underwater cuba diving,post,2,NEU,NEUTRAL,-1
temprano aprende nunca olvida cebador familia aqui encontraran entretenimento todos gustos edades emperzando magicas hologragas aprende temprano nunca olvida primer familiar aqui encontraran entretenimiento todas edades gustos comenzando holograficas magicas beach family with kids resort,post,9,NEU,NEUTRAL,-1
cada atardecer obra arte movimiento sin importar hora ni perspectiva joya caribena nos regala paisajes irreales puedes pasar alto cada sunset obra arte conmovedora importa tiempo perspectiva joya nos da regalo vistas irreales simplemente puede ignorar beach drone,post,6,NEU,NEUTRAL,-1
buscando ese intenso color turquesa cancunense sigue leyendo playa marlin podras sorprenderte ese tono tan famoso caracteriza costas agregala imperdibles proxima visita buscas ese intenso color turquesa sigue leyendo play marlin sorprendera ese famoso tono caracteriza nuestras costas asegurese agregarlo lista deseos proximo beach play play marlin,post,6,NEU,NEUTRAL,-1
sabes donde lleva canal sigfrido puerta entrada laguna ni chu pte cercania masestra mezclan distintos tonos verde azul sabes donde lleva canal sigfrido puerta entrada nichupte lagoon proximidad muestra hermosa mezcla varios tonos verde azul lagoon,post,2,NEU,NEUTRAL,-1
disfrutaras vacantes sonadas turquesa hoteles altura cuyo objetivo consentimiento gastronomia fusion esto mucho vera ya tienes reservado vuelo desconectado disfrutara vacaciones suenos turquesa hoteles lujo dedicados mimarte cocina fusion esto mucho espera ya reservado vuelo resort luxury resort,post,8,NEU,NEUTRAL,-1
destino ideal visitar familia prueba ello isla contoy cercano cuyas son lugar seguar seguro ninos tranquilo cristalino poco profundo reserva tour preparate vivir dia registroaran siempre destino perfecto visitar family is lac on toy muy cercano prueba ello ya son lugar seguro ninos ya tranquilo cristalino superficial reserve recorrido preparese dia recordara siempre insta wanderlust family,post,9,POS,NEUTRAL,-1
tiene reserva proximo enamamara holografica aventuras alta velocidad puesto enigmatica historia tiene reserve proximo hara enamorarte holograficas aventuras alta velocidad y supuesto enigmatica historia insta wanderlust,post,9,NEU,NEUTRAL,-1
arte oceano entre aloja musa museo espectacular subacuato 500 piezas arte qe fusion naturaleza expansiva arte oceano entre musa espectacular museo submarino 500 piezas arte fusionan naturaleza expansiva insta wanderlust musa underwater museum scuba,post,2,NEU,NEUTRAL,-1
lleno color desde azul verde susglares mezcla aquellos encuentras hermosos mural centro lleno color desde azul verde an gros mezcla encuentras hermosos murales centro photo rafahbstarc,post,2,NEU,NEUTRAL,-1
