indice,clip_original,clip_procesado,clip_longitud_original,clip_longitud_procesada,instagram_original,instagram_procesado,instagram_longitud_original,instagram_longitud_procesada,instagram_hashtags,instagram_hashtags_procesados,instagram_menciones,instagram_emojis
0,"a group of people swimming in a pool, whale skeleton, dolphins jumping, flying whale, sky whales, flying whales, dolphins swimming, flying elephant, dolphin swimming, volumetric ray tracing, thai architecture, floating objects, whale carcass, butterfly stroke, whales, with pterosaurs flying, wellness pool, 3 6 0 picture, glimmering whale",group people swimming pool whale skeleton dolphins jumping flying whale sky whales flying whales dolphins swimming flying elephant dolphin swimming volumetric ray tracing thai architecture floating objects whale carcass butterfly stroke whales pterosaurs flying wellness pool glimmering whale,339,292,"¡Habemus nuevo museo en #Mazatlán! ??

Se trata de #munba el nuevo museo que forma parte de los atractivos que ofrece el Observatorio Mazatlán 1873 y donde podrás conocer todo acerca del mamífero más grande del mundo ¡La ballena!

¿Qué te parece? ¿Irías a visitarlo? ??",nuevo museo trata nuevo museo forma parte atractivos ofrece observatorio mazatlán podrás conocer acerca mamífero grande mundo ballena parece visitarlo mazatl munba,269,163,"['Mazatlán', 'munba']","['mazatl', 'munba']",[],[]
1,"a table with plates of food and drinks, food focus, trendy food, an island made of food, gastronomica magazine, over a dish and over a table, gastronomy magazine, seafood in preserved in ice, food stylist, epicurious, cuisine, delicious food, food blog, tacos, food. craft and adventure, offering a plate of food",table plates food drinks food focus trendy food island made food gastronomica magazine dish table gastronomy magazine seafood preserved ice food stylist epicurious cuisine delicious food food blog tacos food craft adventure offering plate food,312,243,"?? ¡Descubre Mazatlán este FinD! ??

Te compartimos la #AgendaMZT ?? con eventos increíbles que no te puedes perder:

?? Conciertos
?? Presentaciones de danza
?? Masterclass

Todo esto en el hermoso puerto de #Mazatlán. ¡No hay excusa! Agéndalo y disfruta del lado cultural y artístico de nuestra ciudad. ???

#Mazatlán #Cultura #Arte #Eventos #FinDeSemana #Diversión #MazatlánEspectacular",mazatlán find compartimos eventos increíbles puedes perder conciertos presentaciones danza masterclasstodo hermoso puerto excusa agéndalo disfruta lado cultural artístico ciudad agenda mazatl mazatl cultura arte eventos fin semana diversi mazatl espectacular,389,258,"['AgendaMZT', 'Mazatlán', 'Mazatlán', 'Cultura', 'Arte', 'Eventos', 'FinDeSemana', 'Diversión', 'MazatlánEspectacular']","['agenda', 'mazatl', 'mazatl', 'cultura', 'arte', 'eventos', 'fin', 'semana', 'diversi', 'mazatl', 'espectacular']",[],[]
2,"baby sea turtles in a plastic bag, sea turtles, turtles, turtles all the way down, cartoon turtles, aged turtle, battle turtles, teeming with life, cute decapodiformes, swirling schools of silver fish, marine animal, ( colorful ), ninja turtles, tropical sea creatures, covered with tar, turtle, litter, black tar particles",baby sea turtles plastic bag sea turtles turtles turtles way cartoon turtles aged turtle battle turtles teeming life cute decapodiformes swirling schools silver fish marine animal colorful ninja turtles tropical sea creatures covered tar turtle litter tar particles,323,265,"#MazatlanLife ??

¿Sabías que? En la esquina de Ángel Flores con Carnaval se encuentra una Galería de Arte que también es cafetería ??

Además puedes pedir informes y unirte a las clases de pintura que este espacio ofrece.

#CentroHistorico #Mazatlán #Arte",esquina ángel flores carnaval encuentra galería arte cafetería además puedes pedir informes unirte clases pintura espacio ofrece mazatlan life centro historico mazatl arte,257,171,"['MazatlanLife', 'CentroHistorico', 'Mazatlán', 'Arte']","['mazatlan', 'life', 'centro', 'historico', 'mazatl', 'arte']",[],[]
3,"the logo for the event, with the sun in the background, solar eclipse, total eclipse, solar eclipse in the sky, eclipse, dark solar eclipse, promotional poster, official screenshot, netfilx !n-9, black sun with purple eclipse, nuclear blast moon eclipse, official poster, promotional image, advert logo, total lunar eclipse, pv, eternal eclipse",logo event sun solar eclipse total eclipse solar eclipse sky eclipse dark solar eclipse promotional poster official screenshot netfilx sun purple eclipse nuclear blast moon eclipse official poster promotional advert logo total lunar eclipse eternal eclipse,344,256,"?? ¡Mazatlecos y visitantes! ???

Te compartimos la #AgendaMZT para que elijas qué hacer en Mazatlán esta semana ??. ¡Tenemos un sinfín de eventos para ti! ??

?? Día de la Música ??
Destacamos la celebración del Día de la Música, que se llevará a cabo en los ya tradicionales cuatro escenarios ??. Disfruta de una variedad de géneros musicales que van desde el rock ?? hasta la tradicional banda ??.

Apunta bien ?? y ¡jálate a disfrutar de estos eventos imperdibles! ??????

#Mazatlán #EventosMZT #DíaDeLaMúsica #DisfrutaMazatlán #MúsicaParaTodos",visitantes compartimos elijas hacer mazatlán semana sinfín eventos día música destacamos celebración día música llevará cabo tradicionales cuatro escenarios disfruta variedad géneros musicales van rock tradicional banda bien disfrutar eventos imperdibles agenda mazatl eventos sica disfruta mazatl sica,548,302,"['AgendaMZT', 'Mazatlán', 'EventosMZT', 'DíaDeLaMúsica', 'DisfrutaMazatlán', 'MúsicaParaTodos']","['agenda', 'mazatl', 'eventos', 'sica', 'disfruta', 'mazatl', 'sica']",[],[]
4,"a plate of food with shrimp and onions, seafood in preserved in ice, shrimp, an island made of food, delicious food, garnishment, food focus, on a plate, trendy food, langoliers, crustacean head, peruvian, prawn, local foods, food blog, served on a plate, food photo, shrimps are all over the ground",plate food shrimp onions seafood preserved ice shrimp island made food delicious food garnishment food focus plate trendy food langoliers crustacean head peruvian prawn local foods food blog served plate food shrimps ground,299,223,"Se viene un fin de semana lleno de actividades en Mazatlán ???

Reunión gótica, exposiciones de arte, proyecciones de cine y hasta clases de astrofotografía ??

Añade la AgendaMZT de este FinD ????

#QueHacer #Mazatlan #FinD #Cultura #AgendaMZT",viene fin semana lleno actividades mazatlán reunión gótica exposiciones arte proyecciones cine clases astrofotografía añade agendamzt find hacer mazatlan fin cultura agenda,244,172,"['QueHacer', 'Mazatlan', 'FinD', 'Cultura', 'AgendaMZT']","['hacer', 'mazatlan', 'fin', 'cultura', 'agenda']",[],[]
5,"a white bowl filled with food, aspic on plate, over a dish and over a table, professional food photography, culinary art photography, served on a plate, award winning food photo, gastronomica magazine, food photography, award winning food photography, edible flowers, raw pork, plating, 4k food photography, 4 k food photography, styled food photography",bowl filled food aspic plate dish table professional food photography culinary art photography served plate award winning food gastronomica magazine food photography award winning food photography edible flowers raw pork plating food photography food photography styled food photography,353,286,"???? ¡Descubre la agenda cultural de Mazatlán! ?? Sumérgete en los eventos más emocionantes que el puerto tiene para ti. 

Prepárate y agéndalos con tiempo, ¡no te pierdas ninguno! ??? #Mazatlán #Cultura #Eventos",agenda cultural mazatlán sumérgete eventos emocionantes puerto prepárate agéndalos tiempo pierdas ninguno mazatl cultura eventos,212,128,"['Mazatlán', 'Cultura', 'Eventos']","['mazatl', 'cultura', 'eventos']",[],[]
6,"a view of the beach and city of puerto, tropical coastal city, mexico, which shows a beach at sunset, long beach background, downtown mexico, sun coast, coast as the background, breath-taking beautiful beach, soft-sanded coastlines, salvador, travel guide, render corona, view of the ocean, beach background, paradise in the background, beautiful beach",view beach city puerto tropical coastal city mexico beach sunset long beach downtown mexico sun coast coast beautiful beach coastlines salvador travel guide render corona view ocean beach paradise beautiful beach,352,212,"""¡Mazatlán, donde el cielo se funde con el mar en un abrazo de colores! ?? Disfrutar del atardecer aquí es como presenciar una obra maestra de la naturaleza en tiempo real. ¿Quién más ama perderse en estos tonos cálidos que pintan el cielo al final del día? ?? #AtardecerEnMazatlán #ParaísoMexicano""

Créditos: VivirEnMazatlán",cielo funde mar abrazo colores disfrutar atardecer aquí presenciar obra maestra naturaleza tiempo real ama perderse tonos cálidos pintan cielo final día créditos vivirenmazatlán atardecer mazatl mexicano,326,203,"['AtardecerEnMazatlán', 'ParaísoMexicano']","['atardecer', 'mazatl', 'mexicano']",[],[]
7,"a person jumping in the air with a drink, travel ad, city of armenia quindio, ad image, vibrant tourism poster, rural, canva, on a canva, travel guide, colombia, ruanjia, coban, contest, lorem ipsum dolor sit amet, hosada, tourism, marketing photo, golondrinas",person jumping air drink travel city armenia quindio vibrant tourism poster rural canva canva travel guide colombia ruanjia coban contest lorem ipsum dolor sit amet hosada tourism marketing golondrinas,260,201,"??¡La tambora sinaloense sonará en Japón! ??

El próximo 4 de Mayo la también conocida como la madre de todas las bandas, Banda El Recodo De Don Cruz Lizarraga, llevará la musical regional sinaloense a la explanada de Odaiba, Tokio en punto de las 13:30 horas de aquel país. 

El evento es completamente gratuito y forma parte de las actividades del Festival Camino a Latinoamérica en donde participa la Embajada del Japón en México ???????? 

#BandaSinaloense #ElRecodo #Mazatlan #Japon",tambora sinaloense sonará japón próximo mayo conocida madre todas bandas banda recodo don cruz lizarraga llevará musical regional sinaloense explanada odaiba tokio punto horas aquel país evento completamente gratuito forma parte actividades festival camino latinoamérica participa embajada japón méxico banda sinaloense recodo mazatlan japon,491,341,"['BandaSinaloense', 'ElRecodo', 'Mazatlan', 'Japon']","['banda', 'sinaloense', 'recodo', 'mazatlan', 'japon']",[],[]
8,"a woman wearing a green plea skirt and black leather jacket, midi skirt, high-waist-black-skirt, style of julia razumova, white shirt and green skirt, long skirt, teal skirt, black trousers, layered skirts, fashion magazine style, leather pants with a belt, pleated skirt, leather pants, modern fashion outfit, olive green slacks",woman plea skirt leather jacket midi skirt style julia razumova shirt skirt long skirt teal skirt trousers layered skirts fashion magazine style leather pants belt pleated skirt leather pants modern fashion outfit olive slacks,329,226,Así se vivió el Eclipse Total de Sol en Mazatlán este 8 de abril de 2024.,así vivió eclipse total sol mazatlán abril,73,42,[],[],[],[]
9,"a band playing on the beach with the words ' bal on land ', inspired by Jorge Velarde, salsa social dance, inspired by Ignacio Bazan-Lazcano, people dancing in background, salsa dancing, trending on artsation, cover, congas, holding maracas, real congas, youtube thumbnail, mexican folklore, inspired by Manuel Ortiz de Zarate",band playing beach words bal land inspired jorge velarde salsa social dance inspired ignacio people dancing salsa dancing trending artsation cover congas holding maracas real congas thumbnail mexican folklore inspired manuel ortiz zarate,326,237,Toma tus precauciones ???????,toma precauciones,29,17,[],[],[],[]
