image,prompt
3369684750216316509_3369684741408414785.jpg,"a fountain in the middle of a garden, tlaquepaque, las pozas, fountain in the middle, gardens and fountains, the empress’ swirling gardens, in a garden of a house, photograph of enchanted garden, fountain, parks and gardens, beautiful ancient garden behind, garden environment, lush garden, lush chic garden, 3 nymphs circling a fountain"
3365938061492321809_3365938047307143832.jpg,"a building with a balcony and a balcony with a balcony, buenos aires, an opulent favela environment, palermo city street, cuban setting, calcutta, elaborate latticed balconies, un restaurant avec une terrasse, restaurant exterior photography, argentina, wrought iron architecture, terrace, rio de janeiro, art nouveau architecture, são paulo"
3388230406970512152_3388230397759773870.jpg,"people are walking through a glass wall in a building, inside a frame on a tiled wall, colorful glass wall, glass wall, inspired by Jan van Kessel the Younger, museum background, clear glass wall, inspired by Jan van Kessel the Elder, inside a glass box, glass walls, interactive art, inside in a glass box, inspired by Howardena Pindell"
3317438500225621015_3317438490167528689.jpg,"a baseball field with a fence and trees, parks and public space, baseball stadium, park background, tar pits, sunny park background, bathing inside the tar pit, stadium landscape, with a park in the background, mission arts environment, parks and monuments, time travelers appear in a park, jc park, baseball, with a park in the back ground, outdoors mesa setting"
3307912840855651977.jpg,"a large blue building, studio disney, disney studios, circus background, outdoor fairgrounds, amusement park buildings, disney land, miles df, downtown mexico, pixar movie panorama, mexico, amusement park attractions, disney zootopia, walt disney animation studios, foto realista, street view, digger land amusement park, theme park, matte art, mexican folklore, a weird circus"
3270337709354586058.mp4,"a woman standing in front of a table with a tablecloth, alebrijes aesthetic, figurines, artsation contest winner, art toys on a pedestal, art stand, crafts and souvenirs, toy art, toys figures, 3 d toy aztec gods as funco toy, art exhibition, exhibition display, art station cfg _ scale 9, mexican folk art"
3275247550929920248_3275247545980719714.jpg,"a park with a tree and grass, green spaces, park, park background, a park, in a city park, park landscape, green trees, tlaquepaque, green ambient light, lawn, in a park, parks and gardens, parks and public space, in the park, city park, royal green and nature light, green colors, central park"
3348233919340222001_3348233908661730684.jpg,"a wall with many different types of paper, papier - mache, sticker - art, multi-layered artworks, by Taro Okamoto, el anatsui, art wall, wall of eyes, wall full of small art painting, contemporary 3d art, irregularly shaped mosaic tiles, papier colle, !! takeshi amano!!, neoplasticism art"
3317438500225621015_3317438490612073301.jpg,"a city square at night with people walking around, bangkok townsquare, bustling with people, japanese downtown, urban plaza, entertainment district, parks and public space, in a japanese town at night, traditional korean city, tlaquepaque, market setting, downtown mexico, mission arts environment, hollywood scene, los angeles at night, los angeles 2 0 1 5"
3384820194991592259_3384820165950294782.jpg,"a tree with pink flowers in the sky, purple flower trees, purple trees, tall purple and pink trees, trees and flowers, long violet and green trees, violet flowers, flowers and trees, purple flowers, purple foliage, detailed trees in bloom, lush trees and flowers, sweet acacia trees, lilac sunrays, purple aura, light purple, violet colors, lilacs"
3327615624363470685_3327615620018105806.jpg,"a poster for the festival of the world, quechua!, ecopunk rococo, quechua!!, lucha libre, full poster, quechua, promotional poster, hdrp, in the argentine congress, luminist, csp, dynamic poster, promo poster, \'emulador\', ecopunk, pilar, poster, a poster"
3390503945878500352_3390503938722915609.jpg,"a man and woman standing behind a table of vegetables, community celebration, vendors, local foods, farmer's market setting, colored market stand, market, greta thunberg smiling, marketplace, chilean, market setting, levitating agricultural sphere, idyllic and fruitful land, street vendors, street market, [ organic, quechua!, an island made of food, home and garden"
3248619281817188012_3248619277094470532.jpg,"a group of people in costumes and masks, celebrating day of the dead, dia de los muertos, dia de muertos, el dia los muertos, dia de muertos dress and make up, dia de los muertos!!, day of all the dead, ( dia de los muertos ), (dia de los muertos)"
3229067835308323613_3229067830023645458.jpg,"boats on the canal in the village of san, small canoes, one small boat, rowing boat, sitting in a small bamboo boat, photo taken with ektachrome, canal, gondolas, waterway, 3 boat in river, boats in the water, waterways, canals, wide angle photograph, small boat, river with low flying parrots"
3330275634679667813.jpg,"a train is parked in the middle of a park, foto realista, cinematográfica, locomotive, thomas the tank engine, trains in the background, hyper photorealistic raytracing, train, choo choo, cinemática, trains, park background, gigapixel photo, são paulo, vale encantado, the cars have faces, chiascuro"
3318185886066200956.jpg,"two people walking through a garden filled with flowers, walking at the garden, natural botanical gardens, city park with flowers, swirling gardens, parks and gardens, botanical garden, parks and public space, in an eco city, the empress’ swirling gardens, pink grass, sydney park, standing in a botanical garden, over grown botanical garden, field of pink flowers"
3365303583413272218_3365303576165418856.jpg,"a tall tree with a blue sky in the background, tall pine trees, pine tree, single pine, arrendajo in avila pinewood, pine trees, in avila pinewood, maritime pine, pine forests, pine forest, a tall tree, sparse pine trees, tall trees, pine, with a tall tree, tall tree, wide angle 70mm lens"
3371512906930252308_3371512886973705599.jpg,"a bird is perched on a piece of wood, guardian of the holy lake, heron, falvie, sitting on a wood dock, rule of thirds composition, photo taken with nikon d 7 5 0, photo taken with nikon d750, standing bird, sitting on a wooden dock, heron prestorn, on a canva"
3342708398666370440.jpg,"a large white cloud, at the terrace, terrace, mexico city, downtown mexico, miles df, tall terrace, view from the space, beautiful terrace, urban plaza, pritzker architecture prize, in a city with a rich history, patio, urban house, wide open city ”, museum background, restaurant in background, terraces, un restaurant avec une terrasse"
3347871599372451780_3347871588953832937.jpg,"two skeletons in a parade with flowers and a man in a top hat, el dia los muertos, dia de los muertos, ( ( dia de los muertos ) ), la catrina, ( el dia los muertos ), dia de los muertos. 8 k, celebrating day of the dead, dia de los muertos!!"
3215252686505671630_3215252674786727683.jpg,"a person in a costume with a bird on his head, he is holding a large book, vivide colors, colorful bird with a long, book, holding a giant book, anthropomorphic bird, alebrijes aesthetic, flying books, cosplay journal cover, brochure, holding a book, flying magic books, book in hand, with great birds, ecopunk"
3339645815713565401_3339645803138991582.jpg,"a small hut in a garden, woodfired, mushroom house, oven, in his hobbit home, made of baked beans, large cornicione, the pizza has a large cornicione, houses in the shape of mushrooms, the leaning tower of pizza, ecological art, mushroom houses, hansel and gretel, inside a medieval hobbit home, witch hut"
3276133920629093589_3276133910210646419.jpg,"a large room with many columns and chairs, school courtyard, guanajuato, tlaquepaque, quito school, museum background, royal palace interior, patio, adjacent hallways, atrium, downtown mexico, interior architecture view, courtyard, background is a low light museum, national art school mfa, the hard and strong buildings, school of fishes"
3382680515107883222_3382680508489519673.jpg,"the inside of a building with a spiral staircase, fancy library, neo - andean architecture, neo-andean architecture, the hard and strong buildings, white marble buildings, inside a library, museum background, quito school, neoclassical architecture, library, réunion des musées nationaux, government archive, neoclassicism, marble and wood and glass"
3353462503927981759_3353462490296583419.jpg,"a park with a bench and a gaze, ancient greek temple, inspired by Henry Carr, parks and monuments, sacrificial altar, throne of olympus, greek temple, roman pillars, obelisks, greek temple background, on a great neoclassical square, ancient greek temple ruins, mysterious temple setting, inspired by Amelia Robertson Hill, parks and gardens, neoclassical composition"
3389012072210989525.jpg,"the interior of the church of the holy trinity, in a medieval crypt, inside a crypt, book of kells, old gothic crypt, inside the tomb of jesus, crypt, inside the sepulchre, cementary of skulls, golden treasures on the walls, mausoleum, ossuary, inside a tomb, seville. byzantine mosaics"
3326853023128840918_3326853013330953244.jpg,"a large building with a flag on top, tlaquepaque, downtown mexico, mexico, mexico city, parks and monuments, guanajuato, tenochtitlan, mexican folklore, a monumental, parks and public space, park background, ornate palace made of green, parks and gardens, cinemática, vale encantado, foto realista"
3341998597060509885.jpg,"a golden statue on top of a building, winged victory, winged victory!!!, winged victory of samothrace, golden wings, grand angel wings, gold wings, winged girl angel, mexico city, gold wings on head, tall female angel, eros, super wide angel, angel halo, flying angels, poe's angel, totalitarian socialist angel, angel-themed"
3349350917507869303_3349350909999925806.jpg,"a fountain in a park with flowers and trees, tlaquepaque, the empress’ swirling gardens, tiled fountains, las pozas, fountain in the middle, breakfast at las pozas, fountain, fountain of water, gardens and fountains, 3 nymphs circling a fountain, water feature, featuring marble fountains, statue is a fountain, water fountain"
3338967588165609719_3338967580137610410.jpg,"a lake with trees and a boat in the water, a photo of a lake on a sunny day, sunny day in a park, in a park and next to a lake, parks and lakes, mexico city, city park, in a city park, green waters, park background, sunny park background, small lake, photo taken with ektachrome, a park"
