image,prompt
3215074526529869879_3215074519542243934.jpg,"a hand holding a bunch of colorful candys, chocolate candy bar packaging, package cover, candy pastel, product advertisement, gastronomy magazine, happiness!, everything is made of candy, chocolate, joan cornella, marketing design, cover, advertisment, happy colors, very very happy!, happy color, novel cover, art cover, book cover, happiness"
3375428271669321800_3375428250127427503.jpg,"a small fig of a woman with a straw hat on her head, the straw is in his mouth, well designed head, with a straw, food head, betty cooper, vin diesel head in egg cup, drinking cocktail, portrait of archie andrews, berry juice drips, anatomically accurate face, greta thunberg smiling, hyper realistic head, venus of willendorf"
2865820232261826644.jpg,"a large arch with a clock on top of it, giant archways, magical portal gateway, archway, giant majestic archways, gateway, an archway, gateway to futurisma, heaven gate, golden gates, huge gate, large gate, archways, there are archways, buenos aires, lion's gate, dry archways, mexico city, focus gate"
2936878632626472345_2936878593485201439.jpg,"a large white bridge, metallic bridge, city of armenia quindio, traffic with light trails, purple bridges with leggins, urban environment, central focus, light trails, avenida paulista, by Rodolfo Escalera, cities flourishing, modern city background, city quality lighting, vivide colors, santiago calatrava, cam de leon, mexico city"
2859857757831992613.fdash-1251110579490318_mpd_qe=UNKNOWN_v.mp4,"a waterfall in the middle of a river, several waterfalls, las pozas, coban, cascading waterfalls, multiple waterfalls, waterfall(beautiful, ancient monument waterfall, small waterfalls, waterfalls, water splashing cascading, water fall, ancient ruins and waterfalls, beautiful stunning waterfall, waterfall falling down, waterfall cascades, waterfall, water falls"
2741913870714062829.jpg,"a statue of a bird on a stone floor, tlaquepaque, raven bird, standing bird, art foreground : eloy morales, animal - shaped statue, holding nevermore, a surrealistic bird, inspired by Gonzalo Endara Crow, edgar allan poe as the raven, downtown mexico, menacing statues, foto realista, surrealistic bird"
2789085200619414968_2789085195938739007.jpg,"the view from the top of the mountain, coban, by Jacob Willemszoon de Wet, bushveld background, flora-lush-crater, brown canyon background, guanajuato, moutains, mountainous background, background lush vegetation, mountains background, green sky, lush scenic landscape, mountains surrounding, mountains and rivers, lush greens, beautiful mountains behind"
2418729080585352856.jpg,"a woman standing on a balcony in front of a gaze, intricate ornate anime cgi style, still from a music video, wrought iron architecture, panoramic centered view of girl, ornate french architecture, gazebos, 3 6 0 picture, ornate backdrop, style art nouveau, ornate and intricate backdrop, anamorphic cinematography, an art nouveau, hdr photography, hdr photograph"
2393358646977253913.jpg,"a woman holding a dog in front of a fountain, ancient catedral behind her, bangkok townsquare, downtown mexico, guanajuato, tlaquepaque, jack russel terrier, greta thunberg smiling, holding a pudica pose, tithi luadthong, inspired by Florence Engelbach, behind her a gothic cathedral"
2836889637096670531.jpg,"the building where the bed & breakfast are located, tlaquepaque, guanajuato, downtown mexico, the grand temple of flowers, yutja, foto realista, mexico, las pozas, aztec architecture, city of armenia quindio, whitewashed buildings, pueblo architecture, jerez, white buildings with red roofs, dorne"
