prompt_procesado_es,fuente,cluster,sentimiento,frame,subtopico
pequena isla palmeras bote cocoteros coconutas olivia peguero vegetacion inspirada ralph burke tyree inlets boat dock dave arredondo clima tropicalismo costera caribe inscribido inspirado robert maclevenson stevenson,descripcion,4,NEU,NEUTRAL,-1
teatro fullldome 3 6 0 proyeccion iluminacion cinematatica pantalla cine 4 cine cine enorme escenario teatro domespace escenario teatro iluminacion cine proyeccion equirectangular render imax equirectangular teatro epico ubicado observatorio observatorio noche,descripcion,7,POS,NEUTRAL,-1
monumento puerto obelisco obeliscos monumentos parques monumentos monumental inspirada ralph burke tyree monuments cuba stelae sin ataduras puerto rico revolucion cubana tomada 2018 parce sepulto para honrar jupiter salvador sundial farol da barra,descripcion,2,POS,NEUTRAL,-1
reloj medio parque reloj gigante sol centro universo varadura torre reloj inspirado ralph burke tyree entorno cubano costera clima astrolabia coco centro busca tiempo perdido reloj grande torre reloj fotos tomadas ektachrome,descripcion,2,POS,NEUTRAL,-1
hamburguesa queso let and deje hamburguesa plato deliciosa empanada semillas sesamo hamburguesa grande jugosa hamburguesa queso hamburguesa boca plato hamburguesa bandeja plato mesa hamburguesa boca humana hamburguesa menu restaurante alimentos cerca cerca primer plano,descripcion,9,POS,NEUTRAL,-1
pies persona terraza vistas piernas toman tu pov sentado muelle muy relajante pies arte arte pescado ojos pescado cubierta barco relajandose medio ambiente relajante gusanos oculares,descripcion,8,NEU,NEUTRAL,-1
muelle rojo blanco reloj victor enrich farol da barra torre magos marmol templo verdad es blanco kalighat hanuman edificio cabeza tela viento brillante torre gigantesca thanshuhai retrato ciclopes blancos cielo torre antigua torre china templo afeitado templo art nouveau torre colosal,descripcion,2,POS,NEUTRAL,-1
torre alta reloj parte superior torre gigante retorcida torre magos marmol torre pintada luna torre colosal torre babel torre gigantesca torre estratosfera torre babel iluminacion global hdri nubela espiral torre magica mago templo verdad es blanco,descripcion,7,NEU,NEUTRAL,-1
sentada muelle charcos lago cristal transparente caribena cristalina caribena lago claro azules paradis elgoute cuba pequeno dock puertos rico,descripcion,0,POS,NEUTRAL,-1
lago rocas faro despues tormenta arco iris cielo reflejos arco iris tormenta lluvia lejana reflexion arco iris refraccion iluminacion bote vela reflexiones magicas hermoso lago cielo dramatico tormenta nubes cumulos prismaticos nubes diablo diablo difraccion diente diferencia diablo diferencial diisfraccion diablo diferencia diario diablo,descripcion,6,NEU,NEUTRAL,-1
camisa gafas sol se encuentra balcon vistas mayas son antiguas parados frente montana diego 5 ante antiguas,descripcion,6,NEU,NEUTRAL,-1
plato comida mesa restaurante aruba isla hecha comida langosta jamaica paraiso enfoque alimentos comer afuera comida craft adventure ambiente frente sin restaurante comidas locales escenario ingredientes mesa menu restaurantes,descripcion,9,NEU,NEUTRAL,-1
parado roca inspirado ralph burke tyree tomada ektachrome dios polinesio sentado muelle waikiki beach skyline hdr fotograph fothren,descripcion,2,NEU,NEUTRAL,-1
tierras adicionales para venta islas bahamas inspiradas ralph burke tyree charcos isla flota aire isla gilligan mochiduki key isla mar florida bahamas mitad islas flotantes cielo cerdo mango escobre islas escolares islas escolar,descripcion,8,NEU,NEUTRAL,-1
plato comida lado piscina nachos desayuno poxas chilaquiles isla hecha comida desayuno buffet servido plato desayuno abundante enfoque alimentos nachosaurus hecho comida plato mesa max gubler fresco pintura aceite desayuno desayuno desayuno,descripcion,9,NEU,NEUTRAL,-1
aerial view road middle sea dji top view drone camera angle shot drone aerial shot drone photograph drone view drone wide shot drone photography aerial photo drone perspective drone shot drone point view 4k drone photography road forest lake,descripcion,5,NEU,NEUTRAL,-1
persona sostiene bebida pajita pincel profesional frutas fruta tailandia cascara fruta podrida cono gofres azules clima caliente hecha frutas flores negro rojo blanco helado fruta fresca clima abrasador soporte frutas frutas flores etapas vendedores callejeros calle,descripcion,3,NEU,NEUTRAL,-1
tuuu templo piramide rodeada vegetacion templos mayas edificios megaliticos piramide mundial perdida piramide antigua enorme megalitica tribu cabanas megaliths,descripcion,1,POS,NEUTRAL,-1
statue man horse colossus rhodes full height sculpture large stone statues heroes bronze sculpture standing heroic figure helio oiticica inspired ralph burke tyree bronze statue breaking statue girl cuba bronze statue silver monument bas relief puerto rican super hero,descripcion,5,POS,NEUTRAL,-1
bote vela medio horizonte mar tonos azules verdosos flotando verdoso rojo veneciano barco isla desierta rosa marea tema marino paleta,descripcion,8,NEU,NEUTRAL,-1
estatua sombrero su cabeza totem timido cabeza mantis templo chamanico quetzalcoatl dios sol escultura toda altura totem ayahuasca monstruo dios cabeza cabeza dios dios azteca yutja espiritu ayahuasca epico 3 oxaguiano gayan dios,descripcion,1,NEU,NEUTRAL,-1
casa borde rojo parte delantera casa colonial techos pico colores jamaica casa casas construidas colina empinada jamaica estilo colonial enfoque agudo casas calles era colonial entorno cubano paredes estuco edificios blancos edificios casa vibrante jamaican,descripcion,7,NEU,NEUTRAL,-1
parada muelle mirando nina mirando olas mirando hacia afuera mar mirando hacia mirando vestido verano fluye mar hay ventana mar horizonte hermoso,descripcion,8,NEU,NEUTRAL,-1
aerea barrera arrecife barrera belice arrecifes drones drones disparo aereo desde dron aerea arrecifes coral cubiertos coral barnaculos aerea desde arriba reef coral parcialmente bajo drone aereo marino coral dotado aire filmacion aerea angulo camaras dron,descripcion,4,NEU,NEUTRAL,-1
