prompt_procesado_es,fuente,cluster,sentimiento,frame,subtopico
vestido rojo lizzo editorial revista vogue editorial vogue modelo tamano seductora revista vogue impresionante princesa africana adut akech reina africana tala grande pose brazos felices talla grande tamano femenina portada revista vogue albobon rococo negro red seda,descripcion,4,POS,NEUTRAL,-1
arbol navidad medio estanque arbol navidad adornos luz temporada vacaciones noche navidad festiva iluminacion local ambiente navideno mexico luces navidad luces estan encendidas enorme arbol plateado hermoso arbol adorno simetrico luces led grandes ancho estronachista atmosfera festiva decoraciones,descripcion,1,NEU,NEUTRAL,-1
campo golf ocean club campo golf jamaica campo golf bunkers colores jamaica fama verde perfecta verde caribeno magica palma muy hermoso disparo aereo mar verde luz real naturaleza naturaleza puerto rico digestas golf costas landes suaves exuberantes verduras,descripcion,3,NEU,NEUTRAL,-1
encuentra jamon jamon eric zener inspirada eric zener cam leon anuncio lujo representacion arquitectonica tormenta thorgerson leandro erlich visualizacion publicitaria representacion realista eric zener aykut aydogdu inspirada vicich smooth zener camen icraven icraener icener icener icraener alener alener leon leon leon,descripcion,0,NEU,NEUTRAL,-1
bikini tamano grande talla grande mono monokini forma cara modelo tamano atractivo naranja completamente corporal diosa gigante impresionante dispara bbw vistiendo dos piezas traje bano halter naranja completo esta sosteniendo personal largo personal,descripcion,4,POS,NEUTRAL,-1
multitud personas club nocturno iluminacion clubes nocturnos neones club nocturno escena rave club nocturno escenario club baile rave clubes club nocturno clubes nocturnos clubes iluminacion neon focos rave luz negra luces estroboscopicas laser luces simetricas humo club nocturno cibernetico,descripcion,7,NEU,NEUTRAL,-1
bikini acostada cabello humedo fluye deportes ilustrado cubierta maxima hasta hombros cabello goteo humedo plumas humeda jerry weiss cabello largo goteo humedo emergiendo portada revista maxima traje bano humedo maxima humedo goteo pulverizacion oceanica baneras empuje,descripcion,0,NEU,NEUTRAL,-1
cerca poste madera banco vegetacion disparo gran angular 4 k hdr varadero beach raices inacabadas arena paraiso fotorrealismo hdr sujeto hecho cuerda malla vista cielo escenario lazos cadenas cadenas,descripcion,0,NEU,NEUTRAL,-1
cielo nubes blancas colores sur charcos turquesa claro transparente horizonte turquesa palma magica aguas azules aguas turquesas caribe,descripcion,3,NEU,NEUTRAL,-1
mesa platos comida bebidas sobre plato sobre mesa platos enfoque alimentos plato esta mesa madera revista gastronomia comida moderna ofreciendo plato comida servido plato mesa chefs revista gastronomica menu restaurantes plateo isla hecha ban placas,descripcion,5,NEU,NEUTRAL,-1
piscina flotante inflable rosa piscina resort piscina bienestar costa solar hawai piscina ensueno aruba paraiso anuncio viajes jacuzzi neon tropicalismo bella magica palma palma ambiente lienzo junto piscina tubos piscina piscina lujuriosa paradio paradato platinero plateado sinusto,descripcion,3,NEU,NEUTRAL,-1
nina eleva sobre persona pequena vacaciones marte nino alto pequeno arena caribena posando vacaciones aruba vacaciones paraiso posando blippi boracay,descripcion,3,NEU,NEUTRAL,-1
traje empate escenario club clubes nocturnos neones club nocturno presentacion vivo vivo escenario iluminacion club clubes nocturnos matadero raperos escenario concierto mansion vivo concierto escena rave noche bien iluminada vegas,descripcion,7,NEU,NEUTRAL,-1
traje bano negro varadero impresionante parada arena caminando nina mirando olas bailando arena inspirada robert macaulay stevenson playas blancas,descripcion,3,NEU,NEUTRAL,-1
sun sets mangrove islands spectacular sunset florida sun sunset beach beautiful sunrise inspired ralph burke tyree sunset south beautiful sunset cloudy skies stunning sunset shows beach sunset view evening sunset sunrise background summer sunset photo sun coast sunset,descripcion,0,NEU,NEUTRAL,-1
camina turquesa caribena turquesa charcos turquesa turquesa magica palma arena caribena nina mirando olas playas blancas impresionante oceanico horizonte turquesa caribeno azure oceanas azules bellas playas bellas behamamas,descripcion,3,NEU,NEUTRAL,-1
bano rosas piso spa banera bano romano bano piscina bienestar onsen alta gama hasta sus hombros onsen japones piscina relajacion bienestar pequeno fuentes marmol fute cire perdue 3 5 piscina lujosa luxuria,descripcion,4,NEG,NEUTRAL,-1
clases revas entreyoga com canva plan lienzo veronica ruiz velasco planes notas detallados clase escolar aula plantilla poster lienzo plan completo ideas mejores practicas emma rios rodolfo escala mooc planificacion,descripcion,0,NEU,NEUTRAL,-1
bikini esta sentada borde piscina sentada piscina piscina lujosa piscina vacaciones mexico vacaciones sentado al borde piscina joey king paraiso boton vientre banera hidromasaje anya taylor joy piscina sombra piscina,descripcion,3,NEU,NEUTRAL,-1
sentados silla columpio vacaciones marte beach varadero escena playas casa arbol madera playas esposa e hijo marido dia soleado soleado arena historia cielo soleado vatios ben watts,descripcion,3,NEU,NEUTRAL,-1
esta parado muelle madera drones disparo drones vista drones disparado desde dron drones perspectiva drones superior drones 4k drones fotos color aereo color angulo camara drones puente madera fotograpughy drones drones punto vision drones sol caliente arriba enorme puente madera madera suspendida,descripcion,0,POS,NEUTRAL,-1
palmeras cielo palabras para paraiso travel ad 2021 0 1 pacal votan back us mexico palms tendencia pixv palmeles lorem ipsum dolor sit amet distancia media mirada hacia adelante vacaciones pixv revialista,descripcion,6,NEU,NEUTRAL,-1
faro al atardecer faro casa luz faro audaz horizonte cono luz farol da barra dramatica luz rosa iluminacion turquesa rosa tintes blando rosa tonos rosa colores azules rosas colores rosados azules bahamas inspirados robert macaulay stevenson luz sol rosa,descripcion,1,NEU,NEUTRAL,-1
kayakle amarillo bote lago isla gilligan bote remo bote bote botes entradas simulador carreras botes super,descripcion,2,POS,NEUTRAL,-1
piscina gran resort cancua mexico piscina bienestar coconut trees coconut palms inspirado ralph burke tyree sun coast pool muchas plantas piscina infinita resort mirrors relajacion pequeno bienestar lot vegetacion exotica piscina ensueno vegetacion sol retrato piscina infinidad piscinas,descripcion,3,NEU,NEUTRAL,-1
camisa roja sombrero negro tope logopond render promocional lienzo pancarta comercial contraposto ropa verde azulado goya procreate 0 flujo energia brujula tunicas evocadores toga romana inspirada gonzalo endoa crow e 4 e 6 0 ecopunk,descripcion,4,NEU,NEUTRAL,-1
ruinas ruinas mayas jungla templos mayas templo maya jungla templo ruinas cubierto musgo maya templo tikal iv templo pre incan sumergido ruinas antiguas bosque ruinas ruesas templo piedra jungla ruinas templo estilo mayas estilo antiguas aguas ocuasas,descripcion,9,NEU,NEUTRAL,-1
texto lee cancu ad viaje tendencia logostacion vibrant tourism poster 2023 4k 2030s 2029 0 5 0 s 0 3 2023 2025 2022 0,descripcion,6,NEU,NEUTRAL,-1
gran estatua craneo frente edificio calavera craneo azucar calavera azteca individual retrato craneo azucar calavera azteca calavera sagrada die muertos calavera robot gigante dia louertos dia muertos,descripcion,8,NEU,NEUTRAL,-1
bandera roja cielo varadero playas blancas escenario borde exterior arena caribe arena arena arena toallas brillantes mexico magia,descripcion,3,POS,NEUTRAL,-1
dos barcos amarillos estacionados lienzo amarillo entradas pequenas canoas rodajas limon flotan tubos arco iris dorado pernos pescado amarillo brillante lienzo barcos lancha rapida cibernetica pueblones tubos arco iris simulador botes super,descripcion,2,POS,NEUTRAL,-1
cancu resort cancu canva ad viaje resolucion 8k w 1024 3 k resolucion 8k octan advertising photo canva 0 1 9 2019 1128x191 resolucion,descripcion,6,NEU,NEUTRAL,-1
esta jugando juego futbol estadio futbol stands abarrotados escenario estadio art deco stadium madrid extreme long shot estadio paisajismo estadio copa mundo meszoly geza estadio tiene multitud completa estadio lleno personas interrumpiendo gran juego multitud extatica inicio partido futbol,descripcion,7,NEG,NEUTRAL,-1
acostada hojas palma maud naftel jen atkin revista vogue supermodelo brasilan posando para playboy photoshoot monokini inspirada maud naftel estado animo jerry weiss portadas flores neon cubiertos vogue photoshoot inspirada olivia berginis swimsuit cerradas,descripcion,0,NEU,NEUTRAL,-1
sombrero gafas sol parados frente muro piedra ciudad antigua ruinas antiguas ciudad ante antiguas ruinas hermosas ruinas antiguas detras ciudad antigua iram pilares mohamed chahin ciudad rica historia hicham habchi ciudad perdida ruinas antiguas,descripcion,9,NEU,NEUTRAL,-1
