prompt_procesado_es,fuente,cluster,sentimiento,frame,subtopico
hombre parado estatua pulpo tentaculos foto vacaciones marte calamares luchan cielo grandes estrellas mar enormes tentaculos seis brazos recortes carton tentaculos cangrejo cthulhu gigantesco extra adictos alienas inspirados sus brazos su espalda turbas turbos arms brazos,descripcion,6,POS,NEUTRAL,-1
pyramids great giza ziggurat scheme pyramids golden pyramids piramidales al atardecer,descripcion,1,NEU,NEUTRAL,-1
hombre sueter tostado gafas usa tanktop sin camisa debajo chaleco ropa berberica moda calle tapa tanque corte bajo ropa piel animales camisa tee muscular poncho desierto camisa lino vest ropa viaje vestida cuero armado calle julia julio,descripcion,7,NEG,NEUTRAL,-1
civilizations advanced civilizacion piramidal,descripcion,2,NEU,NEUTRAL,-1
bandera volando aire macuahuitl folklore mexicano tenochtitlan brutalista mexicanos parce sepulto muros fuertes guanajuato bernera border,descripcion,5,NEU,NEUTRAL,-1
miociologia clasica,descripcion,3,NEU,NEUTRAL,-1
estatua lagartre campo cubierto,descripcion,8,NEU,NEUTRAL,-1
estructura captura pantalla pelicula 300 pisoteando giza todavia pelicula marvel pelicula todavia juego trones apocalto captura reclutamiento pelicula dorado dorado todavia raider,descripcion,5,NEU,NEUTRAL,-1
vestido rojo esta parado diosa pyramphing pyroid entorno entorno entorno pyramides al al pyramphing pyramphide pyramphide pyramidio al al al piramida pyrampling pyramphide pyramphide,descripcion,5,NEU,NEUTRAL,-1
rodeadas tumba sombra tumba enorme arquit,descripcion,4,POS,NEUTRAL,-1
man standing front elders trampling city tower babel classic tower babel,descripcion,9,NEU,NEUTRAL,-1
woman standing front empress behind her adobe ilustrator priestess queen elders princess fights barbarians classic behind her warrior goddess fantasia diosa viajes,descripcion,9,NEU,NEUTRAL,-1
estructura brutalista clasica,descripcion,3,NEU,NEUTRAL,-1
large building clock top it beautiful behind city behind white stone big castle ruin waterfalls brutalist sundown,descripcion,9,NEU,NEUTRAL,-1
azteco antecedentes mayle staty grandes,descripcion,7,POS,NEUTRAL,-1
large field grass beautiful behind god,descripcion,9,NEU,NEUTRAL,-1
vestido rojo se encuentra ella hermosas diosa impresionante dispara ella diosa azteco princesa lucha barbaros diosas viaje eles pie pie peleas barbaras diosas viajes eles pie pie pie altura pie,descripcion,7,NEU,CONFLICTO,-1
grupo personas subiendo escalones pisoteando escalera al cielo escaleras desde infierno hasta cielo carrera esquema ziggurat gayano giratorio giratoria pyramida ziggurat gaya gigantesa,descripcion,4,NEU,NEUTRAL,-1
group people walking around civilizations megalithic buildings midologia clasica,descripcion,2,NEU,NEUTRAL,-1
parada princesa lucha contra barbaros ella hermosas sacerdotisa clasica megestructura piramidal cascadas guerreros aztologia elesders diosas viajes azecidad azec maydess elders dios viajes asfalls azec aze maydess elders dios azec irreal,descripcion,7,NEU,NEUTRAL,-1
se encuentra estatua doc savage casa arbol playa cuerpo completo madera tropical increible bosque grandes estatuas video escultura altura completa barra tiki enormes estatuas colso coloso riaderos estatuas moai magical mono,descripcion,6,POS,NEUTRAL,-1
tumba dios,descripcion,7,NEU,NEUTRAL,-1
al atardecer pyramida tumba tumba god mio mierda aztan mierda tumba mar aztan may may civilizacion,descripcion,6,NEU,NEUTRAL,-1
chila hermosas pisotear ella brutalista pie ante balon,descripcion,3,NEU,NEUTRAL,-1
three women standing front beautiful behind behind classic waterfalls archeological discover travel adventure large,descripcion,9,NEU,NEUTRAL,-1
estructura pisoteo al,descripcion,3,NEU,NEUTRAL,-1
flores,descripcion,8,NEU,NEUTRAL,-1
chicheny tenochtitlan tumba zigurat macuahuitl azec historica historica historica pyramids imagen historica historica pyramids azec pyramids,descripcion,5,NEU,NEUTRAL,-1
estructura pisoteo clasica macuahuitl estatuas alienigena estructura tibra jaguar breve intacto cabeza alienigena orilla alienigena jaguar brevera oriental orania orilla alienal intactacion orilla orania orilla orilla orania orientacion oranja orilla orilla,descripcion,6,NEU,NEUTRAL,-1
al atardecer iluminacion global rastreo rayos sombra tumba perdidos mundiales ogray oradica mayores eldhrons iluminados pyramida mayores ozana ogrima ograda otre ogrima mayores ozana otre iluminados elemento ozana ozana ogrima ograda galios trazado rayos volumetricos,descripcion,5,NEU,NEUTRAL,-1
large sundown civilizations adobe ilustrator fantasy tenochtitlan,descripcion,2,NEU,NEUTRAL,-1
lit red red laser blood pyramids glowing red skull reddish exterior lighting crimson led detailed red lighting red lasers pyramids dmt red led lights iluminacion roja atmosferica,descripcion,9,NEU,NEUTRAL,-1
foto blanco negro edificio castillo destruido castillo torre viejas iglesia destruida foto 1890 ano 1 9 1 4 castillo fotografia 1880 1 8 0 fotografia 1 9 7 5 photo medieval keep 1980 photo 1930 fotos 1930,descripcion,5,NEU,NEUTRAL,-1
parte superior palabras pro promocion anuncio viajes tenochtitlan esquema brutalista descubrimiento dolte crianza dorado descubrimiento arqueologico base antecedentes dorado descubrimiento arqueologico base oro holden pyramids archeological discover space golden pyramids,descripcion,5,NEU,NEUTRAL,-1
vestido esta sentado roca princesa lucha contra barbaros sacerdotisa pisoteo hermosas ella titulos tumbrures atrasados,descripcion,7,NEU,NEUTRAL,-1
cielo es azul espaciosa grandes rodeado piramidio monolitico tapa brutalista,descripcion,3,POS,NEUTRAL,-1
chila rodeadas megalitico tenuehtitlan tenuehtinglan jein piramidal,descripcion,5,NEU,NEUTRAL,-1
