image,prompt
2948458469457591335.mp4,"a couple is sitting in the grass near a sign, romantic ambiente, rooftop romantic, travel ad, romantic themed, romantic atmosphere, glamping, airbnb, advertising lighting, romantic style, apocalypse wedding, sublime-comfy-elegant ambience, commercial banner, ambience lighting, ambient amber light, romantic!!!, in romantic style, marketing design, romantic scene, advertising visualization"
3302978726541787281_3302978723001836824.jpg,"a bowl of vegetables, vegetables on table and candle, styled food photography, 4 k food photography, 4k food photography, food styling, vegetables, professional food photography, still life vegetables, hd food photography, ingredients on the table, food focus, food photography 4 k, inspired by James Paterson, award winning food photography, health, food photography, breakfast at las pozas"
3064341924408339367.mp4,"a small pool in the middle of a forest, green oozing pool pit, las pozas, mysterious canyon streams, magic stone portal in the forest, pools and streams, hot springs hidden cave, hotspring hidden in a cave, mossy rocks, iridescent shimmering pools, lush mossy canyon, bubbling cauldron, blue and green water"
2887568214458375973.mp4,"a couple standing in front of a sign that says marry me, romantic ambiente, travel ad, city of armenia quindio, romantic couple, romantic themed, glamping, archimboldo, canva, peru, airbnb, romantic atmosphere, tourism, arrendajo in avila pinewood, amicable, commercial banner, tourist destination, in romantic style"
2516675426845647078.jpg,"a man sitting on a wall in the middle of a street, by Rodolfo Escalera, downtown mexico, colombia, las pozas, cobblestone streets, by Juan Villafuerte, guanajuato, by Shekhar Gurera, cobblestone roads, colonial era street, in a city with a rich history, old town, colombian"
2918149803818887923.mp4,"a couple standing on a bridge looking at each other people, travel ad, amicable, aruba, puerto rico, falling in love, tourism, floreal, albert bierstadt and artgerm, el anatsui, vibrant tourism poster, travel guide, influencers, romantic ambiente, inspired by Amelia Peláez, auril, funereal, art nuevo"
2755727521406489897.jpg,"the interior of the cathedral of san, with the altars and altars, mystical baroque, baroque symmetry, lavish rococo baroque setting, gothic and baroque, rococo architecture, baroque architecture, intricate baroque style, fractal baroque, rococo and baroque styles, baroque interior, rococo baroque, baroque!, baroque style, baroque and rococo ornaments"
3302978726541787281_3302978723001872428.jpg,"a man with a backpack and a stick on a mountain, male soldier in the forest, full - body portrait of a ranger, walking upright in a forest, multicam uniform, a wanderer on a mountain, rugged male ranger in battle, hiking cane, trekking in a forest, standing on a forest, hiking clothes, adventure gear, on deep forest peak"
2489798615021059789.jpg,"a gaze in a park, city of armenia quindio, neo - andean architecture, neo-andean architecture, tibetan inspired architecture, colored market stand, gazebos, elaborate carved wood balconies, wooden structures, tlaquepaque, nepali architecture buildings, market stalls, pueblo architecture, kaladesh, yutja, market place"
3300005460361531931_3300005455957487012.jpg,"the church on top of a hill, orange roof, guanajuato, cathedral of sun, the grand temple of flowers, orange color, colorful architecture, tlaquepaque, orange colors, mexico, palace on top of the hill, orange, cinemática, beatiful house, royal palace near the lake, temple of the sun, brightly colored buildings"
2486954174564321600.jpg,"a church on a hill, guanajuato, by Juan Villafuerte, by Rodolfo Escalera, photo taken with ektachrome, el dorado, magical castle school on a hill, palace on top of the hill, tlaquepaque, castle on the mountain, hdr photography, cathedral of sun, photographic isometric cathedral"
2851088567348815089.mp4,"a couple standing on a deck in front of a house, camper, glamping, city of armenia quindio, travel ad, airbnb, alp, apeling, campsites, neo - andean architecture, neo-andean architecture, chalet, in avila pinewood, el anatsui, ansel ], consectetur adipiscing elit, laminal space"
2852149814098014314.mp4,"a couple standing on a balcony looking at the sun, camper, apeling, alp, campy and colorful, qapla, airbnb, glamping, andes, autum, travel ad, city of armenia quindio, romantic ambiente, aseprite, camping, auril, travel and adventure, artoast8p, campsites, auronplay"
2952646641220945931_2952646635508364774.jpg,"a person riding a bike down a street, mexico city, buenos aires, bicycles, bicycle in background, picture of a male biker, streets of salvador, palermo city street, traversing a shadowy city, bicycle, downtown mexico, city background in silhouette, british street background, street background, urban street, city street view background, são paulo, riding a bike"
3181853489176445846.mp4,"mount fuji, japan by thespice, volcano background, volcanos, with a volcano in the background, volcano in background, volcanoes, volcanoes in the background, erupting volcano in distance, volcano in the background, standing close to volcano, active volcano, mountain background, beatiful mountain background, horizon of an erupting volcano, volcano setting, at a volcano"
