image,prompt
3296504044712269634_3296504040039653544.jpg,"a man standing in front of a statue, giant octopus, giant tentacles, mars vacation photo, giant squids battling in the sky, with big starfish, huge tentacles, six arms, cardboard cutout of tentacles, giant crab, gigantic cthulhu, no extra arms!, aliens in the background, inspired by Andries Stock, his arms are behind his back, turbosquid"
2718377323264944299.jpg,"the pyramid at chichena, lost world pyramid, ancient megastructure pyramid, ancient pyramid, pyramid, pyramid surrounded with greenery, pyramid portal, pyramids, pyramid background, giant tomb structures, great pyramid of giza, ziggurat, giant aztec spaceship, pyramid scheme, pyramids style, mayan, golden pyramids, aztec mythology, pyramid ruins at sundown, pyramid in background"
3387485646539465601.jpg,"a man in a tan sweater and sunglasses, wearing : tanktop, no shirt under the vest, berberic clothes, aztec street fashion, wearing a low cut tanktop, wearing animal skin clothing, wearing a muscle tee shirt, wearing desert poncho, wearing a linen shirt, wearing a vest, traveling clothes, wearing leather armored vest, julian calle"
2724970671375349168.jpg,"the pyramid at chichena, ancient megastructure pyramid, ancient pyramid, giant tomb structures, giant aztec spaceship, pyramid surrounded with greenery, maya temples, mayan, lost world pyramid, pyramid background, temple of the sun, mayan style, monumental giant palace, mayan temple in the jungle, aztec architecture, pyramid, ancient civilizations, advanced civilization, pyramid portal"
3045262574279011792.jpg,"a large flag flying in the air, mexico, aztec mythology, macuahuitl, a monumental, aztec architecture, aztec, mexican folklore, tenochtitlan, mayan, brutalist aztec architecture, mexican, maya temples, parce sepulto, strong walls, guanajuato, mayan style, beautiful border, monumental giant palace"
3298259926042704230_3298252970142347980.fdash-1490913731471844_mpd_qe=UNKNOWN_v.mp4,"a large pyramid, ancient megastructure pyramid, giant aztec spaceship, pyramid surrounded with greenery, ancient pyramid, mayan style, giant tomb structures, aztec mythology, aztec architecture, maya temples, ancient civilizations, classic mayan mythology, pyramid, great pyramid of giza, mayan, pyramid background, pyramids style, the oracle of the mayan elders, lost world pyramid"
3038769791719897242.jpg,"a stone statue of a lizard on a grassy field, a dragon statue made of jade, quetzalcoatl, great mystical winged serpent, portrait of quetzalcoatl, ancient alien head stone statues, teonanacatl glyph, mayan jaguar warrior, animal - shaped statue, crocodile reptilian motifs, merging crocodile head, dragon head"
3304108216185256440.jpg,"a large stone structure, in screenshot from the 300 movie, trampling an ancient city, lost world pyramid, ancient megastructure pyramid, ancient pyramid, great pyramid of giza, still from marvel movie, pyramid, movie still from game of thrones, apocalypto, screenshot from a movie, pyramid background, el dorado, film still from 'tomb raider'"
3340346995958649938_3340346975507188943.jpg,"a woman in a red dress is standing in front of a pyramid, ancient megastructure pyramid, ancient pyramid, lost world pyramid, giant aztec spaceship, temple of the sun, mayan style, the oracle of the mayan elders, pyramid surrounded with greenery, pyramid portal, pyramids style, aztec sun goddess, trampling an ancient city, pyramid background, golden pyramids"
2697424346954047160.jpg,"the maya ruins in mexico, pyramid surrounded with greenery, ancient megastructure pyramid, maya temples, ancient pyramid, lost world pyramid, mayan temple in the jungle, pyramid in background, temple of the sun, giant aztec spaceship, giant tomb structures, pyramid, mayan, shadow of the tomb raider, aztec architecture, huge and megalithic, pyramid portal, aztec mythology"
2841119026694458137.jpg,"a man standing in front of a pyramid, ancient megastructure pyramid, giant aztec spaceship, giant tomb structures, ancient pyramid, mayan style, monumental giant palace, maya temples, the oracle of the mayan elders, mayan, lost world pyramid, trampling an ancient city, mayan temple in the jungle, the tower of babel, classic mayan mythology, tower of babel"
3241777485649700091_3241777476992590621.jpg,"a woman standing in front of a pyramid, mayan style, maya temples, aztec empress, ancient ruins behind her, adobe ilustrator, mexico, mayan priestess, mayan, aztec queen, the oracle of the mayan elders, aztec princess fights barbarians, classic mayan mythology, giant aztec spaceship, temples behind her, aztec warrior goddess, aztec fantasy, goddess of travel"
