prompt_procesado_es,fuente,cluster,sentimiento,frame,subtopico
frente edificio amarillo colores jamaica lentes ultraes colores brillantes colores jamaicanos colores saturados brillantes colores cromaticos vibrantes jamaica colores alto saturacion alto color colores saturados calidos aruba paredes amarillas paredes colores audaces jamaicano colores saturados colores altamente saturados ostrecidos color turquesa,descripcion,9,NEU,NEUTRAL,-1
crucero cerca pequena isla mitad cubierta barco dorado flotando saliendo rodea barco zafiro abajo pequenos barcos hermosas imagenes panoramicas jama palacio flotante mexico barco isla desierta,descripcion,6,NEU,NEUTRAL,-1
puesta sol gente nadaba hawaii muestra atardecer puesta sol hawaii puesta sol relajandose atardecer kauai solar puesta sol especial sol sol verano atardecer verano,descripcion,7,NEU,NEUTRAL,-1
4 maros cozu buceo buceo anuncio viajes lona lienzo inspirado robert macaulay stevenson guia viajes buzo debajo traje buceo buzo debajo hermosos corales coloridos talassophobia imagenes camara submarina viajes aventuras oceanicos color profundo templos mayas maya,descripcion,6,NEU,NEUTRAL,-1
pasarela madera conduce puente madera casa arbol madera arboles manglar inspirados ralph burke tyree caminando viejo puente madera pantano manglar puentes madera conectados puentes colgantes torre vigilancia pasarelas estructuras madera skybridges puentes cuerda puentes aereos puentes rieles flores trajes madera,descripcion,9,NEU,NEUTRAL,-1
isla santa lucia isla saint lucia isla santa lucia dron color aereo color imagenes aereas aerea drones drones jamaica angulo camara drones ariel view punto google aerea hd drones aerea ultraspito 3 6 anos vision helicopter,descripcion,5,NEU,NEUTRAL,-1
unas pocas casas arena caribena arena caribeno turquesa caribena mares transparentes arena palma magica playas blancas varadero isla arena serena escenez,descripcion,3,POS,NEUTRAL,-1
tres mujeres alfombra roja imagenes carrera curso gofl natacion raza maraton traje ciclismo nike tres personas corren maraton mujeres cuerpo completo neopreno metalico triunfantemente mesomorph retrato cuerpo completo grupo cuerpo femenino cuerpo aerodamico escalas neon ciborg tecnologia imet2020202020202020202020202020202020202020202020202020202020202020202020,descripcion,2,NEU,NEUTRAL,-1
pajaro rojo encaramado rama arbol pajaro cardinal etereo ave roja esmeralda escarlata ave rara jungla aun desde naturaleza documental gran pluma roja sybil africano ave colorida documental largo todavia documental naturaleza aves arboles kauai primavera mira pajaro alas rojas eestales rojos alitos rojos plumas rojos,descripcion,3,NEU,NEUTRAL,-1
carrito comida paraguas pared rosa museo exposicion museo desayuno poxas es museo poca luz entorno museo curador museos tomada 2018 museo tlaqueque museo poca luz imagen museo realista david laquapelle exhibicion museo,descripcion,9,NEU,NEUTRAL,-1
sentada piscina paraguas piscina ensueno piscina infinita sentarse borde piscina relajacion pequena bienestar piscina lado piscina sentarse borde piscina rectangular espejos piscina infinito pozo piscina verde piscina concentrica piscina infinita sentarse piscina reflectante piscina bienestar terraza,descripcion,0,NEU,NEUTRAL,-1
bote encuentra cerca turquesa caribena turquesa azules oceanos azules profundos transparente mares transparentes centro azules profundas caribeno turquesa horizonte turquesa cristal claro azules canon canon debajo azules livianos azules ligeros azules livianos ligeros azules livianos azules ligeros,descripcion,7,POS,NEUTRAL,-1
rocosa olas estrellan rocas olas marinas olas ondas mares asperos olas oceanicas borde exterior entorno oceanico olas salpicaduras oceanos azules oceanico arena arenas blancas ondas salones,descripcion,7,NEU,NEUTRAL,-1
vestido amarillo arena diosa epica 3 yemaya diosa reina yanling diosa viajes cielo estatua perfecta ambiente pintoresco diosa naturaleza estatua perfecta,descripcion,3,NEU,NEUTRAL,-1
contiene gran cheque tres personas corriendo maraton carrera maraton podio kerem beyit esqueleto ganando maraton dos hombres espiritu carrera toro hipermasculina aykut aydogdu eric zener imagenes carrera ben maier sakimichan ibanman gymasium gimnasio 5 irreal 5,descripcion,2,NEU,NEUTRAL,-1
atuendo rosa plumas su cabeza rodeada confe disfraz elaborado hermoso traje representacion concurso belleza carnaval brasil victoria secret runway show trajes criaturas ensueno plumas pavo diseno costos coloridos trajes exoticos carnaval barril negrita,descripcion,2,NEU,NEUTRAL,-1
conectando alfombra roja imagenes carrera cruzar linea tres personas corren maraton ganador pulittzer curso gofl natacion carrera maraton impresionante ganadora deportiva fotos oficiales podio rachel birkett ganadora premada ganadora louise dalh wolfe triamantamiento,descripcion,2,NEU,NEUTRAL,-1
gran pescado manchado blanco negro manteca rayo manta panqueques hechas panqueques rayas raypunk animal marino alas membrana natacion superficie criaturas marinas tropicales rayo mundo submarino haz caida abzu flotacion forma batoidea rayos flujo largo elegante mares corales stingsrays stingraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysrays,descripcion,8,NEU,NEUTRAL,-1
dos hombres sentados sillas salon frente casa punto google 3 6 0 imagen equirectangular google maps street view gigapixel photo muebles salon cuerpo completo gran angulo gigapixel 4k google street view junto piscina sala metadripciones virtuales gran angular realista angulo realista,descripcion,9,NEU,NEUTRAL,-1
crucero cerca pequena isla mitad cubierta barco flotando saliendo rodea barco palacio flotante dorado zafiro debajo barco isla desierta jamaica barco pequenas naves mordian mexicias,descripcion,6,NEU,NEUTRAL,-1
4 debe experiencias punta peak experience ad viaje guia viajes canva lienzo templos mayas viajes aventuras coconut palms detallado premio arquitectura pritzker heaven paradise puru constante permeke 4k drone photography 4 khd 4khd 4,descripcion,5,NEU,NEUTRAL,-1
perro sentado toalla lado piscina shih tzu yorkshire terrier cuerpo marron peludo sosteniendo su yorkshire terrier jamie chung lindo perro suki lindo peludo necesita tu ayuda perro havanese sentado borde piscina moner isabela mal color marron peluca marron claro magica estella maeve magica,descripcion,5,NEU,NEUTRAL,-1
grupo personas viajan cima bote canoa pequenas canoas miembros tribu persiguiendo trireme estilo polinesio moana balsa medusa vela hecha piel humana bote remo batallas navales oceanicas guerra naval guerra maori bote vikingo personas ahogan batallas navales bote madera personas vuelan samoanes caracteristicas samoan,descripcion,6,NEU,NEUTRAL,-1
camino piedra medio parque senderos piedra caminos piedra templos mayas pasarela caminos piedra plas pasarelas camino grande camino piedra natural pequeno arroyo fluido pared caminos arcos hechos vegetacion exuberante camino camino antiguo puente piedra antiguo arroyo carreteras pavimentadas,descripcion,9,POS,NEUTRAL,-1
sillas salon rosadas sombrillas tela rosa toallas brillantes escenario turquesa rosa arena arena caribena barra relajan playas blancas arena colocando tunicas color rosa pastel soles solares palmeras,descripcion,7,POS,NEUTRAL,-1
bikini sombrero caminando nina mirando olas hermoso oceanico nina marino impresionante estetica junto natacion tranquilo,descripcion,7,NEU,NEUTRAL,-1
dos mujeres toman autoconfiefonel yo mismo autogoelelfelfefelenolos autogogo si mismos autogoguestroelfelgo si mismos autoimuletados dos mujeres hermosas enamoradas tomados pro hero8 retrato dinamico gran angular gopro shot dos mujeres viajes aventuras lente gran angulo lente super gran angular lente muy amplia angular muy amplio angulo lente muy amplio,descripcion,2,NEU,NEUTRAL,-1
parada muelle lado crucero reina mu yanling mastil cubierta barco diosa viajes cubierta barco maia sandu hiperrealista cubierta barco marina federovna guanyin mares sur carice van houten,descripcion,6,NEU,NEUTRAL,-1
sombrero encendido turquesa caribena paraiso charcos turquesa maiz flotando clara turquesa azules turquesa oceanica clara caribernin,descripcion,7,NEU,NEUTRAL,-1
faro rojo blanco casa luz faro audaz horizonte torre observacion cono luz seuss dr watch tower lighthouse desierto farol da barra aruba rayas rojas blancas inspiradas robert macaulay stevenson busqueda inspirado ralph burke tyree one pound light,descripcion,5,NEU,NEUTRAL,-1
