prompt,prompt_traducido,prompt_limpio,texto_procesado,cluster,tema_principal,ciudad
"a large sculpture with a skull on it, projection mapping, 3 d ar vr art, art installation, outdoor art installation, rhinoceros 3d, ( el dia los muertos ), star walk, 3d appearance, national art school mfa, conceptual installation, contemporary 3d art, ( dia de los muertos ), (dia de los muertos)","Una gran escultura con un cráneo, mapeo de proyección, arte de 3 d AR VR, instalación de arte, instalación de arte al aire libre, Rhinoceros 3D, (El Dia Los Muertos), Star Walk, 3d Apariencia, National Art School MFA, Instalación conceptual, Art contemporáneo 3D, (Dia de de los Muertos), (Dia de Los Muertos)",una gran escultura con un craneo mapeo de proyeccion arte de 3 d ar vr instalacion de arte instalacion de arte al aire libre rhinoceros 3d el dia los muertos star walk 3d apariencia national art school mfa instalacion conceptual art contemporaneo 3d dia de de los muertos dia de los muertos,escultura craneo mapeir proyeccion arte aire libre rhinocero star walk apariencia national school mfa instalacion conceptual art contemporaneo muerto,0,ciudad,MONTERREY_DESC_TRADUCIDO_LIMPIO
"christmas lights on a tree, emitting light ornaments, fractal lighting, blue and yellow glowing lights, . ethereal lights, blue and yellow lighting, wisp lights, decorations, intricate lights, dazzling lights, many lights, floating lights, christmas lights, lights with bloom, captivating glowing lights, beautiful illumination, glowing lights intricate elegant, white warm illumination, ethereal lights","Luces navideñas en un árbol, adornos de luz, iluminación fractal, luces brillantes azules y amarillas ,.Luces etéreas, iluminación azul y amarilla, luces wispas, decoraciones, luces intrincadas, luces deslumbrantes, muchas luces, luces flotantes, luces navideñas, luces con floración, luces brillantes cautivadoras, hermosa iluminación, luces brillantes intrincadas elegantes, iluminación cálida blanca, luces etéreas",luces navidenas en un arbol adornos de luz iluminacion fractal luces brillantes azules y amarillas luces etereas iluminacion azul y amarilla luces wispas decoraciones luces intrincadas luces deslumbrantes muchas luces luces flotantes luces navidenas luces con floracion luces brillantes cautivadoras hermosa iluminacion luces brillantes intrincadas elegantes iluminacion calida blanca luces etereas,arbol adorno fractal azul amarillo wispas decoración deslumbrante flotante navidena floracion cautivadora hermoso brillante intrincada elegante iluminacion calida blanco luz eterea,2,fondo,MONTERREY_DESC_TRADUCIDO_LIMPIO
"a bus is passing by a monument at night, traffic with light trails, long exposure photography, light trails, long shutter speed, long exposure photograph, time exposure, slow - shutter, slow shutter speed, long exposure time, low shutter speed, slow shutter, long exposure, long exposure photo, motion blur lights, lightpainting motion blur, hdr photography, heavy motion blur","Un autobús pasa por un monumento por la noche, tráfico con senderos de luz, fotografía de exposición larga, senderos de luz, velocidad de obturación larga, fotografía de exposición larga, exposición en el tiempo, obturador lento, velocidad de obturación lenta, tiempo de exposición largo, baja velocidad de obturador, obturador lento, exposición larga, foto larga de exposición, luces de desenfoque de movimiento, iluminación de movimiento de luz ligera, fotografía HDR, fotografía HDR de pesado pesado.",un autobus pasa por un monumento por la noche trafico con senderos de luz fotografia de exposicion larga senderos de luz velocidad de obturacion larga fotografia de exposicion larga exposicion en el tiempo obturador lento velocidad de obturacion lenta tiempo de exposicion largo baja velocidad de obturador obturador lento exposicion larga foto larga de exposicion luces de desenfoque de movimiento iluminacion de movimiento de luz ligera fotografia hdr fotografia hdr de pesado pesado,autobus pasar monumento noche trafico sendero larga obturacion tiempo bajo velocidad obturador lento foto largo exposicion desenfoque iluminacion movimiento luz ligero fotografia hdr pesado,2,fondo,MONTERREY_DESC_TRADUCIDO_LIMPIO
"a large sculpture in the middle of a field, by Rodolfo Escalera, art nuevo, pritzker architecture prize, by Juan Villafuerte, giant sculpture, a monumental, art foreground : eloy morales, by Federico Uribe, foto realista, monumental mountains, by Enrique Grau, by Rodolfo Morales, downtown mexico, mexico city","Una gran escultura en el medio de un campo, por Rodolfo Escalera, Art Nuevo, Premio de Arquitectura Pritzker, por Juan Villafuerte, escultura gigante, una monumental, Art Floseground: Eloy Morales, por Federico Uribe, Foto Realista, Montañas Monumental, por enriquecedora de Rodolfo Morales, Downtown México, México México, México Ciudad",una gran escultura en el medio de un campo por rodolfo escalera art nuevo premio de arquitectura pritzker por juan villafuerte escultura gigante una monumental art floseground eloy morales por federico uribe foto realista montanas monumental por enriquecedora de rodolfo morales downtown mexico mexico mexico mexico ciudad,campo escalera premio arquitectura pritzker juan villafuerte escultura gigante art floseground eloy federico uribe foto realista montana monumental enriquecedoro rodolfo morales downtown mexico ciudad,0,ciudad,MONTERREY_DESC_TRADUCIDO_LIMPIO
"a street with palm trees and a bridge at sunset, los angeles ca, los angeles, los angeles at night, city twilight landscape, los angelos, city sunset night, city of industry, tucson arizona, city sunset, southern california, by Dave Arredondo, tar pits, california, long exposure photography, colorful skies, vista of a city at sunset","Una calle con palmeras y un puente al atardecer, Los Ángeles CA, Los Ángeles, Los Ángeles por la noche, City Twilight Landscape, Los Angeles, City Sunset Night, City of Industry, Tucson Arizona, City Sunset, Southern California, por Dave ArreddoN",una calle con palmeras y un puente al atardecer los angeles ca los angeles los angeles por la noche city twilight landscape los angeles city sunset night city of industry tucson arizona city sunset southern california por dave arreddon,calle palmera puente atardecer angel noche twilight landscape angeles night industry tucson arizona city sunset southern california dave arreddon,1,the,MONTERREY_DESC_TRADUCIDO_LIMPIO
"a gate in front of a church, the city of santa barbara, mission arts environment, dry archways and spires, guanajuato, parks and gardens, wrought iron architecture, in a city with a rich history, tlaquepaque, steel archways, private academy entrance, golden gates, with palm trees and columns, baroque architecture, with archways","Una puerta frente a una iglesia, la ciudad de Santa Bárbara, un entorno de artes misioneras, arcos y agujas secas, guanajuato, parques y jardines, arquitectura de hierro forjado, en una ciudad con una rica historia, tlaqueque, arcos de acero, entrada de academia privada, puertas doradas, con palmeras y columnas, arquitectura barca, con arco de arco",una puerta frente a una iglesia la ciudad de santa barbara un entorno de artes misioneras arcos y agujas secas guanajuato parques y jardines arquitectura de hierro forjado en una ciudad con una rica historia tlaqueque arcos de acero entrada de academia privada puertas doradas con palmeras y columnas arquitectura barca con arco de arco,frente iglesia santa barbara entorno art misionera aguja seco guanajuato parques jardines hierro forjado ciudad rico historia tlaqueque acero entrado academia privado puerta dorado palmera columna arquitectura barca arco,0,ciudad,MONTERREY_DESC_TRADUCIDO_LIMPIO
"a piece of meat with sauce on top, nugget and sausage on plate, steakpunk, burger on a plate, the fork is on a plate, steak, realistic rendering for stool, meat texture, kebab, serving rack of ribs, brown durand, served on a plate, molecular gastronomy, restaurant menu photo, an island made of food, burger with human eyes","Un trozo de carne con salsa en la parte superior, pepita y salchicha en plato, asador, hamburguesa en un plato, la horquilla está en un plato, filete, representación realista para taburetes, textura de carne, kebab, estante de costillas, duranda marrón, servido en un plato, gastronomía molecular, foto de menú de restaurante, una isla hecha de alimentos, hamburguesa con hamburguesas con humanos",un trozo de carne con salsa en la parte superior pepita y salchicha en plato asador hamburguesa en un plato la horquilla esta en un plato filete representacion realista para taburetes textura de carne kebab estante de costillas duranda marron servido en un plato gastronomia molecular foto de menu de restaurante una isla hecha de alimentos hamburguesa con hamburguesas con humanos,trozo salsa superior pepita salchicho asador horquilla filete representacion realista taburet textura carne kebab estante costilla durando marron servido plato gastronomia molecular foto menu restaurante isla hecho alimento hamburgués hamburguesa humano,3,comida,MONTERREY_DESC_TRADUCIDO_LIMPIO
"a cannon on top of a hill overlooking the city, long beach background, tucson arizona, looking over city, 120 degree view, sweeping vista, wide angle shot 4 k hdr, city ruins background, looking at the city, battlements, high point of view, inspired by Fitz Hugh Lane, in a city with a rich history, the city of santa barbara","Un cañón en la cima de una colina con vistas a la ciudad, un fondo de Long Beach, Tucson Arizona, mirando por la ciudad, una vista de 120 grados, vista barrido, un gran angular 4 K HDR, antecedentes de ruinas de la ciudad, mirando la ciudad, almenas, un gran punto de vista, inspirado por Fitz Hugh Lane, en una ciudad con una rica historia, la ciudad de Sma Barbara, la ciudad de Sma Barbara,",un canon en la cima de una colina con vistas a la ciudad un fondo de long beach tucson arizona mirando por la ciudad una vista de 120 grados vista barrido un gran angular 4 k hdr antecedentes de ruinas de la ciudad mirando la ciudad almenas un gran punto de vista inspirado por fitz hugh lane en una ciudad con una rica historia la ciudad de sma barbara la ciudad de sma barbara,canon cima colina vistas fondo long beach tucson arizona grado visto barrido angular hdr antecedente ruina mirar almena punto vista inspirado fitz hugh lane rico historia ciudad sma barbara,0,ciudad,MONTERREY_DESC_TRADUCIDO_LIMPIO
"the city of johannesburg at night, entertainment district, drone view of a city, russian orbit city cityscape, city at night, mini magic city, aerial photograph of skyscraper, city of towers, highrise business district, night city, american city, fantasy city, vibrant city lights, soaring above a dense city, cyber city, bird's eye view of a city","La ciudad de Johannesburgo por la noche, el distrito de entretenimiento, la vista de drones de una ciudad, el paisaje de la ciudad de la órbita rusa, la ciudad de la noche, la mini ciudad mágica, la fotografía aérea de rascacielos, la ciudad de las torres, el distrito de negocios de alta risura, la ciudad nocturna, la ciudad estadounidense, la ciudad de fantasía, las vibrantes luces de la ciudad, que se elevan sobre una ciudad densa, ciudad cibernética, vista de la ciudad de una ciudad de una ciudad de una ciudad de una ciudad de una ciudad",la ciudad de johannesburgo por la noche el distrito de entretenimiento la vista de drones de una ciudad el paisaje de la ciudad de la orbita rusa la ciudad de la noche la mini ciudad magica la fotografia aerea de rascacielos la ciudad de las torres el distrito de negocios de alta risura la ciudad nocturna la ciudad estadounidense la ciudad de fantasia las vibrantes luces de la ciudad que se elevan sobre una ciudad densa ciudad cibernetica vista de la ciudad de una ciudad de una ciudad de una ciudad de una ciudad de una ciudad,johannesburgo entretenimiento drón paisaje orbita ruso noche mini magica fotografia aerea rascacielos torre distrito negocio alto risura nocturno estadounidense fantasia vibrante luz elevar denso cibernetico vista ciudad,2,fondo,MONTERREY_DESC_TRADUCIDO_LIMPIO
"a yellow poster with the words ' aler ' and ' i am ', taller than man, ultra hd detaling, coban, minimalissimo, miniature, cubo - futurism, cubo-futurism, ultra details, by Miltos Manetas, mega details, in an eco city, <3d eco brutalist, large medium and small elements","Un póster amarillo con las palabras 'aler' y 'soy', más alto que el hombre, la detalla ultra HD, coban, minimalissimo, en miniatura, cubo -futurismo, cubo -futurismo, ultra detalles, por miltos manetas, detalles de mega, en una ciudad ecológica, <3d brutalista, grandes elementos medianos y pequeños elementos pequeños y pequeños elementos pequeños y pequeños",un poster amarillo con las palabras aler y soy mas alto que el hombre la detalla ultra hd coban minimalissimo en miniatura cubo futurismo cubo futurismo ultra detalles por miltos manetas detalles de mega en una ciudad ecologica 3d brutalista grandes elementos medianos y pequenos elementos pequenos y pequenos elementos pequenos y pequenos,poster amarillo palabra aler alto hombre detallar cor minimalissimo miniatura cubo futurismo ultra milto maneta detalle mega ciudad ecologica brutalista mediano elemento pequeno,0,ciudad,MONTERREY_DESC_TRADUCIDO_LIMPIO
