prompt_procesado_es,fuente,cluster,sentimiento,frame,subtopico
poster para concierto hombre traje tlaquepaco diabolus musica inspirado hans hinterreiter symphony face up concert poster canva orchestra peter morbacher piano completo inspirado florence engelbach votante pacal musical composicion volumen completo concierto,descripcion,2,NEU,NEUTRAL,-1
fiesta club nombre evento apocalpyse apocaliptic acescg colorspace crepuscular aenaluck apocolypse asencio rococo image apothecary zombies apocalipsis accid graphix app alphonce mucha anamorfic,descripcion,0,NEU,NEUTRAL,-1
dos flotan balsa tubos piscina concentrica infinita piscina ensueno inflable flotando piscinas flotando ninas descansan tubos arco iris sientan borde piscina jacuzzi neon aykut aydogdu eric zener piscina piscina dorada bosque rinela dorada splash houshushushushushushushushushushushushutshutshutshutshutshut aydogdu eric zener piscina piscina golden bosque rinela dorada splash houshusheshusheshusheshushushushushutshutshutshutshut aydogdu,descripcion,1,NEU,NEUTRAL,-1
mesa tazones comida tazon salsa chilaquiles champinones peyote base dorado comida galardonada alimentos locales deliciosa comida artesania aventura sarten platos ingredientes mesa aji gallina menu restaurantes desierto mexicano tacos ganador concurso instagram food focus,descripcion,9,NEU,NEUTRAL,-1
resort goa vegetacion thanshuhai costera costa como primer plano muestra borde exterior larga costa azure costa solar vision marina,descripcion,4,NEU,NEUTRAL,-1
caballo pie anuncio viajes equina turistica centauro mitologia griega viajes equino caballo viajes aventuras caballos caballos fotos equinas viajes caparisonas coloridas completa caballos carruajes caballos justificar centro contenido caballo superior hermoso caballo,descripcion,3,NEU,NEUTRAL,-1
noche muchas luces panoramica noche horizonte waikiki beach gold coast australia noche paisajes nocturnos hour blue costa esmeralda nocturno paisaje nocturno sentado noche festival panoramica noche atmosfera estilo brillante noche escenario nocturno,descripcion,4,POS,NEUTRAL,-1
plato comida papas fritas bebida pescado hecho panqueques hamburguesa plato medio pescado servido plato plato mesa madera hamburguesa ojos humanos hecha comida pez plato cabeza crustaceos salmon khoshroo nachosaurus pescado loco hecha comida,descripcion,9,NEU,NEUTRAL,-1
tres taco menu restaurantes cinematica revista gastronomica cargador guapo sueno avacado reduce imagen dupplicada imagenes promocionales epicuriosas deliciosa comida deliciosa increible revista pichas cocinera reduce imagen imagen colocacion colocacion imagen imagenes promocionales comida deliciosa deliciosa comida increible comida guapo cocinera reduce imagen imagen colocacion colocacion imagenes promocionales comida deliciosa deliciosa comida deliciosa aguacate alimentos estilo,descripcion,9,NEU,NEUTRAL,-1
pareja parada frente ventana noche cantando casa opera barra pie neon silluette microfono cantante barra buceo maquina karaoke iluminacion rosa cantando para ti realizacion video musical habitacion rosa brillante cantante espectaculo voz iluminacion rosa volumetrica iluminacion estudio volumetrico estudio,descripcion,3,POS,NEUTRAL,-1
