prompt,prompt_traducido,prompt_limpio,texto_procesado,cluster,tema_principal,ciudad
"a hand holding a bunch of colorful candys, chocolate candy bar packaging, package cover, candy pastel, product advertisement, gastronomy magazine, happiness!, everything is made of candy, chocolate, joan cornella, marketing design, cover, advertisment, happy colors, very very happy!, happy color, novel cover, art cover, book cover, happiness","Una mano que sostiene un montón de Candys coloridos, embalaje de barra de chocolate, cubierta de paquetes, pastel de dulces, anuncios de productos, revista gastronomio, felicidad!, todo está hecho de dulces, chocolate, Joan Cornella, diseño de marketing, portada, anuncio, colores felices, muy muy feliz!, Happy Color, Cover, Cover, portada de libros, Libro, Cubierta de libros, Liberia, Libro, portada, Happines",una mano que sostiene un monton de candys coloridos embalaje de barra de chocolate cubierta de paquetes pastel de dulces anuncios de productos revista gastronomio felicidad todo esta hecho de dulces chocolate joan cornella diseno de marketing portada anuncio colores felices muy muy feliz happy color cover cover portada de libros libro cubierta de libros liberia libro portada happines,mano sostener monton candys colorido embalaje barra paquete pastel dulce producto revisto gastronomio felicidad chocolate joan cornella diseno marketing anuncio feliz happy color cover portado cubierto liberia libro portada happines,1,comida,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a small fig of a woman with a straw hat on her head, the straw is in his mouth, well designed head, with a straw, food head, betty cooper, vin diesel head in egg cup, drinking cocktail, portrait of archie andrews, berry juice drips, anatomically accurate face, greta thunberg smiling, hyper realistic head, venus of willendorf","Una pequeña higuera de una mujer con un sombrero de paja en la cabeza, la pajita está en su boca, cabeza bien diseñada, con una paja, cabeza de comida, Betty Cooper, Vin Diesel Head en huevo, cóctel bebiendo, retrato de Archie Andrews, Berry Juice Drips, Face anatómicamente precisa, Greta Thunberg, Hyper Realistic Head, Venus de Willendorf",una pequena higuera de una mujer con un sombrero de paja en la cabeza la pajita esta en su boca cabeza bien disenada con una paja cabeza de comida betty cooper vin diesel head en huevo coctel bebiendo retrato de archie andrews berry juice drips face anatomicamente precisa greta thunberg hyper realistic head venus de willendorf,pequén higuera mujer sombrero pajita boca disenado paja cabeza comida betty cooper vin diesel huevo coctel beber retrato archie andrews berry juice drips face anatomicamente preciso greta thunberg hyper realistic head venus willendorf,4,inspirado,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a large arch with a clock on top of it, giant archways, magical portal gateway, archway, giant majestic archways, gateway, an archway, gateway to futurisma, heaven gate, golden gates, huge gate, large gate, archways, there are archways, buenos aires, lion's gate, dry archways, mexico city, focus gate","Un arco grande con un reloj encima, arcos gigantes, puerta de enlace mágica portal, arco, arcos gigantes majestuosos, puerta de enlace, un arco, puerta de entrada a futurismo, puerta del cielo, puertas doradas, enorme puerta, puerta grande, arcos, hay arcos, Buenos Aires, puerta de Lion, arcos secos, ciudad de México, ciudad de enfoque, enfoque de enfoque",un arco grande con un reloj encima arcos gigantes puerta de enlace magica portal arco arcos gigantes majestuosos puerta de enlace un arco puerta de entrada a futurismo puerta del cielo puertas doradas enorme puerta puerta grande arcos hay arcos buenos aires puerta de lion arcos secos ciudad de mexico ciudad de enfoque enfoque de enfoque,reloj magica portal gigante majestuoso enlace entrada futurismo cielo dorado enorme aires puerta lion arco seco mexico ciudad enfoque,3,fondo,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a large white bridge, metallic bridge, city of armenia quindio, traffic with light trails, purple bridges with leggins, urban environment, central focus, light trails, avenida paulista, by Rodolfo Escalera, cities flourishing, modern city background, city quality lighting, vivide colors, santiago calatrava, cam de leon, mexico city","Un gran puente blanco, un puente metálico, ciudad de Armenia Quindio, tráfico con senderos de luz, puentes morados con leggins, entorno urbano, enfoque central, senderos de luz, Avenida Paulista, por Rodolfo Escalera, Ciudades florecientes, fondo de la ciudad moderno, iluminación de calidad de la ciudad, colores Vivide, Santiago CalAtrava, Cam de Leon, México Ciudad de México.",un gran puente blanco un puente metalico ciudad de armenia quindio trafico con senderos de luz puentes morados con leggins entorno urbano enfoque central senderos de luz avenida paulista por rodolfo escalera ciudades florecientes fondo de la ciudad moderno iluminacion de calidad de la ciudad colores vivide santiago calatrava cam de leon mexico ciudad de mexico,blanco metalico armenia quindio trafico puente morado leggins entorno urbano enfoque central sendero luz avenido paulista rodolfo escalera floreciente fondo moderno iluminacion calidad colores vivide santiago calatrava cam leon ciudad mexico,2,ciudad,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a waterfall in the middle of a river, several waterfalls, las pozas, coban, cascading waterfalls, multiple waterfalls, waterfall(beautiful, ancient monument waterfall, small waterfalls, waterfalls, water splashing cascading, water fall, ancient ruins and waterfalls, beautiful stunning waterfall, waterfall falling down, waterfall cascades, waterfall, water falls","Una cascada en medio de un río, varias cascadas, Las Plas, Coban, cascadas en cascada, múltiples cascadas, cascadas (hermosas y antiguas cascadas del monumento, pequeñas cascadas, cascadas, agua salpicando en cascada, caída de agua, ruinas antiguas y cascadas, hermosas impresionantes caídas, caída de cascadas, cascadas, cascadas, cascadas, caídas de agua caídas de agua, caídas de agua, caídas de agua caídas de agua, caídas de agua, caídas de agua, caídas de agua, caídas de agua caídas de agua, caídas de agua.",una cascada en medio de un rio varias cascadas las plas coban cascadas en cascada multiples cascadas cascadas hermosas y antiguas cascadas del monumento pequenas cascadas cascadas agua salpicando en cascada caida de agua ruinas antiguas y cascadas hermosas impresionantes caidas caida de cascadas cascadas cascadas cascadas caidas de agua caidas de agua caidas de agua caidas de agua caidas de agua caidas de agua caidas de agua caidas de agua caidas de agua caidas de agua caidas de agua,rio pla cor multipl monumento pequena salpicar ruina antiguo hermoso impresionante caido cascada caida agua,3,fondo,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a statue of a bird on a stone floor, tlaquepaque, raven bird, standing bird, art foreground : eloy morales, animal - shaped statue, holding nevermore, a surrealistic bird, inspired by Gonzalo Endara Crow, edgar allan poe as the raven, downtown mexico, menacing statues, foto realista, surrealistic bird","Una estatua de un pájaro en un piso de piedra, tlaquepqueque, pájaro de cuervo, pájaro en pie, arte en primer plano: eloy morales, estatua en forma de animal, sosteniendo nunca más, un pájaro surrealista, inspirado en el cuervo de Gonzalo endoka, Edgar Allan Poe como el cuervo, el centro de México, las estatuas menacing, las fotos birdistas, los birdistas surrealísticos",una estatua de un pajaro en un piso de piedra tlaquepqueque pajaro de cuervo pajaro en pie arte en primer plano eloy morales estatua en forma de animal sosteniendo nunca mas un pajaro surrealista inspirado en el cuervo de gonzalo endoka edgar allan poe como el cuervo el centro de mexico las estatuas menacing las fotos birdistas los birdistas surrealisticos,piso piedra tlaquepqueque pie arte plano eloy morales forma animal sostener pajaro surrealista inspirado gonzalo endoka edgar allan poe cuervo centro mexico estatua menacing foto birdista surrealistico,4,inspirado,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"the view from the top of the mountain, coban, by Jacob Willemszoon de Wet, bushveld background, flora-lush-crater, brown canyon background, guanajuato, moutains, mountainous background, background lush vegetation, mountains background, green sky, lush scenic landscape, mountains surrounding, mountains and rivers, lush greens, beautiful mountains behind","La vista desde la cima de la montaña, Coban, por Jacob Willemszoon de Wet, fondo de bushveld, criador de flora-sush, fondo de cañón marrón, Guanajuato, Moutains, fondo montañoso, vegetación exuberante, fondo de montañas, cielo verde, exuberante paisaje escénico, montañas que rodean, montañas y ríos, exuberantes montañas detrás de montañas detrás de las montañas detrás de las montañas detrás",la vista desde la cima de la montana coban por jacob willemszoon de wet fondo de bushveld criador de florasush fondo de canon marron guanajuato moutains fondo montanoso vegetacion exuberante fondo de montanas cielo verde exuberante paisaje escenico montanas que rodean montanas y rios exuberantes montanas detras de montanas detras de las montanas detras de las montanas detras,vista cima cor jacob willemszoon wet bushveld criador flora sush canon marron guanajuato moutains montanoso vegetacion fondo cielo verde exuberante paisaje escenico rodear rio exuberant montana,3,fondo,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a woman standing on a balcony in front of a gaze, intricate ornate anime cgi style, still from a music video, wrought iron architecture, panoramic centered view of girl, ornate french architecture, gazebos, 3 6 0 picture, ornate backdrop, style art nouveau, ornate and intricate backdrop, anamorphic cinematography, an art nouveau, hdr photography, hdr photograph","Una mujer de pie sobre un balcón frente a una mirada, un intrincado estilo CGI de anime ornamentados, todavía de un video musical, arquitectura de hierro forjado, vista panorámica centrada de niña, arquitectura francesa adornada, cementerio, 3 6 0 imagen, telón de fondo ornamentado, estilo artesanal, ornado e intrincado, un retroceso, un cinegrafía de cinegrafías, un artesgrafía, un artesgrafía, un arteshotrografía, un artesano, una fotografía, una fotografía, una fotografía, a una fotografía, a una fotografía, a una fotografía, a una fotografía, a una fotografía, a una fotografía, a una fotografía, a un artístico, a un artístico, una fotografía, su fotografía, a un artesgrafía, a un artesgrafía, una artesgrafía, una artesgénica, a un artatografía, su artatografía, su artesgrafía, a un art.",una mujer de pie sobre un balcon frente a una mirada un intrincado estilo cgi de anime ornamentados todavia de un video musical arquitectura de hierro forjado vista panoramica centrada de nina arquitectura francesa adornada cementerio 3 6 0 imagen telon de fondo ornamentado estilo artesanal ornado e intrincado un retroceso un cinegrafia de cinegrafias un artesgrafia un artesgrafia un arteshotrografia un artesano una fotografia una fotografia una fotografia a una fotografia a una fotografia a una fotografia a una fotografia a una fotografia a una fotografia a una fotografia a un artistico a un artistico una fotografia su fotografia a un artesgrafia a un artesgrafia una artesgrafia una artesgenica a un artatografia su artatografia su artesgrafia a un art,mujer pie balcon frente mirada cgi anime video musical hierro forjado vista panoramico centrado nín arquitectura francés adornado cementerio imagen telon fondo ornamentado estilo artesanal ornado intrincado retroceso cinegrafia cinegrafias arteshotrografia artesano artistico fotografia artesgenico artatografia artesgrafia art,4,inspirado,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"a woman holding a dog in front of a fountain, ancient catedral behind her, bangkok townsquare, downtown mexico, guanajuato, tlaquepaque, jack russel terrier, greta thunberg smiling, holding a pudica pose, tithi luadthong, inspired by Florence Engelbach, behind her a gothic cathedral","Una mujer que sostenía un perro frente a una fuente, antiguo Catedral detrás de ella, Bangkok Townsquare, el centro de México, Guanajuato, Tlaquepaco, Jack Russel Terrier, Greta Thunberg sonriendo, sosteniendo una pose de Pudica, Tithi Luadthong, inspirada en Florence Engelbach, detrás de su catedral gótica a gótica A gótica A gótica A gothic",una mujer que sostenia un perro frente a una fuente antiguo catedral detras de ella bangkok townsquare el centro de mexico guanajuato tlaquepaco jack russel terrier greta thunberg sonriendo sosteniendo una pose de pudica tithi luadthong inspirada en florence engelbach detras de su catedral gotica a gotica a gotica a gotica a gothic,mujer sosteniar perro frente fuente antiguo bangkok townsquare centro mexico guanajuato tlaquepaco jack russel terrier greta thunberg sonreir sostener pose pudica tithi luadthong inspirado florence engelbach catedral gotico gotica gothic,4,inspirado,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"the building where the bed & breakfast are located, tlaquepaque, guanajuato, downtown mexico, the grand temple of flowers, yutja, foto realista, mexico, las pozas, aztec architecture, city of armenia quindio, whitewashed buildings, pueblo architecture, jerez, white buildings with red roofs, dorne","El edificio donde se encuentran el Bed & Breakfast, Tlaquepaco, Guanajuato, el centro de México, el Gran Templo de Flores, Yutja, Foto Realista, México, Las Plas, Arquitectura Aztec, Ciudad de Armenia Quindio, edificios encalados, arquitectura de Pueblo, Jérez, edificios blancos con techos rojos, Dorne",el edificio donde se encuentran el bed  breakfast tlaquepaco guanajuato el centro de mexico el gran templo de flores yutja foto realista mexico las plas arquitectura aztec ciudad de armenia quindio edificios encalados arquitectura de pueblo jerez edificios blancos con techos rojos dorne,encontrar bed breakfast tlaquepaco guanajuato centro templo flor yutjo foto realista mexico plar aztec ciudad armenia quindio encalado arquitectura pueblo jerez edificio blanco techo rojo dorne,2,ciudad,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
"the new hilton hotel in melbourne, cascading highrise, sleek glass buildings, renzo piano, by Ricardo Bofill, skybridge towers, tall skyscraper, city high-rise, são paulo, taller than a skyscraper, transparent building, splendid haussmann architecture, the building is a skyscraper, by David Chipperfield","El nuevo hotel Hilton en Melbourne, en cascada, los edificios de vidrio elegante, Renzo Piano, de Ricardo Bofill, Skybridge Towers, Tall Skyscraper, City High-Rise, São Paulo, más alto que un Skyscraper, Transparent Building, Building, Arquitectura de Haussmann, el edificio es un idiota, por el skiprerfield de Fieldfield Field.",el nuevo hotel hilton en melbourne en cascada los edificios de vidrio elegante renzo piano de ricardo bofill skybridge towers tall skyscraper city highrise sao paulo mas alto que un skyscraper transparent building building arquitectura de haussmann el edificio es un idiota por el skiprerfield de fieldfield field,hotel hilton melbourne cascada vidrio elegante renzo piano ricardo bofill skybridge towers tall city high rise sao paulo alto skyscraper transparent building arquitectura haussmann edificio idiota skiprerfield fieldfield field,4,inspirado,GUADALAJARA_DESC_TRADUCIDO_LIMPIO
