image,prompt
3108797025873823705_3108797019725160489.jpg,"the ruins of chichena, maya temples, beautiful ancient ruins behind, white stone temple ruins, ancient ruins behind, ancient temple ruins, ancient city ruins, ancient ruins in the background, mayan, ruins in the background, standing before ancient ruins, ruins on the background, temple ruins, ancient ruins and waterfalls, ancient ruins behind her, archeological discover, large temples"
2779338569073738875.jpg,"a man in a ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham, yutja, ancient pyramid, victo nga, foto realista, pyramid in background, remedios varo uranga, travel ad, by Sergio Larraín, lost world pyramid, pyramid, real vintage photo, ancient megastructure pyramid"
2772206244560558714_2772206239569171889.jpg,"a large stone building, taken on a 1960s kodak camera, taken on 1970s kodak camera, screenshot of found footage, color film still 1 9 7 7, levitating citadel, vhs footage still, screenshot from the 1983 film, 8 mm film still, still from a music video, ruins in the background"
3108797025873823705_3108797019725137658.jpg,"a group of people standing around a motorcycle, one motorbike in center of frame, auction catalogue photo, old photo from the 1930s, museum catalog photograph, ebay photo, 1970s philippines, motorcycles, museum archival photo, 1948, without helmet, 1961”, 1947, 1 9 4 7"
2634660616256606665_2634660612464910660.jpg,"a black and white photo of a dirt road, tribe huts in the jungle, mud and brick houses, 1970s photo, 1 9 7 0 s photo, 1970s, 1 9 7 0 s, c1976, las pozas, colombia en los años 60, 1970s philippines"
2609241196533166300_2609241192943058760.jpg,"a building with a projection projected on it, projection design installation, colorful detailed projections, projection mapping, colored projections, colorful projections, walls of large moving images, digital walls, digital screens on the walls, mexican muralism ) ravi supa, palace background, wall darkness, a gigantic wall, wall, giant led screens, freddy mamani silvestre facade"
2846233793565529709_2846233786242272904.jpg,"a car is parked in front of a large arch, imet2020, in a race competition, cinematographic wide angle shot, sun shines down on the car, cars and people, perseides meteor shower, coban, dakar rally footage, city of armenia quindio, renault ultimo, mexico, full view of a car, race"
2340935265218067971.jpg,"the ruins at tupi, maya temples, angkor wat, angkor thon, angkor, large temples, ancient city, ancient indonesia, ancient temple, temple run, mayan temple in the jungle, at an ancient city, ancient temple ruins, mysterious temple setting, sacred ancient architecture, white stone temple ruins, temples, temple background, ancient city of white stone"
3108538265060623313.jpg,"the ruins of the ancient city of ang ang ang ang ang ang ang ang ang ang ang ang ang ang, maya temples, mayan temple in the jungle, ruined temple covered with moss, huge old ruins, beautiful ancient ruins behind, ancient alien jungle, ancient ruins in the forest, huge giant old ruins, post apocalyptic ancient ruins, ancient city ruins, nature taking over"
2343086032183983197.jpg,"a plane flying in the sky, vibrant blue sky background, blue sky background, light blue sky, clean blue sky, pure blue sky, light blue clear sky, sky blue, solid blue background, blue and clear sky, clear summer sky background, blue clear sky, azure blue sky, azure sky tones, blue backdrop. hd, blue clear skies, clear blue sky"
