image,prompt
2701716917431651888.jpg,"a large sculpture with a skull on it, projection mapping, 3 d ar vr art, art installation, outdoor art installation, rhinoceros 3d, ( el dia los muertos ), star walk, 3d appearance, national art school mfa, conceptual installation, contemporary 3d art, ( dia de los muertos ), (dia de los muertos)"
2479931025334313329.jpg,"christmas lights on a tree, emitting light ornaments, fractal lighting, blue and yellow glowing lights, . ethereal lights, blue and yellow lighting, wisp lights, decorations, intricate lights, dazzling lights, many lights, floating lights, christmas lights, lights with bloom, captivating glowing lights, beautiful illumination, glowing lights intricate elegant, white warm illumination, ethereal lights"
2819112889017080592.mp4,"a bus is passing by a monument at night, traffic with light trails, long exposure photography, light trails, long shutter speed, long exposure photograph, time exposure, slow - shutter, slow shutter speed, long exposure time, low shutter speed, slow shutter, long exposure, long exposure photo, motion blur lights, lightpainting motion blur, hdr photography, heavy motion blur"
3164456671346769244.mp4,"a large sculpture in the middle of a field, by Rodolfo Escalera, art nuevo, pritzker architecture prize, by Juan Villafuerte, giant sculpture, a monumental, art foreground : eloy morales, by Federico Uribe, foto realista, monumental mountains, by Enrique Grau, by Rodolfo Morales, downtown mexico, mexico city"
2950810213641574164.jpg,"a street with palm trees and a bridge at sunset, los angeles ca, los angeles, los angeles at night, city twilight landscape, los angelos, city sunset night, city of industry, tucson arizona, city sunset, southern california, by Dave Arredondo, tar pits, california, long exposure photography, colorful skies, vista of a city at sunset"
2740094026625340456.jpg,"a gate in front of a church, the city of santa barbara, mission arts environment, dry archways and spires, guanajuato, parks and gardens, wrought iron architecture, in a city with a rich history, tlaquepaque, steel archways, private academy entrance, golden gates, with palm trees and columns, baroque architecture, with archways"
2514761982767544721.jpg,"a piece of meat with sauce on top, nugget and sausage on plate, steakpunk, burger on a plate, the fork is on a plate, steak, realistic rendering for stool, meat texture, kebab, serving rack of ribs, brown durand, served on a plate, molecular gastronomy, restaurant menu photo, an island made of food, burger with human eyes"
2515499531127599639.jpg,"a cannon on top of a hill overlooking the city, long beach background, tucson arizona, looking over city, 120 degree view, sweeping vista, wide angle shot 4 k hdr, city ruins background, looking at the city, battlements, high point of view, inspired by Fitz Hugh Lane, in a city with a rich history, the city of santa barbara"
2514768560174417470.jpg,"the city of johannesburg at night, entertainment district, drone view of a city, russian orbit city cityscape, city at night, mini magic city, aerial photograph of skyscraper, city of towers, highrise business district, night city, american city, fantasy city, vibrant city lights, soaring above a dense city, cyber city, bird's eye view of a city"
2952444124804853576.jpg,"a yellow poster with the words ' aler ' and ' i am ', taller than man, ultra hd detaling, coban, minimalissimo, miniature, cubo - futurism, cubo-futurism, ultra details, by Miltos Manetas, mega details, in an eco city, <3d eco brutalist, large medium and small elements"
2739753926383856704.jpg,"a yellow mug with a scoop of ice cream, cappuccino, small hipster coffee shop, cup of coffee, morning coffee, ko-fi, milk and mocha style, celebration of coffee products, coffee shop, hot coffee, enjoying coffee at a coffee shop, hot cocoa drink, coffee, with a white mug, steaming coffee, espresso machine, in a bright cafe"
3161918963336261123_3161918955811757544.jpg,"a stone bench with graffiti written on it, by Dr. Atl, by Altichiero, mucha : :, city of armenia quindio, by May de Montravel Edwardes, rough wooden fence, mucha |, by Miltos Manetas, earthship, on a canva, wooden furniture, canva, teak table, by Chippy"
