image,prompt
3223587532645660188.jpg,"a sandy beach, beach background, beach sand background, white sandy beach, beach and tropical vegetation, white sand beach, breath-taking beautiful beach, tropical beach, beautiful beach, beach setting, beach on the outer rim, sandy beach, beach landscape, mediterranean beach background, seaside backgroud, beautiful tropical island beach, azure blue water, carribean white sand"
3164392059499023093.mp4,"a crowd of people gathered in a street at night, festival, festival. scenic view at night, music festival, summer festival night, huge crowd on drugs, outdoor rave, bustling with people, dakar, crowded and populated, beach party, an outdoor festival stage, festival of rich colors, party atmosphere, many partygoers, busy crowds, crowds of people, community celebration"
3271850670758104695_3271850637799371157.jpg,"a group of people riding horses, man in horse costume, mexican folklore, mexican vaquero, celebrating day of the dead, riding a black horse, anthropomorphic horse, with horse driven, horses in run, el dia los muertos, on a horse, dia de los muertos, the horse and his boy, horse in background, community celebration"
3228230384289290844_3228230377569934266.jpg,"father and son fishing on the beach, fishing pole, fishing, holding an fish in his hand, father with child, kids playing at the beach, fisherman, two hands reaching for a fish, children playing at the beach, ray casting, sri lanka, coming ashore, playing at the beach, fishing town, beach scene, recreation, swirling schools of silver fish"
3363136482569484411_3363136473492966229.jpg,"a beach town with a long line of houses, tropical coastal city, salvador, beach and tropical vegetation, mexico, coast as the background, tropical beach, coastline, tropical paradise, tropical background, view of the ocean, tropical beach paradise, beautiful beach, breath-taking beautiful beach, overlooking the beach, white buildings with red roofs, beach landscape, paradise in the background"
3196438686282765160.jpg,"a statue of a sea horse on a rock, merfolk riding seahorses, sea serpent, seahorse, sea horse, seahorses, full view of seahorse, the god of the sea, goddess of the sea, who is born from the sea, as atlantean reptilian warriors, a bronze sculpture, golden mean, god of the ocean, sea queen"
3376992186702909103.jpg,"a tree with a clock on it ' s side, bangkok townsquare, outdoors tropical cityscape, town center background, downtown mexico, city of armenia quindio, tlaquepaque, tropical coastal city, plaza, town square, city square, tropical climate, park background, catia, sunny park background, town background, tropical background, cuban setting"
3209456934103041885.jpg,"a beach with a restaurant and palm trees, beach and tropical vegetation, palm trees on the beach, in a beachfront environment, tropical coastal city, beach setting, beachfront, beach scene, tropical beach, resort, beach bar, marbella, beach background, paradise in the background, sun coast, crowded beach, tropical beach paradise, the beach, hawaii beach"
3350674799787326348_3350674791725968917.jpg,"people walking on the beach with palm trees, salvador, tropical coastal city, photo taken with ektachrome, hdr photograph, paradise in the background, town background, hdr on, hdr, full height sculpture, town center background, foto realista, bright colors ultrawide lens, wide angle shot 4 k hdr, hdr!, clear and sunny, hdr render, hdr photo"
3211566299884164874_3211566291973603940.jpg,"the city of puerto, with the beach and mountains in the background, tropical coastal city, 4k photo gigapixel, 4k drone photography, color aerial photo drone, drone view, drone photograph, drone photography, drone view of a city, hd aerial photography, coast as the background, aerial photography, 4k panoramic, wide angle shot 4 k hdr"
3211566299884164874_3211566291965231359.jpg,"a beach with a blue lagoon surrounded by trees, travel ad, tropical background, tropical beach, flying above a tropical forest, tropical coastal city, beach and tropical vegetation, an abstract tropical landscape, travel guide, tropical paradise, vibrant tourism poster, tropical island, travel and adventure, tropical beach paradise, cover of national geographic, green jungle background, beautiful tropical island beach"
3222370085082459513.mp4,"a ball on the ground, tuba, tuba knight, tribarrel, sousaphone, octoberfest, tina turner in a turnip costume, face - up, dia de los muertos. 8 k, tula, full colors hd, tubes fused with the body, festive colors, south beach colors, trick or treat, full color, real sousaphones"
3268910327684073959.mp4,"a beach with boats and a cliff in the background, tropical coastal city, beach and tropical vegetation, caribbean, tropical beach, tropical paradise, tropical beach paradise, tropical background, tropic climate, tropicalism, tropical undertones, azure blue water, blue waters, beautiful tropical island beach, breath-taking beautiful beach, tropical landscape, tropical climate, jamaica, tropical atmosphere"
3252675356027389016.mp4,"a beach with palm trees and clear water, beach and tropical vegetation, tropical beach, breath-taking beautiful beach, beautiful beach, beautiful tropical island beach, tropical beach paradise, mexico, white sandy beach, tropical paradise, white sand beach, beach background, magical beach, at a tropical beach, beach landscape, tropic climate, tropical coastal city, tropical background"
3281108652532738958.mp4,"a woman in a mexican dress and hat rides a horse, mexican vaquero, dia de muertos dress and make up, celebrating day of the dead, mexican folklore, dia de los muertos, folklorico, dia de los muertos makeup, beautiful mexican woman, dia de los muertos!!, la catrina, dia de muertos, diverse costumes"
3326614247126097403.mp4,"a beach with a boat on it and a mountain in the background, photo taken with ektachrome, tropical beach, philippines, breath-taking beautiful beach, beautiful beach, blue waters, the lost beach, serene beach setting, beach landscape, white sandy beach, beach on the outer rim, beach setting, beach background, azure blue water, tone mapped"
3263088049390012390_3263088036974779698.jpg,"the beach and resort at the resort in puerto, caribbean, tropical coastal city, jamaica, beach and tropical vegetation, azure blue water, colors of jamaica, view from helicopter, sapphire waters below, very beautiful!! aerial shot, carribean turquoise water, helicopter view, puerto rico, tropical beach paradise, tropical paradise, hd aerial photography, from a bird's eye view"
3243324630835717971.mp4,"a large statue in the middle of a city, downtown mexico, an opulent favela environment, favela, like jiufen, location ( favela ), sci - fi favela sculpture, digger land amusement park, rio de janeiro favela, favela spaceship cathedral, summer festival in background, favelas in rio, 3 6 0 picture, carnival on the background"
3273234941940155342_3273234931462827716.jpg,"a garden with plants and stairs leading to the house, lush jungle, colourful jungle, lush exotic vegetation, full of colorful vegetation, floral jungle treehouse, lot of exotic vegetation, lush paradise, wet lush jungle landscape, plants and jungle, colorful tropical plants, tropical jungle, outdoors tropical cityscape, lush vegetation with ferns, background lush vegetation, green jungle, tropical forest"
3308107317462104418.mp4,"a city by the water, tropical coastal city, changquan, downtown mexico, taiwan, mexico, guanyin of the southern seas, rio de janeiro, which shows a beach at sunset, thanshuhai, highly detailed photo 4k, vietnam, rio de janeiro favela, location ( favela ), nagasaki, an opulent favela environment, outdoors tropical cityscape"
3202599457257984092.jpg,"a group of people running under an arch, marathon race, three people running a marathon, marathon, running robots in a marathon, advertising lighting, electric energy, commercial banner, portal, running, ekasportal, electric arc, electronic wires, consectetur adipiscing elit, flash image, energy drink, energetic atmosphere, energy trails, ultrarelistic"
3170851703075147076.jpg,"a cobb street in the old town of cartage, cuba, outdoors tropical cityscape, colombia, downtown mexico, tropical coastal city, colonial era street, cobblestone streets, city of armenia quindio, palermo city street, in a city with a rich history, city street view background, puerto rico, streets of salvador, cuban setting, tlaquepaque"
3225883126076886793_3225883113980586178.jpg,"a crowd of people walking down a street at night, bustling with people, parade setting, festival, parade, carnaval de barranquilla, summer festival night, fallas party figures, festival. scenic view at night, curiosities carnival, magic parade float, pop up parade figure, halloween celebration, community celebration, summer festival in background, busy crowds"
3192563446066976001.mp4,"a palm tree, outdoor art installation, full height sculpture, stairway to heaven, mexico, ladder, by Rodolfo Escalera, ladders, public art, pointing to heaven, leading to the sky, downtown mexico, giant sculpture, sculptures, outdoor staircase, contemporary sculpture, female ascending into the sky, art nuevo, men look up at the sky"
3263088049390012390_3263088038157564279.jpg,"a group of people in the water on a boat, mexico, photo taken with ektachrome, green and blue colors, beach and tropical vegetation, blue waters, white sandy beach, turquoise ocean, tropical beach, azure blue water, beautiful tropical island beach, caribbean, breath-taking beautiful beach, beautiful beach, green sea, green and blue, deep blue oceans"
3183302099328630769.jpg,"a street with a lot of people shopping, crafts and souvenirs, colored market stand, tlaquepaque, street market, streets of salvador, downtown mexico, street vendors, vendors, quirky shops, marketplace, market, lots of shops, busy market, market stalls, mexico, las pozas, the vibrant echoes of the market, some stalls, mexican folk art"
3226935950243822397_3226935943658935652.jpg,"a group of people in costume walking down a street, pop up parade figure, yellow dragon head festival, brazil carnival, carnaval de barranquilla, summer festival night, exotic costumes, festival, peking opera, fallas party figures, curiosities carnival, diverse costumes, elaborate costume, chinese ribbon dance, community celebration, chinese costume"
3304822362661073622_3304822359238551788.jpg,"a group of people riding bikes on a beach, people walking in street, summer street near a beach, waikiki beach, people walking on street, people walking down a street, south beach colors, people in beach, travelers walking the streets, bustling with people, children playing at the beach, bicycles, tropical coastal city, people walking, city street view background"
3251271812716796542.mp4,"a view of a beach and a city, mexico, tropical coastal city, view of the ocean, ocean view, turquoise ocean, deep blue oceans, coastline, overlooking the ocean, rich blue colors, ocean background, very beautiful!! aerial shot, drone view, downtown mexico, sky - high view, turquoise horizon, behind that turquoise mountains, flying over the ocean"
3233372004555445434.jpg,"a body of water, long beach background, tropical coastal city, beach and tropical vegetation, hawaii beach, beach background, paradise in the background, tropical beach, waikiki beach skyline, tropical background, waikiki beach, tropical beach paradise, beachfront, beach setting, hawaii, island background, serene beach setting, tropical paradise, tropical setting, beach landscape, beautiful tropical island beach"
3353360214810018319_3353360204198370583.jpg,"a beach with palm trees and houses in the background, tropical coastal city, beach and tropical vegetation, tropical background, beautiful tropical island beach, tropical beach, tropical beach paradise, tropical setting, palm trees on the beach, tropical paradise, outdoors tropical cityscape, tropical atmosphere, standing on a beach in boracay, beautiful magical palm beach, caribbean, beach background"
3295019636788543894.jpg,"a view of a city from a high altitude, tropical coastal city, long beach background, downtown mexico, mexico, sunset panorama, colorful skies, sunset view, colorful sunset, colorful sky, hdr photograph, today\'s featured photograph 4k, the city of santa barbara, photo taken with ektachrome, coast as the background, port scene background, vibrant sunset"
