prompt_procesado_es,fuente,cluster,sentimiento,frame,subtopico
chichena blanca ante cascadas ella descubrimiento arqueologico temperaturas grandes temperaturas cascadas ella descubrimiento arqueologico temperaturas grandes temperaturas cascadas ella descubrimiento arqueologico grandes temperaturas cascadas su,descripcion,9,POS,NEUTRAL,-1
ham yutja ancient pyramid victo nga realista remedios varo uranga viajes ad sergio larra lost world pyramid real vintage photo ancient pyramid,descripcion,4,NEU,NEUTRAL,-1
tomado camara kodak 1960 camara kodak anos 70 captura pantalla encontradas pelicula color todavia levitando ciudadela metraje vhs todavia captura pantalla pelicula 1983 mm todavia video musical,descripcion,1,NEU,NEUTRAL,-1
grupo personas se encuentran alrededor motocicleta moto centro marco catalogo subastas 1930 catalogo museos ebay filipinas anos 70 motocicletas archivo museo 1948 sin casco 1961a 1947 4,descripcion,3,NEU,NEUTRAL,-1
camino tierra tribe huts jungle mud brick houses 1970s 1970s s c1976 pozas colombia aj os 60 1970s filipinas,descripcion,2,NEU,NEUTRAL,-1
proyeccion proyectada instalacion diseno proyeccion coloridas proyecciones detalladas mapeo proyeccion proyecciones coloridas paredes grandes movimiento paredes digitales pantallas digitales paredes muralismo mexicano ravi supa oscuridad paredes pantallas led freddy mamani silvestre fackeund fondever,descripcion,2,POS,NEUTRAL,-1
automovil esta estacionado frente arco grande imet2020 competencia racial disparo cinematografico angular sol brilla automovil autos personas ducha meteoritos persecucion metraje rally dakar armenia quindio renault ultimo mexico vista completa automovil carrera carrera,descripcion,2,POS,NEUTRAL,-1
tupi angkor wat angkor thon angkor grandes indonesia antiguo run mayano ruisas antiguo misterioso sagrada blanca antiguo blanca,descripcion,2,POS,NEUTRAL,-1
ang cubierto musgo enormes alien,descripcion,2,POS,NEUTRAL,-1
avion vuela cielo vibrante cielo azul claro cielo azul limpio cielo azul puro cielo azul claro cielo azul azul solido cielo azul cielo transparente claro cielo verano cielo azul claro cielo azul tonos azules azul hd cielos azules cielo azul claro,descripcion,6,POS,NEUTRAL,-1
ruidosos cubiertos musgo grandes vistas epicas viejos mayores cubiertas color ruina enormes vistas epicas viejas mayores cubiertas ruidos abundantes vistas epicas mayores jungle jungle abastecidos jungle selva viejos selva paisaje,descripcion,4,POS,NEUTRAL,-1
elefante se encuentra medio exuberante follaje elfo arboles verdes arboles colinas cubiertas hierba flora verde deforestado denso vegetacion boscoso vegetacion exuberante denso vegetacion densa vegetacion exuberante centro bosques verdes bosques,descripcion,2,NEU,NEUTRAL,-1
building lot grass top matte painting finish aqueducts high quality matte painting unreal engine panoramic photography 3d rendered matte painting abandoned ruins landscape attack titan scenery photorealistic matte painting cgsociety flat matte painting auschwitz camp highly detailed matte painting organic matte pintura mate,descripcion,4,NEU,NEUTRAL,-1
pila escombros al lado plas terrazas escalonadas 1970 brutalista terrazas piramida mundial perdida c1970,descripcion,9,NEU,NEUTRAL,-1
colina tikal iv rodeada vegetacion al sol zigurat portal piramid,descripcion,2,NEU,NEUTRAL,-1
gente brutalista arqueologica mamposteria desmoronada anatsui realista construccion construccion pozas remedios varo uranga sumergido pre cran,descripcion,9,NEU,NEUTRAL,-1
automovil rojo conduce calle medio motion bokeh tray shot blowe motion desenfoque movimiento pesado desenfoque movimiento suave desenfoque velocidad desenfoque movimiento masivo desenfoque movimiento 1958 ferrari 250 gt autofoco pantalon artefacto jpeg pesado bokeh anamorfico carpas lensas carpas lentes para lentes,descripcion,4,NEG,NEUTRAL,-1
dos hombres estan trabajando horno ladrillo wolf vostell chimenea irori ladrillos polvo mamposteria desmoronada 1987 chimenea tradicional anos ochenta recubrimiento nucleo obstinado,descripcion,3,NEU,NEUTRAL,-1
periodico mujer vestido jacqueline e revista life tlaquepqueque magazine vida mary jackson ella escaneos coleccion museos revista presentada revista life camara kodak anos 60,descripcion,1,NEU,NEUTRAL,-1
techo techo paja desayuno poxas tribe huts jungle health spa meditation center puertas varias viviendas techo paja puertas estudios akitipe estudio gibi ecovillage estudios weta escenario cubano decoracion voodo espiritu ayahuasca archways entre stalagtites,descripcion,2,NEU,NEUTRAL,-1
vista aerea casa medio rodeada vegetacion mundo perdido alienigena catedral masiva grito tumba verdad es vision verdad blanca vision vision junta vision blanca verdad es vision vision blanca,descripcion,2,NEU,NEUTRAL,-1
grande muchas ventanas muchas escombros brutalista arqueologicamente artistico quetzecoatl aztec humanas destruidas sumergido pre temple aztec,descripcion,9,POS,NEUTRAL,-1
esta parado oscuridad cerca caminando castillo castillo sombrio castillo mapeo proyeccion proyeccion parado cerca castillo almacen oscuro mapeo lumen reflexion silueta murcielagos volando castillo castillo dentro castillo instalacion diseno proyeccion oscuridad oscuridad,descripcion,3,NEU,NEUTRAL,-1
vieja medio desierto catalogo museo 4 4 imagen megestructura 1960 1935 4,descripcion,3,NEU,NEUTRAL,-1
parado frente puerta torri arqueologicamente enorme puerta grande portcullis puerta circular blanca arcos brutalista,descripcion,9,POS,NEUTRAL,-1
montana castillo destruido almenas soldados 1987 castillo 1990 arqueologicamente 1980 imagen,descripcion,3,NEU,NEUTRAL,-1
articulo periodico dos hombres sensacionalista recortes periodicos articulo periodico recorte periodicos alrededor 1970 cobertura noticias alrededor circa 1969 1971 alrededor 1973 recortes revista moda,descripcion,1,NEU,NEUTRAL,-1
vista cascadas plas selva paisajes abandonadas,descripcion,5,NEU,NEUTRAL,-1
arco arco triunfo se construyo primeros arcos secos arcos paredes 1987 1990 arco masivo 1981 hay arcos wolf vostell puente vino danado 1999,descripcion,0,NEU,NEUTRAL,-1
montana parte superior david wojnarowicz arqueologica pintura mate cai guo qiang wolf vostell toshiko okanoue insvolcle insvanamente detallada julian schnabel stanley donwood,descripcion,4,NEU,NEUTRAL,-1
mexico enormes viejas 1990 1999 blanca post apocaltaticas arthus bertrand atrasado,descripcion,2,POS,NEUTRAL,-1
yucatan rodeada vegetacion amazon mundo perdido vista aerea tierra alienigena perdida catedral masiva frontera selva amazon jungle jungle selva,descripcion,2,NEU,NEUTRAL,-1
