image,prompt
2876027385327477971.jpg,"a white dress with a floral pattern and a white lace, clothes made out of flower, floral art novuea dress, maximalist fashion dress, historical baroque dress, wearing a white folkdrakt dress, idian dress, floral embroidery, skinny girl in white boho dress, dia de muertos dress and make up, la catrina, mexican folk art"
3204288308938001499.jpg,"a clock on a building with a sky background, yellow awning, rounded roof, golden curve structure, rounded ceiling, roof background, curvilinear architecture, curving geometric arches, googie architecture, orange roof, smooth curvilinear design, mind-bending geometry, yellow and black trim, rounded architecture, tent architecture, golden arches, golden curve composition"
3148301459740445951.jpg,"a wooden bench in front of a building, photo taken with ektachrome, by Michalis Oikonomou, lviv historic centre, lviv, sit on a bench, by Anton Solomoukha, seville, spain, ukraine. professional photo, benches, greek setting, by Demetrios Farmakopoulos, hdr photography, sitting on a park bench"
2779505255193673636.jpg,"a bride in a wedding dress standing in the middle of a garden, beautiful wedding dress, wearing a wedding dress, simple white veil, wedding dress, lace veil, white transparent veil, bride, professional wedding photography, romantic gown, 30-year-old woman from cuba, jen atkin, in wedding dresses, carmelo blandino, beautiful gown"
2940295261125951465.jpg,"two small ices with orange and white ices, orange fire/blue ice duality!, white and orange, cold drinks, orange and white, molecular gastronomy, ice and fire, snow and ice, ice cream on the side, fire and ice, ice! cream! truck!, orange grey white, slush, browns and whites, dessert, orange and orange slices, sugar snow"
2795614424050850130.jpg,"a woman sitting on a motorcycle with a helmet on, female photography, picture of a female biker, full frame photography, professional photo-n 3, journalist photo, full body photography, photo of a woman, award winning photographer, professional shooting, akt photography, professional shoot, vp of marketing, professional color photograph, professional light, equestrian photography, nikkon"
2836104321914201537.jpg,"a pile of corn kernels, corn, large cornicione, corn on a cob everywhere, corn chess board game, corn floating in ocean, cornucopia, grain, grain”, scattered golden flakes, no grain, 1 6 : 9 ratio, gradient yellow to red, gradient yellow, seamless texture, combine, hd texture, flat texture, ultra texture"
3069365644431832812.jpg,"the ceiling of the cathedral of cordoba, interior of a marble dome, rounded ceiling, complex ceiling, pillars on ceiling, symmetrically centered, cathedral ceiling, 3 6 0 picture, high arched ceiling, arched ceiling, view from bottom to top, centered symmetrical, symmetrical centered, 360 degree view, white marble interior photograph, ceiling"
3078068124481027973.jpg,"a street with cars parked in front of a building, downtown mexico, colonial era street, tlaquepaque, in a city with a rich history, the neat and dense buildings, whitewashed buildings, streets of salvador, storefronts, colonial house in background, old buildings, catia, photograph of the city street, the hard and strong buildings"
3079390292864949207.mp4,"a group of people in white outfits dancing, girl in white dress dancing, folklorico, carnaval de barranquilla, community celebration, dancers, people dancing, pop up parade figure, people dancing in background, parade setting, dancing people, salsa social dance, tlaquepaque, bolero, angels in white gauze dresses"
