descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico
bienvenidos nueva era bienvenido nueva era via jar turismo,post,6,NEU,NEUTRAL,-1
bienvenido nueva era disfrute 12 destinos increibles llenos experiencias desconecte playas inspirese maravillas naturales pero sobre todo celebra explore adventure beach life getaway bucket list,post,2,NEU,NEUTRAL,-1
perspectivas cautivan cadada angulo capturado da nueva razon amar ven vive encanto susaves aguas perspectivas cautivan todos angulos capturados da nueva razon amar ven experimenta encanto gentiles aguas williams reels bucket list encanto,post,8,POS,NEUTRAL,-1
bajo palmeras eternas meta verano escoger hospedaje beach club incluido pases tondos dias tus vacantes arena bajo palmeras eternas objetivo verano elegir alojamientos beach club incluidos pueda pasar todos dias vacaciones entre arena bucket list palmer as vera no,post,8,NEU,NEUTRAL,-1
atreverias bucear noche mira video hasta final testigo cobra formas magicas durante buctoo nocturno atreverias bucear noche mire video hasta final presencie cobra manera magica durante inmersion nocturna bucket list,post,4,NEG,NEUTRAL,-1
recargarte energia sabes part encuentran estos acantilados trata calma transmite contrasta fuerza olas recargar energia sabes parte encuentran estos acantilados tranquilidad contrasta poder olas reels bucket list beach energy,post,7,NEU,NEUTRAL,-1
renueva espiritu sigue ejemplo encuentra paz manifiesta retiro dias estan llenos calma tardes son hipnotica renovar espiritu siga ejemplo encuentre paz manifiesta retiro dias llenan calma tardes son hipnoticas reels bucket list manifest calm,post,7,NEU,NEUTRAL,-1
descubre rincones magicos explora caminando descubre cada rincon tiene propanto encanto pintoresca casa adornada vibrante color bugambilias descubre lugares verdaderamente magicos pasee descubra cada tiene propio encanto pintoresca casa adornada vibrante color bougainvillea reels bucket list bug amb ilia,post,1,NEU,NEUTRAL,-1
escapa estilo esla cada estancia mucho hotel experiencia envolvente convistas intervisionantes desbloquea nueva nivel hospedaje asueno cada estadia mucho hotel experiencia inmersiva impresionantes vistas desbloquee nuevo nivel alojamiento sonador reels bucket list exp erie nci vistas,post,2,NEU,NEUTRAL,-1
teletransportacion activada 1 necesito viaje tan listo estas escaparte paraino tropical spot playa bajo sombra palmeras espera teletransportacion activada 1 necesito unas vacaciones tan listo estas escapar tropical playa bajo sombra palmeras esperando reels bucket list beach,post,8,NEU,NEUTRAL,-1
yo explorando juntos opinas dale recorrer nunca fue tan divertido volante iconicos carros golf yo exploramos juntos piensas double toque recorrer extremo nunca fue tan divertido volante iconicos carros golf islam u jes gram bucket list,post,3,NEU,NEUTRAL,-1
palmeras sol alla parte continental localiza costa otrro destino podras disfrutar paisajes dignos postal palmeras sol fuera continente encontraras costa otro destino disfrutar paisajes dignos postales hermosas reels bucket list,post,3,NEU,NEUTRAL,-1
flota medio hermoso tono azul apacibles aguas hijo sencillamete perfectas relajarte disfrutar tomar tabla practicar pala paddle flotante medio hermoso tono azul aguas tranquilas son simplemente perfectas relajarse disfrutar tomar tabla e ir paddle boarding gram bucket list,post,8,NEU,NEUTRAL,-1
cual playa favorita cadada paso des encontraras playas hermosas cada vistas unicas espectaculares sorprenderan cual playa favorita cada paso encontrara hermosas playas cada vistas unicas espectaculares sorprenderan gram bucket list,post,8,NEU,NEUTRAL,-1
nos acompanas expedicion subsarina muy cerca podras explor arrecife manchones bucear acompanado muchos peces tropicales garantizamos sera colorida experiencia olvidaras muy cerca explorar arrecife manchones bucear muchos peces tropicales garantizamos sera experiencia colorida olvidara cj gram bucket list,post,8,NEU,NEUTRAL,-1
diversion alturas imagina contemplar azul intenso sobrevolandolo ti roles da esa posibilidad perder imagine contemplar blue profundo mientras vuela encima zip line da esa posibilidad asi pierdas gram bucket list,post,5,NEU,NEUTRAL,-1
fuiste bueno nosotros swimsuit swim 60,post,6,NEU,NEUTRAL,-1
ya esa temporada ano otra vez mayo septiembre nuestros visitantes consentidos llega nuestras costas fantastico tiburon ballena planea ya viaje vive sensacional experiencia nadar significe mayo septiembre nuestros visitantes favoritos llega nuestras costas fantastico tiburon ballena planifique viaje ahora tenga increible experiencia nadar ellos gram bucket list whale shark,post,4,POS,NEUTRAL,-1
descubre maravillas escondidas cuando vengas recuerda estas mayas considere sagrado ser hogar templo dedicado ixchel hace aun especial descubre maravillas ocultas cuando visita recuerde maya considero sagrado ya hogar templo dedicado ixchel hace aun especial latam reel bucket list,post,3,NEU,NEUTRAL,-1
