image,prompt
2964325728280914946.jpg,"a small island with palm trees and a boat in the water, coconut trees, coconut palms, by Olivia Peguero, beach and tropical vegetation, inspired by Ralph Burke Tyree, inlets, boat dock, by Dave Arredondo, tropical climate, tropicalism, tropical coastal city, caribbean, port scene background, inspired by Robert Macaulay Stevenson"
3320282790703441176_3320282778724845371.jpg,"a large theater, fulldome, 3 6 0 projection, cinematatic lighting, photo of the cinema screen, 4 d cinema, in a cinema, photo of a huge theaterstage, domespace, photo of a big theaterstage, cinema lighting, equirectangular projection, imax render, equirectangular, epic theater, set in observatory at night"
3365138799099904184.mp4.fdash-1119940039259103ad,"the monument in puerto, obelisk, obelisks, monument, parks and monuments, a monumental, inspired by Ralph Burke Tyree, monuments, cuba, untethered stelae, puerto rico, cuban revolution, photo taken in 2018, parce sepulto, to honor jupiter, salvador, sundial, farol da barra"
3214233528480311579_3214233487308355552.jpg,"a clock in the middle of a park, giant clock, sundial, center of the universe, varadero beach, clocktower, inspired by Ralph Burke Tyree, cuban setting, tropical coastal city, tropical climate, astrolabe, coconut trees, town center background, in search of lost time, big clock, clock tower, photo taken with ektachrome"
3028021446949865286.jpg,"a hamburger with cheese, let and let, burger on a plate, luscious patty with sesame seeds, big juicy burger, cheeseburger, burger with a mouth, on a wooden plate, burger, on a wooden tray, the plate is on a wooden table, burger with human mouth, hamburger, restaurant menu photo, deathburger, food photography”, medium close-up"
3260128370783014343.fdash-1769348246891246_mpd_qe=R1_v.mp4,"a person ' s feet on a deck overlooking the ocean, legs taking your pov, sitting on a wooden dock, sitting on a wood dock, very relaxing, relaxing, feet art pov, fish in the background, fish eye view, on the deck of a ship, relax, relaxing at the beach, photo of the middle of the ocean, relaxing environment, worms eye view"
3317159226001384855_3317159173765490706.jpg,"a red and white pier with a clock on it, by Victor Enrich, farol da barra, the great marble wizards tower, the temple of truth is white, kalighat hanuman!! head building, white cloth in wind shining, gigantic tower, thanshuhai, white cyclops portrait in sky, ancien chinese tower, shaved temple, art nouveau temple, colossal tower"
3134595153603508448.jpg,"a tall tower with a clock on top, twisted giant tower, the great marble wizards tower, painted tower of the moon, colossal tower, the tower of babel, gigantic tower, tower, stratosphere, tower of babel, global illumination hdri, twinkling and spiral nubela, the wizard's magical tower!!, the temple of truth is white"
3271766560501420655_3271766496555275621.jpg,"a woman sitting on a dock in the water, puddles of turquoise water, crystal lake, green waters, turquoise water, clear blue water, carribean turquoise water, blue and green water, crystal clear blue water, caribbean, jamaica, lake blue, light blue water, blue waters, paradise in the background, lagoon, cuba, small dock, puerto rico"
3347634543223219649.mp4.fdash-260259273749472ad,"a lake with rocks and a lighthouse in the background, after the storm, rainbow in the sky, rainbow reflections, rainbows in the background, distant rainstorm, rainbow reflection, lighting refraction, sail boat on the background, magical stormy reflections, beautiful lake background, dramatic sky in background, storm in the background, prismatic cumulus clouds, rainbow diffraction"
3149789772293495484.jpg,"a man in a white shirt and sunglasses stands on a balcony overlooking the ruins of the maya mayan, background is the ruins, ancient ruins in the background, standing in front of a mountain, city ruins in the background, diego 5, standing before ancient ruins, ruined city in the background, ruins in the background, jungle background with ruins, ruins on the background, mayan"
3075104683928335004.jpg,"a plate of food on a table with a view of the ocean, restaurant in background, aruba, an island made of food, lobster, jamaica, paradise in the background, food focus, eating outside, food. craft and adventure, in a beachfront environment, no restaurant, local foods, beach setting, ingredients on the table, restaurant menu photo"
3129420585234434624.jpg,"a man standing on a rock, inspired by Ralph Burke Tyree, photo taken with ektachrome, polynesian god, a man sitting on a jetty, waikiki beach skyline, hdr photograph, anamorphic lens flare, hawaii, inspired by Robert Macaulay Stevenson, waikiki beach, farol da barra, maui, which shows a beach at sunset, harbor"
3234534706618870128.mp4.fdash-1434889327120051ad,"additional land for sale in the bahamas islands, inspired by Ralph Burke Tyree, puddles of turquoise water, an island floating in the air, gilligan's island, mochiduki key, an island, island in a blue sea, florida, bahamas, photo of the middle of the ocean, green waters, island floating in the sky, mangrove swamp, scattered islands"
3387470530318026275.fdash-428723836637806_mpd_qe=R1_v.mp4,"a plate of food next to a pool, nachos, breakfast at las pozas, chilaquiles, an island made of food, breakfast buffet, served on a plate, hearty breakfast, food focus, nachosaurus, made of food, the plate is on a wooden table, by Max Gubler, al fresco, oil painting of breakfast"
3247620965591441739_3247620931416843274.jpg,"aerial view of road in the middle of the sea, dji top down view, drone camera angle, shot from a drone, aerial shot from the drone, drone photograph, drone view, drone wide shot, drone photography, color aerial photo drone, drone perspective, drone shot, drone point of view, 4k drone photography, road into the forest with a lake"
3238372973273540850.mp4.fdash-1540983546645524ad,"a person holding a drink with a straw, skewer, professional fruit photography, tropical fruit, thailand, fruitcore, eating rotting fruit, blue waffle cone, hot weather, made of fruit and flowers, red green white black, ice cream, fresh fruit, scorching weather, colored fruit stand, fruit and flowers, stalagmites, street vendors"
3017872312939285967.jpg,"the ruins at tuuu, mayan temple in the jungle, pyramid surrounded with greenery, maya temples, megalithic buildings, lost world pyramid, ancient pyramid, huge and megalithic, tribe huts in the jungle, distopia megaliths, megaliths, mayan, tikal temple iv, pyramid ruins at sundown, megalithic"
3149214415732348390.jpg,"a statue of a man on a horse, colossus of rhodes, full height sculpture, large stone statues of heroes, a bronze sculpture, standing in a heroic figure, helio oiticica, inspired by Ralph Burke Tyree, bronze statue, breaking statue of girl, cuba, bronze statue and silver, monument, bas relief, puerto rican super hero"
3143210234382168966.fdash-794339938900211_mpd_qe=R1_v.mp4,"a sail boat is in the middle of the ocean, turquoise horizon, green waters, turquoise ocean, blue and green water, green sea, greenish blue tones, floating. greenish blue, turquoise and venetian red, a ship on a deserted island, turquoise pink and green, seafoam green, sea green color theme, green and blue palette, azure blue water"
3255724839096963792.fdash-340284545280361_mpd_qe=R1_v.mp4,"a statue of a man with a hat on his head, totem pole, mantis head god temple, shamanic poste, quetzalcoatl, sun god, full height sculpture, totem, ayahuasca, mantis head monster god temple, aztec god, yutja, the ayahuasca spirit, mayan, epic 3 d oxaguian, mayan god"
